Categories,,Interpret With Caution,Acceptable,Ideal,References
Species Data,Presence data quality,"Poor or unassessed quality of data (precision, accuracy, taxonomy). No consideration of biases introduced by poor detection. ",Spatial error in coordinates < spatial grain of model. Correction of taxonomic inconsistencies. Confirmation of outlying presences and spatial thinning as needed. ,Consistently accurate records or weighting of occurrences to place greater weight on locations with lower coordinate error. Detection biased considered.,"<a href=""https://doi.org/10.1111/j.1365-2664.2007.01408.x"" target=""_blank"">Graham et al. 2008</a><br><a href=""https://doi.org/10.1111/j.1365-2699.2009.02152.x"" target=""_blank"">Lozier et al. 2009</a>"
Species Data,Absence/ background data ,Background data does not reflect sampling bias in presence locations. Background data across broader extent than presence data.,Sampling of background points to mimic sampling biases in data and/or sensitivity analyses to evaluate effects of different background datasets.,Design-based sampling of presence and absence or datasets combined in statistically compatible manner. ,"<a href="https://doi.org/10.1111/j.2041-210X.2011.00172.x" target="_blank">Barbet-Massin et al. 2012</a><br>Guillera-Arroita et al. 2015, Phillips et al. 2009)"
Species Data,Evaluation data ,Based on training data.,Based on cross-validation of training data.,Based on independent data from separate sampling effort.,"(Fourcade et al. 2018, Roberts et al. 2017)"
Environmental Predictors,Ecological and predictive relevance,Arbitrary sets of predictors.,Selection of predictors justified based on natural history.,"Predictors represent mechanistic drivers of distributional limits or direct signals of species presence (e.g., remotely sensed indices). ","(Fourcade et al. 2018, Guisan and Zimmermann 2000, Petitpierre et al. 2017)"
Environmental Predictors,Spatial and temporal alignment,Poor coverage of environmental and geographic space. Temporal alignment of species data and predictors not considered.,Predictors encompass the study area and time period. Resolution of predictors is appropriate given uncertainty and for the focal species.,Training data capture environmental variability in focal time and place.,(Roubicek et al. 2010)
Modeling Process,Algorithm choice,Models prone to overfitting used for extrapolation; goals of prediction versus explanation confounded. ,"Selection of algorithm aligned with objectives, including need for actual versus potential distribution.","Selection of algorithm aligned with objectives, including need for actual versus potential distribution. Multiple evaluated.",(Qiao et al. 2015)
Modeling Process,Sensitivity,Single algorithm without evaluation of settings. Ensemble of multiple algorithms based on default settings and without assessment of sensitivity. ,Assessment of sensitivity to choice of algorithm(s) and selected settings and input data.,Multiple algorithms with evaluation of model settings and input data; model agreement and uncertainties evaluated via ensemble techniques.,(Araújo and New 2007)
Modeling Process,Statistical rigor,Assumptions not recognized or evaluated.,Assumptions recognized and considered.,Assumptions formally evaluated.,"(Dormann 2007, Dormann et al. 2013)"
Modeling Process,Performance,"Based on single metric, and/or evaluation scores are below generally accepted levels.",Multiple metrics evaluated and evaluation scores are close to generally accepted levels; ecological plausibility evaluated.,Multiple metrics evaluated with scores at or above generally accepted levels; scores connected with implications for intended use considered; ecological plausibility is described and supported with data or references.,(Jarnevich et al. 2015)
Modeling Process,Model review,Model released with no review or review has conflict of interest.,Regional and taxonomic expert review conducted and considered in model revision (when relevant) or use recommendations. ,"Regional and taxonomic expert review conducted and model updates considered. Transparency and metadata pertaining to review, with no relevant conflict of interest. ",(Guisan et al. 2013)
Model Products,Mapped products,"Binary, classified, or continuous map produced without clear description to interpret range of values. If a threshold map is produced, a single default threshold used for all applications. Use of 0.5 as a threshold for poorly calibrated models.","Continuous map with clear description to interpret range of values. Thresholds based on test data (e.g., sensitivity equals specificity) though not necessarily linked to intended use.","Continuous predictions used directly. Or, threshold statistically calculated; varied based on intended use, algorithms used, and model review by experts. Mapping of uncertainties and extrapolation.","(Guillera-Arroita et al. 2015, Liu et al. 2016, Liu et al. 2005, Owens et al. 2013)"
Model Products,Interpretation support products,None or inadequate to assess key decisions. Little or no description of included predictor variables. Little or no opportunity for users to inquire about methods.,"Enough information to evaluate every row in this table. Where explanation is a goal, description of included variables and their importance. Opportunity for users to inquire about methods.","Information to easily evaluate every row in this table. Where explanation is a goal, description of predictor variable importance and estimated relationships to response for focal variables. Engagement with user community to help define objectives, guide the development and interpret results. ",
Model Products,Reproducibility ,"Inputs not saved/published, settings from modeling GUI not saved or code not annotated and saved.","Inputs saved and made available (excepting locations of rare species), scripts, settings, and model results archived.","Inputs saved and made available (excepting locations of rare species). Scripts, settings, model results archived. Species expert and modeler identity known.",
Model Products,Iterative,No.,Updated based on expert review and other performance assessments. Not updated based on new field observations.,Updated via targeted field sampling and incorporation of new field data into subsequent model iterations.,
