"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","RussianKnapweed","BLM","Elko District",11895059,12225080,0.97,"Yes (379)",0
"2","RussianKnapweed","BLM","Burns District Office",5564625,5771475,0.96,"Yes (237)",0
"3","RussianKnapweed","BLM","Grand Staircase Escalante Nat Monument",1812753,1881970,0.96,"Yes (48)",0
"4","RussianKnapweed","BLM","Twin Falls District Office",8518020,9049768,0.94,"Yes (797)",0
"5","RussianKnapweed","BLM","Canyon Country",6912253,7441948,0.93,"Yes (1558)",0
"6","RussianKnapweed","BLM","Lakeview District Office",8286328,9125689,0.91,"Yes (119)",0
"7","RussianKnapweed","BLM","Albuquerque District Office",16528227,18192033,0.91,"Yes (118)",0
"8","RussianKnapweed","BLM","Gila District Office",19785973,22174577,0.89,"Yes (139)",0
"9","RussianKnapweed","BLM","Winnemucca District",10003144,11321783,0.88,"Yes (891)",0
"10","RussianKnapweed","BLM","Farmington District Office",20521399,23359098,0.88,"Yes (1700)",0
"11","RussianKnapweed","BLM","Vale District Office",13399520,15222990,0.88,"Yes (369)",0
"12","RussianKnapweed","BLM","Green River",8111826,9229924,0.88,"Yes (1592)",0
"13","RussianKnapweed","BLM","Color Country",12023657,13718194,0.88,"Yes (413)",0
"14","RussianKnapweed","BLM","Prineville District Office",11477692,13040676,0.88,"Yes (1649)",0
"15","RussianKnapweed","BLM","Pecos District Office",17802463,20229604,0.88,"Yes (8)",0
"16","RussianKnapweed","BLM","North Central Montana District Office",24165476,27943288,0.86,"Yes (1849)",0
"17","RussianKnapweed","BLM","Las Cruces District Office",13725128,16040602,0.86,"Yes (66)",0
"18","RussianKnapweed","BLM","Boise District Office",10420317,12476806,0.84,"Yes (459)",0
"19","RussianKnapweed","BLM","Ely District",10847376,12876221,0.84,"Yes (751)",0
"20","RussianKnapweed","BLM","Rocky Mountain District Office",35110075,43012513,0.82,"Yes (4835)",0
"21","RussianKnapweed","BLM","Eastern Montana/Daks District Office",107627593,131224179,0.82,"Yes (259)",0
"22","RussianKnapweed","BLM","Arizona Strip District Office",3930863,5049201,0.78,"Yes (77)",0
"23","RussianKnapweed","BLM","Battle Mountain District",10421043,13487090,0.77,"Yes (1002)",0
"24","RussianKnapweed","BLM","West Desert",16789991,22058534,0.76,"Yes (654)",0
"25","RussianKnapweed","BLM","Idaho Falls District Office",13845275,18237976,0.76,"Yes (2160)",0
"26","RussianKnapweed","BLM","High Desert District",18634336,25349045,0.74,"Yes (141)",0
"27","RussianKnapweed","BLM","Southwest District Office",7738685,10688655,0.72,"Yes (6631)",0
"28","RussianKnapweed","BLM","Carson City District",6141256,8943177,0.69,"Yes (143)",0
"29","RussianKnapweed","BLM","Wind River Bighorn Basin District",11306733,16307924,0.69,"Yes (1379)",0
