"predictorNameUnit","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","OptimizebrtKDE NA","OptimizebrtTarget NA","rf KDE","rf target"
"Available Water Content (Variance in Depth, cm) (m3/m2)",1.71257423714928,3.11015330361953,NA,NA,0,-2.88645038167936,NA,NA,0,0.315855969677793
"Depth To Restriction Layer (Mean) (cm)",6.5943067786197,3.58034970857617,6.15310466704154,1.25451435088388,3.66766467065874,1.53466921119596,17.444036315753,NA,5.43171919036641,0.231627711097072
"Evapotranspiration (Apr-Oct) (mm)",4.64366168339136,NA,8.16933086994936,NA,4.16666666666667,0.993956743002567,NA,NA,0.627722264924405,1.13708149084015
"Human Influence Index (index of 0-64)",2.93620724964161,2.57383552921585,1.23704715238171,NA,0,1.23250636132315,NA,NA,1.10171662823472,0.126342387871141
"Landscape Condition Model (index of  0-1)",18.8536760188409,1.47426164470785,55.6992529520444,NA,71.8313373253491,-0.103371501272235,42.2482500519786,NA,68.0630284396618,0.210570646451862
"Mean Annual Precipitation (mm)",8.17376612738071,22.202086496547,NA,54.210226192739,0,55.0811068702289,NA,58.2134556190716,0.11529592621058,81.7224678879767
"Mean Diurnal Range (Bio2) (degree C)",8.60894941634242,8.91414017730323,5.03654912041129,2.29519102832161,6.01297405189625,3.30788804071246,NA,2.65720208555811,10.5816038944402,3.45335860181087
"Mean Summer PET (mm)",8.30176121236945,7.84640250771416,5.25343401076392,2.88918456567195,4.72804391217566,10.3212468193384,21.5122323099314,6.5205100822916,1.84473481936971,1.26342387871129
"Mean Tree Cover (percent)",1.34650829408151,NA,4.21720620130132,NA,1.07285429141719,NA,NA,NA,0.140917243146297,NA
"Minimum Temperature Winter (degree C)",13.5290804833094,12.1908213743449,NA,10.6491161376164,0.274451097804388,11.331106870229,NA,16.9168917645581,6.69997437868307,1.17919562013057
"Percent Calcium Carbonate In Soil (percent)",3.79377431906615,9.10760640642602,NA,9.79376544383196,0,13.7006997455471,18.795481322337,15.6919404485206,1.89597745324107,9.34933670246371
"Percent Clay (0-5 cm) (percent)",11.5400368625845,8.76720380075427,7.27769298738852,5.40771716403725,1.5718562874252,2.29007633587785,NA,NA,0.11529592621058,0.105285323225931
"Percent Sand (0-5 cm) (percent)",5.7623387261929,14.6226184062301,NA,10.5683330165368,4.81536926147707,1.90839694656489,NA,NA,0.256213169356877,0.526426616129655
"Remoteness (Night Lights) (brightness?)",4.20335859103011,5.61052064456091,6.95638203871794,2.93195210036115,1.85878243512972,1.2881679389313,NA,NA,3.12580066615424,0.379027163613305
