"predictorNameUnit","brt KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,3.73317648686986,NA,0.569604713970045,NA,0.624930870478911,NA,0.568720379146961,NA
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,2.45995225409126,NA,NA,NA,0.0276518084282682,NA,0.189573459715619,NA
"Bare Ground Standard Deviation (st dev of percent cover)",NA,NA,0.563955298757903,0.532172230285433,NA,NA,0.248866275854445,0.0454683237345103,1.13744075829382,0.0909256228405065
"Burn Frequency (years)",NA,NA,2.26966058886619,3.41342794172983,1.05573287503068,NA,-0.348412786196229,0.143983025159157,0.682464454976354,0
"Burning Index (index of 0-100)",NA,NA,0.518977268795627,NA,1.01153940584334,NA,2.31722154628912,NA,1.478672985782,NA
"Depth To Restriction Layer (Mean) (cm)",5.30132673712616,NA,3.00314846209735,2.46734397677796,3.4520009820771,1.02711585866886,3.84360137152968,0.613822370415302,2.71090047393362,0.27277686852152
"Evapotranspiration (Oct-Nov) (mm)",NA,NA,0.775006054734792,2.35445895823254,NA,1.33525061626954,0.210153744054857,0.394058805698711,0.872037914691972,0.27277686852152
"Human Influence Index (index of 0-64)",7.41511131099618,NA,3.62592118465212,4.21974950276835,5.05278664375152,1.00657354149551,3.17442760756551,3.52379508942106,1.19431279620846,4.3462447717767
"Landscape Condition Model (index of  0-1)",72.6332358893637,NA,36.5083209355431,2.11793796699457,57.5497176528359,NA,62.8580909191463,1.22764474083056,69.5734597156397,0.0909256228405065
"Mean Annual Precipitation (mm)",NA,64.5023531462437,NA,11.7615438370155,NA,31.4400164338537,2.68222541754229,48.2722036980902,0.928909952606616,56.9921803964359
"Mean Diurnal Range (Bio2) (degree C)",NA,NA,3.08618482510466,6.04203623071545,2.65651853670511,5.43344289235825,1.63698705895364,3.75871476204911,0.947867298578198,0.67284960901989
"Mean March Precipitation/Mean Spring Precipitation (fraction/mm)",7.84236563975712,NA,0.297546967442816,NA,3.59931254603485,NA,5.9838513438779,NA,2.74881516587678,NA
"Minimum Temperature Winter (degree C)",NA,35.4976468537563,4.16219769574093,20.0129011449766,6.94819543334151,36.575595727198,4.15883198761197,21.8702637162776,1.17535545023698,19.1307510456446
"Percent Calcium Carbonate In Soil (percent)",4.34562626489766,NA,9.24125523302079,NA,2.81856125705866,NA,2.26744829111824,NA,2.67298578199056,NA
"Percent Clay (0-5 cm) (percent)",NA,NA,1.99979240909248,0.93533301080472,NA,2.51643385373871,0.752129189248962,1.4549863595029,2.02843601895737,0.41825786506629
"Precipitation Of Driest Month (Bio14) (mm)",NA,NA,19.0291665225063,13.5945815191098,13.2334888288731,1.63311421528352,6.42628027873022,0.447105183388931,2.7298578199052,0.400072740498269
"Precipitation Seasonality (Cv) (Bio15) (percent)",2.46233415785923,NA,3.95806663668132,25.6356501639521,2.05254112447826,16.9268693508627,1.24986174095785,14.3831464080024,4.85308056872038,15.5846517548645
"Remoteness (Night Lights) (brightness?)",NA,NA,4.76767117600248,6.9128635166371,NA,2.10558751027115,1.88585333480808,3.86480751742955,3.50710900473937,1.72758683396982
