"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","amurhoneysuckle","BLM","Roseburg District Office",2449332,2690213,0.91,"0",23
"2","amurhoneysuckle","BLM","Coeur D'alene District Office",11116484,13798609,0.81,"0",231
"3","amurhoneysuckle","BLM","Western Montana District Office",22580233,29542704,0.76,"0",275
"4","amurhoneysuckle","BLM","Medford District Office",2107838,3057476,0.69,"0",89
"5","amurhoneysuckle","BLM","Nw Oregon District Office",6937807,11107437,0.62,"Yes (2)",0
"6","amurhoneysuckle","BLM","Spokane District Office",26768459,45535045,0.59,"Yes (1)",0
"7","amurhoneysuckle","BLM","Northeastern States District Office",266008441,470278322,0.57,"Yes (2079)",0
"8","amurhoneysuckle","BLM","Idaho Falls District Office",9579847,18237976,0.53,"0",366
"9","amurhoneysuckle","BLM","North Central Montana District Office",14541846,27943288,0.52,"0",370
"10","amurhoneysuckle","BLM","Southeastern States  District Office",176941858,347054542,0.51,"Yes (470)",0
"11","amurhoneysuckle","BLM","Coos Bay District Office",1475257,3066521,0.48,"0",28
"12","amurhoneysuckle","BLM","Northern California District",11440638,25799100,0.44,"Yes (2)",0
"13","amurhoneysuckle","BLM","Prineville District Office",5207015,13040676,0.4,"0",56
"14","amurhoneysuckle","BLM","Vale District Office",5720851,15222990,0.38,"0",168
"15","amurhoneysuckle","BLM","Northwest District Office",3915550,12914979,0.3,"0",376
"16","amurhoneysuckle","BLM","Boise District Office",3434774,12476806,0.28,"0",275
"17","amurhoneysuckle","BLM","West Desert",5990349,22058534,0.27,"0",388
"18","amurhoneysuckle","BLM","High Plains District",19007266,70447274,0.27,"Yes (3)",0
"19","amurhoneysuckle","BLM","Southwest District Office",2780471,10688655,0.26,"0",394
"20","amurhoneysuckle","BLM","High Desert District",5976768,25349045,0.24,"0",346
"21","amurhoneysuckle","BLM","Color Country",3112513,13718194,0.23,"0",401
"22","amurhoneysuckle","BLM","Lakeview District Office",2011408,9125689,0.22,"0",84
"23","amurhoneysuckle","BLM","Wind River Bighorn Basin District",3592371,16307924,0.22,"0",499
