"predictorNameUnit","BRT KDE","BRT target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",1.48719669014872,NA,5.73882490728089,8.48576003105138,3.59388097233865,0,4.64038304808477,1.54371306297128,2.65662172878669,3.26102571469616
"Available Water Content (Variance in Depth, cm) (m3/m2)",1.75556301017554,NA,4.81748975209838,15.5839115035661,2.546102263202,0.885491145088549,-0.0560309698451503,0.794782963113921,0.436161776367957,1.78853612986639
"Depth To Restriction Layer (Mean) (cm)",1.44246897014423,NA,2.79523716572321,0.475474261316763,3.23763621123216,2.98647013529865,3.54523227383861,1.89525168127165,2.18080888183979,3.66326677201552
"Evapotranspiration (Jun-Aug) (mm)",9.5940959409594,NA,3.68534062073004,NA,7.44446772841577,NA,9.4845150774246,1.3450173221928,12.4900872323552,4.37437149834794
"Human Influence Index (index of 0-64)",18.2321368668232,4.69228701961836,25.9535428459887,9.22808209208675,19.6563285834032,5.20294797052029,22.4989812550938,2.62380273079277,23.5229976209358,6.46458842120385
"Landscape Condition Model (index of  0-1)",14.0556860114056,NA,19.2972867460473,NA,19.7558675607712,NA,16.5698859005705,0.0764214387609735,10.111022997621,0.861945122827166
"Mean Diurnal Range (Bio2) (degree C)",NA,3.52593388873956,NA,NA,NA,3.08546914530855,-0.0560309698451503,1.54880782555535,2.27002379064236,3.69199827610975
"Mean Growing Season Precipitation (Apr-Oct) (mm)",4.98154981549813,4.1547970975544,5.36404450517277,NA,NA,8.28291717082829,1.20721271393642,4.11147340533931,4.53013481363998,4.55394339893693
"Mean Summer PET (mm)",7.01107011070112,20.8492340768611,2.71325395276205,10.4555819707923,4.50020955574183,18.0068199318007,10.5541972290138,18.3615243529651,6.37390959555907,22.633242350237
"Mean Tree Cover (percent)",30.9348093480935,NA,26.4571540113215,0.174664014361276,34.8962699077955,0,25.2903422982885,0.703077236600769,23.9988104678826,3.00962505387159
"Minimum Temperature Winter (degree C)",8.08453539080844,49.0943294813223,3.17782549287527,53.8062199796225,2.05364626990779,47.0685293147069,10.4625101874491,58.9616873853678,5.2042030134814,34.3700617727338
"Percent Calcium Carbonate In Soil (percent)",2.42088784524209,NA,NA,NA,2.31559094719195,5.93444065559344,-6.14812550937249,-1.24821683309558,3.28112609040447,2.47090935210458
"Percent Clay (0-5 cm) (percent)",NA,17.6834184359043,NA,1.79030614720296,NA,8.54691453085469,2.00692746536268,9.28265742816384,2.94409199048377,8.85648613704928
