"predictorNameUnit","brt KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,3.24791274552386,5.99294947121034,5.06516189708451,0,2.60865001049758,1.36545401345948,3.30693344449077,3.38466229608169
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,0,5.65627266134882,5.12282175099728,1.58002535843168,2.04251771571485,2.02774813233725
"Bare Ground Standard Deviation (st dev of percent cover)",NA,NA,NA,NA,0,0,0.845055637203445,0.390129718131289,3.08461859107963,4.57386796767798
"Depth To Restriction Layer (Mean) (cm)",NA,4.78260869565214,NA,1.02820211515865,0,1.75247764080252,0.79256770942681,0.41938944699111,2.82061970265386,4.82543070590031
"Evapotranspiration (Apr-Oct) (mm)",7.07928472278927,5.03836317135551,9.5217412287052,0.716803760282021,7.13422007255137,4.07299975827893,10.408356078102,1.99941480542279,9.64290676670839,7.17334959597499
"Human Influence Index (index of 0-64)",NA,6.99488491048588,NA,3.92479435957697,NA,26.2992506647329,NA,6.86628303911048,NA,9.99390150937643
"Landscape Condition Model (index of  0-1)",NA,NA,NA,1.33960047003526,NA,4.19386028523088,NA,2.38954452355408,NA,3.7810641866138
"Mean Annual Precipitation (mm)",3.33959336980484,NA,NA,11.9800235017626,5.84441757355906,0,6.19357547764016,8.75841217204718,3.98777268306238,5.34380240890378
"Mean Diurnal Range (Bio2) (degree C)",8.4510492365477,15.0383631713555,7.09425220790504,4.21856639247943,6.18030364100494,14.334058496495,7.94142347260132,14.425046327904,7.80880922606638,11.1754840676933
"Mean Fall PET (mm)",4.98897689230016,8.65728900255756,NA,8.55464159811986,0,0,6.39827839596894,8.33902272505606,2.91788245102126,4.06311937795397
"Mean Summer PET (mm)",2.26177839470891,7.64705882352943,NA,NA,2.23028348784092,6.10345661107082,0.876548393869386,3.93055691017265,7.16965402250941,8.21009300198204
"Mean Tree Cover (percent)",4.57254837919491,7.48081841432227,5.94083297138171,0.746180963572265,2.33776702942361,0,3.21750997270626,3.70623232224716,5.22439905516188,6.44915383442597
"Minimum Temperature Winter (degree C)",18.7474483546991,20.3452685421995,17.957627527629,27.4911868390129,9.77428456267632,22.2745951172347,21.0004199034223,30.2935726128937,8.82312074475473,7.22671138893127
"Percent Calcium Carbonate In Soil (percent)",NA,NA,NA,0.934195064629835,0,0,-0.766323745538536,-0.360869989271414,0.764207308600802,0.899527366976646
"Percent Clay (0-5 cm) (percent)",2.33526577937452,7.5447570332481,NA,7.39717978848414,4.99126696224641,15.3130287648054,1.60613058996429,5.72515361357655,3.95998332638596,4.91690806525383
"Precipitation Of Driest Month (Bio14) (mm)",2.32710051441167,NA,NA,NA,0,NA,2.45118622716776,NA,2.80672502431565,NA
"Precipitation Seasonality (Cv) (Bio15) (percent)",5.43806646525681,5.43478260869563,1.23063558708556,NA,0,NA,8.02540415704387,4.07685555447186,4.32124496317912,6.57874676017685
"Remoteness (Night Lights) (brightness?)",36.3190985547481,11.0358056265984,55.0069977317697,25.6756756756757,45.2505710063147,0,16.0927986563091,6.09577684580126,26.8306238710575,9.37642933373994
"Temperature Seasonality (Std Dev) (Bio4) (stddev * 100)",4.13978933616396,NA,NA,NA,11.1917237672981,NA,7.18559731261811,NA,4.48798110323742,NA
