"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","asianmustard","BLM","Colorado River District Office",10324124,12837842,0.8,"Yes (1951)",0
"2","asianmustard","BLM","Phoenix District Office",26105798,33183750,0.79,"Yes (1133)",0
"3","asianmustard","BLM","Las Cruces District Office",12311978,16040602,0.77,"Yes (4)",0
"4","asianmustard","BLM","California Desert District",24933507,32715963,0.76,"Yes (1088)",0
"5","asianmustard","BLM","Gila District Office",15976922,22174577,0.72,"Yes (197)",0
"6","asianmustard","BLM","Albuquerque District Office",13075291,18192033,0.72,"0",75
"7","asianmustard","BLM","Southern Nevada District",6208560,9910954,0.63,"Yes (1661)",0
"8","asianmustard","BLM","Carson City District",5078899,8943177,0.57,"0",79
"9","asianmustard","BLM","Winnemucca District",6122500,11321783,0.54,"0",88
"10","asianmustard","BLM","Farmington District Office",12158613,23359098,0.52,"0",96
"11","asianmustard","BLM","Vale District Office",7039933,15222990,0.46,"0",164
"12","asianmustard","BLM","Arizona Strip District Office",2315998,5049201,0.46,"Yes (41)",0
"13","asianmustard","BLM","Burns District Office",2602024,5771475,0.45,"0",198
"14","asianmustard","BLM","Twin Falls District Office",4112144,9049768,0.45,"0",140
"15","asianmustard","BLM","Prineville District Office",5743246,13040676,0.44,"0",327
"16","asianmustard","BLM","Pecos District Office",8966528,20229604,0.44,"0",40
"17","asianmustard","BLM","Canyon Country",3160223,7441948,0.42,"Yes (2)",0
"18","asianmustard","BLM","Grand Staircase Escalante Nat Monument",758339,1881970,0.4,"0",7
"19","asianmustard","BLM","Lakeview District Office",3517181,9125689,0.39,"0",227
"20","asianmustard","BLM","Boise District Office",4636551,12476806,0.37,"0",143
"21","asianmustard","BLM","Elko District",3968044,12225080,0.32,"0",9
"22","asianmustard","BLM","Central California District",12664180,44587440,0.28,"Yes (28)",0
"23","asianmustard","BLM","Color Country",3402392,13718194,0.25,"Yes (62)",0
"24","asianmustard","BLM","Rocky Mountain District Office",8467610,43012513,0.2,"0",169
"25","asianmustard","BLM","Battle Mountain District",2623533,13487090,0.19,"Yes (19)",0
"26","asianmustard","BLM","Spokane District Office",7618684,45535045,0.17,"0",451
"27","asianmustard","BLM","Ely District",1970392,12876221,0.15,"Yes (389)",0
"28","asianmustard","BLM","West Desert",2996574,22058534,0.14,"0",9
"29","asianmustard","BLM","Green River",1102409,9229924,0.12,"0",4
"30","asianmustard","BLM","Northern California District",2741289,25799100,0.11,"0",53
"31","asianmustard","BLM","Idaho Falls District Office",1030219,18237976,0.06,"0",177
"32","asianmustard","BLM","Southwest District Office",665452,10688655,0.06,"0",95
"33","asianmustard","BLM","Western Montana District Office",601051,29542704,0.02,"0",344
