"predictorNameUnit","BRT KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,3.34703665638917,NA,NA,NA,0.774771502935629,NA,0,NA
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,NA,NA,0.0968464378669535,0,0,0
"Bare Ground Standard Deviation (st dev of percent cover)",3.82397256715333,NA,2.82631038026721,NA,NA,NA,1.25295078990374,0.026443833298072,0.189112521950525,0.443744632121432
"Burn Frequency (years)",NA,NA,1.30866735183282,0.439353522673784,NA,NA,0,0.0899090332134564,0,0
"Burning Index (index of 0-100)",5.40863511196548,NA,7.79033915724563,NA,4.49706836682416,NA,4.24308455904604,NA,0.0540321491287108,NA
"Depth To Restriction Layer (Mean) (cm)",3.47586636878472,NA,3.69304556354916,0.274595951671105,6.48374793647179,1.13294942413623,3.54700078687732,0.174529299767293,0.189112521950525,1.03063269395935
"Evapotranspiration (Oct-Jun) (mm)",NA,13.8901355354097,4.86125385405961,4.62890318531304,5.9828086753572,2.99824737105659,3.35936081351009,2.49629786333827,0.283668782925825,2.92012596621813
"Human Influence Index (index of 0-64)",NA,NA,3.09695101062008,0.470735917150471,1.00187852222917,NA,0.31475092306759,0.074042733234625,0.32419289477234,0.214715144574841
"Landscape Condition Model (index of  0-1)",50.2104224034915,NA,33.6142514559781,0.223599560646483,58.4106563442819,NA,53.392651776527,0.0687539665750047,91.9762258543836,0.171772115659904
"Mean Diurnal Range (Bio2) (degree C)",9.74177793941914,NA,5.98835217540254,NA,NA,NA,5.16312571878217,NA,0.823990274213159,NA
"Mean Growing Season Precipitation (Apr-Oct) (mm)",6.20356419182211,NA,6.61870503597122,8.4457869135415,NA,4.00600901352028,5.83499788148418,4.64882589380156,1.4183439146292,5.39650730031491
"Mean March Precipitation/Mean Spring Precipitation (fraction/mm)",NA,NA,NA,17.519221716617,1.69636249786531,1.9654481722584,1.42848495853761,2.26888089697483,0.796974199648766,1.03063269395935
"Mean PET (Oct-Jun) (mm)",NA,86.1098644645902,NA,49.1173701553428,8.08333807707634,86.7488733099649,1.64033654137159,86.5295113179606,0.0540321491287108,84.0824506155168
"Mean Tree Cover (percent)",NA,NA,2.57279890373416,NA,3.66027210109865,NA,0.296592215967551,NA,0.297176820208022,NA
"Minimum Temperature Winter (degree C)",5.47617810567881,NA,7.94107571085988,NA,NA,NA,6.15580170691848,NA,0.0810482236931037,NA
"Percent Calcium Carbonate In Soil (percent)",NA,NA,3.36073997944502,NA,NA,NA,0.932146964469456,NA,0.135080372821814,NA
"Percent Clay (0-5 cm) (percent)",1.86003013456641,NA,0.414525522439188,2.62827553742351,NA,NA,0.811088917135738,1.79289189760948,0.0675401864109072,2.47638133409678
"Precipitation Seasonality (Cv) (Bio15) (percent)",5.50215618018393,NA,3.52860568687907,NA,NA,NA,2.60880092004115,NA,0.445765230312033,NA
"Remoteness (Night Lights) (brightness?)",8.29739699693459,NA,4.89208633093525,0.596265495057281,3.51795981100928,0.701051577366055,4.7091580412808,0.222128199703846,2.86370390382279,0.329229888348057
"Temperature Annual Range (Bio7) (degree C)",NA,NA,4.14525522439192,15.655892044563,6.66590766778619,2.44742113169756,3.43804854427696,1.60778506452298,0,1.90380761523046
