"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","buffelgrass","BLM","Colorado River District Office",6322753,12837842,0.49,"Yes (359)",0
"2","buffelgrass","BLM","California Desert District",12829518,32715963,0.39,"Yes (9)",0
"3","buffelgrass","BLM","Phoenix District Office",9813110,33183750,0.3,"Yes (3170)",0
"4","buffelgrass","BLM","Central California District",9936587,44587440,0.22,"0",53
"5","buffelgrass","BLM","Gila District Office",3852084,22174577,0.17,"Yes (6337)",0
"6","buffelgrass","BLM","Southeastern States  District Office",38870590,347054542,0.11,"Yes (2)",0
"7","buffelgrass","BLM","Southern Nevada District",337189,9910954,0.03,"Yes (9)",0
"8","buffelgrass","BLM","Northern California District",309673,25799100,0.01,"0",413
"9","buffelgrass","BLM","Boise District Office",0,12476806,0,"0",497
"10","buffelgrass","BLM","West Desert",0,22058534,0,"0",248
"11","buffelgrass","BLM","Idaho Falls District Office",0,18237976,0,"0",503
"12","buffelgrass","BLM","Roseburg District Office",0,2690213,0,"0",686
"13","buffelgrass","BLM","High Desert District",0,25349045,0,"0",461
"14","buffelgrass","BLM","North Central Montana District Office",0,27943288,0,"0",824
"15","buffelgrass","BLM","Nw Oregon District Office",0,11107437,0,"0",720
"16","buffelgrass","BLM","Western Montana District Office",0,29542704,0,"0",676
"17","buffelgrass","BLM","Burns District Office",0,5771475,0,"0",531
"18","buffelgrass","BLM","Carson City District",0,8943177,0,"0",280
"19","buffelgrass","BLM","Battle Mountain District",0,13487090,0,"0",159
"20","buffelgrass","BLM","Winnemucca District",0,11321783,0,"0",383
"21","buffelgrass","BLM","High Plains District",0,70447274,0,"0",642
"22","buffelgrass","BLM","Northwest District Office",0,12914979,0,"0",424
"23","buffelgrass","BLM","Twin Falls District Office",0,9049768,0,"0",493
"24","buffelgrass","BLM","Elko District",0,12225080,0,"0",360
"25","buffelgrass","BLM","Farmington District Office",0,23359098,0,"0",165
"26","buffelgrass","BLM","Lakeview District Office",0,9125689,0,"0",547
"27","buffelgrass","BLM","Northeastern States District Office",0,470278322,0,"0",319
"28","buffelgrass","BLM","Vale District Office",0,15222990,0,"0",513
"29","buffelgrass","BLM","Spokane District Office",0,45535045,0,"0",805
"30","buffelgrass","BLM","Rocky Mountain District Office",0,43012513,0,"0",341
"31","buffelgrass","BLM","Wind River Bighorn Basin District",0,16307924,0,"0",599
"32","buffelgrass","BLM","Canyon Country",0,7441948,0,"0",213
"33","buffelgrass","BLM","Las Cruces District Office",15152,16040602,0,"0",36
"34","buffelgrass","BLM","Green River",0,9229924,0,"0",296
"35","buffelgrass","BLM","Coos Bay District Office",0,3066521,0,"0",669
"36","buffelgrass","BLM","Color Country",0,13718194,0,"0",134
"37","buffelgrass","BLM","Albuquerque District Office",0,18192033,0,"0",97
"38","buffelgrass","BLM","Medford District Office",0,3057476,0,"0",635
"39","buffelgrass","BLM","Arizona Strip District Office",3287,5049201,0,"0",67
"40","buffelgrass","BLM","Coeur D'alene District Office",0,13798609,0,"0",730
"41","buffelgrass","BLM","Prineville District Office",0,13040676,0,"0",662
"42","buffelgrass","BLM","Pecos District Office",8686,20229604,0,"0",89
"43","buffelgrass","BLM","Ely District",2571,12876221,0,"0",120
"44","buffelgrass","BLM","Eastern Montana/Daks District Office",0,131224179,0,"0",756
"45","buffelgrass","BLM","Grand Staircase Escalante Nat Monument",0,1881970,0,"0",179
"46","buffelgrass","BLM","Southwest District Office",0,10688655,0,"0",256
"47","buffelgrass","EPMT","Florida/Caribbean",15560574,37151752,0.42,"Yes (1)",0
"48","buffelgrass","EPMT","California",12758704,68159651,0.19,"Yes (1)",0
"49","buffelgrass","EPMT","Gulf Coast",11998446,61613355,0.19,"Yes (2)",0
"50","buffelgrass","EPMT","Southeast Coast",7049028,44612659,0.16,"Yes (1)",0
"51","buffelgrass","EPMT","Lake Mead",8765626,87904597,0.1,"Yes (16)",0
