"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","burbuttercup","BLM","Grand Staircase Escalante Nat Monument",1867948,1881970,0.99,"0",0
"2","burbuttercup","BLM","Winnemucca District",10820797,11321783,0.96,"0",0
"3","burbuttercup","BLM","Elko District",11719545,12225080,0.96,"0",0
"4","burbuttercup","BLM","Canyon Country",7165794,7441948,0.96,"0",0
"5","burbuttercup","BLM","Battle Mountain District",12655531,13487090,0.94,"0",0
"6","burbuttercup","BLM","High Plains District",66205571,70447274,0.94,"0",0
"7","burbuttercup","BLM","Ely District",11804171,12876221,0.92,"0",0
"8","burbuttercup","BLM","Burns District Office",5195524,5771475,0.9,"0",0
"9","burbuttercup","BLM","Carson City District",8021040,8943177,0.9,"0",0
"10","burbuttercup","BLM","Color Country",12414023,13718194,0.9,"0",0
"11","burbuttercup","BLM","Twin Falls District Office",8068536,9049768,0.89,"0",0
"12","burbuttercup","BLM","Farmington District Office",20220448,23359098,0.87,"0",0
"13","burbuttercup","BLM","Rocky Mountain District Office",37027197,43012513,0.86,"0",0
"14","burbuttercup","BLM","Green River",7885985,9229924,0.85,"0",0
"15","burbuttercup","BLM","West Desert",17463791,22058534,0.79,"0",0
"16","burbuttercup","BLM","Arizona Strip District Office",4012462,5049201,0.79,"0",0
"17","burbuttercup","BLM","Vale District Office",11811086,15222990,0.78,"0",0
"18","burbuttercup","BLM","Southwest District Office",8347245,10688655,0.78,"0",0
"19","burbuttercup","BLM","High Desert District",18547997,25349045,0.73,"0",0
"20","burbuttercup","BLM","Lakeview District Office",6413946,9125689,0.7,"0",0
"21","burbuttercup","BLM","Wind River Bighorn Basin District",11262229,16307924,0.69,"0",32
"22","burbuttercup","BLM","Albuquerque District Office",12470916,18192033,0.69,"0",0
"23","burbuttercup","BLM","Idaho Falls District Office",12091927,18237976,0.66,"0",0
"24","burbuttercup","BLM","Prineville District Office",8496841,13040676,0.65,"0",0
"25","burbuttercup","BLM","Boise District Office",7762942,12476806,0.62,"0",0
"26","burbuttercup","BLM","Phoenix District Office",20503793,33183750,0.62,"0",0
"27","burbuttercup","BLM","North Central Montana District Office",16751559,27943288,0.6,"0",142
"28","burbuttercup","BLM","Northwest District Office",7736188,12914979,0.6,"0",0
"29","burbuttercup","BLM","Eastern Montana/Daks District Office",72961504,131224179,0.56,"0",1
"30","burbuttercup","BLM","Gila District Office",9817464,22174577,0.44,"0",0
"31","burbuttercup","BLM","Spokane District Office",17904718,45535045,0.39,"0",0
"32","burbuttercup","BLM","Southern Nevada District",3838402,9910954,0.39,"0",0
"33","burbuttercup","BLM","Western Montana District Office",11069169,29542704,0.37,"0",7
"34","burbuttercup","BLM","Northern California District",8789445,25799100,0.34,"0",0
"35","burbuttercup","BLM","Northeastern States District Office",143265821,470278322,0.3,"0",0
"36","burbuttercup","BLM","Central California District",11184136,44587440,0.25,"0",0
"37","burbuttercup","BLM","Pecos District Office",4796561,20229604,0.24,"0",68
"38","burbuttercup","BLM","California Desert District",6437671,32715963,0.2,"0",0
"39","burbuttercup","BLM","Colorado River District Office",1736327,12837842,0.14,"0",34
"40","burbuttercup","BLM","Las Cruces District Office",1780739,16040602,0.11,"0",145
"41","burbuttercup","BLM","Coeur D'alene District Office",1430080,13798609,0.1,"0",0
"42","burbuttercup","BLM","Medford District Office",137954,3057476,0.05,"0",3
"43","burbuttercup","BLM","Southeastern States  District Office",18098212,347054542,0.05,"0",181
"44","burbuttercup","BLM","Roseburg District Office",0,2690213,0,"0",55
"45","burbuttercup","BLM","NW Oregon District Office",0,11107437,0,"0",25
"46","burbuttercup","BLM","Coos Bay District Office",0,3066521,0,"0",55
"47","burbuttercup","FWS","Lake Andes National Wildlife Refuge",1145,1133,1,"0",90
"48","burbuttercup","FWS","Modoc National Wildlife Refuge",7109,7133,1,"0",2
"49","burbuttercup","FWS","Umatilla National Wildlife Refuge",24015,23789,1,"0",25
"50","burbuttercup","FWS","White Lake National Wildlife Refuge",1054,1044,1,"0",390
"51","burbuttercup","FWS","Wichita Mountains Wildlife Refuge",59685,59022,1,"0",204
