predictorNameUnit,brt KDE,brt target,glm KDE,glm target,mars KDE,mars target,Maxent KDE,Maxent target,rf KDE,rf target
"Available Water Content (Mean Depth, cm) (m3/m3)",2.989870765,NA,NA,NA,6.529783932,NA,1.914332229,NA,3.377806014,NA
"Available Water Content (Variance in Depth, cm) (m3/m2)",0.090813832,NA,2.696922274,14.6285002,0,3.635801833,1.583113456,-1.051317748,1.493011436,2.380521361
Bare Ground Standard Deviation (st dev of percent cover),2.899056933,NA,2.477829943,NA,NA,1.972396745,2.20625386,1.680188181,3.282507412,2.290007241
Burn Frequency (years),NA,NA,NA,NA,0,2.013595633,1.802054679,1.958619365,0.285895807,0.506879073
Depth To Restriction Layer (Mean) (cm),6.461753406,NA,7.90818988,NA,4.512355258,1.915748275,5.55773873,0.90250108,3.526048285,2.652063722
Evapotranspiration (Mar-Jun) (mm),8.934683898,16.08546169,NA,NA,6.714814373,11.07220105,6.270701173,14.52162642,6.745023295,20.18464881
Human Influence Index (index of 0-64),NA,1.669941061,NA,NA,0,2.791224637,1.695391007,2.001824204,4.627276578,3.195148443
Isothermality (Bio3) (percent),NA,7.428781925,NA,NA,2.148740599,8.42517252,2.374670185,4.339686045,2.382465057,4.887762491
Landscape Condition Model (index of  0-1),23.87705204,2.504911591,18.80020866,9.6247162,18.50901277,2.945720466,16.21849211,4.157265614,29.42609064,6.399348298
Mean March Precipitation/Mean Spring Precipitation (fraction/mm),15.1938526,10.29592338,16.4267084,NA,22.92586845,14.84704913,16.16235334,9.452258653,4.584921643,4.245112238
Mean PET (Oct-Jun) (mm),12.30178135,38.31041257,15.38862806,46.14699728,12.09263459,26.74837779,15.25290518,25.27963132,9.720457433,29.41708907
Mean Temperature Spring (degree C),NA,6.612229862,NA,15.27400614,NA,0,NA,5.443809707,NA,5.675235337
Mean Tree Cover (percent),3.856095005,NA,3.60980699,NA,7.07890653,NA,3.458148543,NA,6.215586616,NA
Minimum Temperature Winter (degree C),10.37373385,11.60977407,18.5915493,10.01647153,13.72209622,23.63271192,11.6038848,26.28774423,6.416772554,7.485517741
Percent Calcium Carbonate In Soil (percent),1.30632204,NA,NA,NA,0,NA,2.391511817,1.008112909,2.816603134,2.652063722
Percent Clay (0-5 cm) (percent),1.446035627,3.769646365,NA,4.309308641,NA,0,0.999270196,2.645096251,2.075391783,3.620564808
Remoteness (Night Lights) (brightness?),5.057631855,1.712917485,2.23265519,NA,0,0,4.726884859,1.372953771,9.03218975,4.408037654
Temperature Annual Range (Bio7) (degree C),5.211316801,NA,11.8675013,NA,5.765787275,NA,5.78229383,NA,3.991952562,NA
