,Species,Admin,Unit,est_suit_area_acre,total_area_acre,perc_suit,Known_Presences,min_dist_miles
1,burbuttercup10,BLM,Winnemucca District,8411296,11321783,0.74,Yes (25),0
2,burbuttercup10,BLM,Battle Mountain District,9468851,13487090,0.7,Yes (15),0
3,burbuttercup10,BLM,Carson City District,6094672,8943177,0.68,Yes (1),0
4,burbuttercup10,BLM,Elko District,7248445,12225080,0.59,Yes (10),0
5,burbuttercup10,BLM,Ely District,6966650,12876221,0.54,Yes (5),0
6,burbuttercup10,BLM,Burns District Office,3040390,5771475,0.53,0,14
7,burbuttercup10,BLM,Canyon Country,3961532,7441948,0.53,0,38
8,burbuttercup10,BLM,Twin Falls District Office,4339585,9049768,0.48,Yes (21),0
9,burbuttercup10,BLM,Grand Staircase Escalante Nat Monument,799471,1881970,0.42,0,20
10,burbuttercup10,BLM,Vale District Office,6271082,15222990,0.41,Yes (7),0
11,burbuttercup10,BLM,Color Country,5553486,13718194,0.4,Yes (13),0
12,burbuttercup10,BLM,Green River,3599259,9229924,0.39,Yes (1),0
13,burbuttercup10,BLM,West Desert,7977468,22058534,0.36,Yes (39),0
14,burbuttercup10,BLM,Farmington District Office,7736720,23359098,0.33,0,177
15,burbuttercup10,BLM,Phoenix District Office,10834789,33183750,0.33,0,28
16,burbuttercup10,BLM,Albuquerque District Office,5923716,18192033,0.33,0,206
17,burbuttercup10,BLM,Boise District Office,3692307,12476806,0.3,Yes (59),0
18,burbuttercup10,BLM,Lakeview District Office,2721699,9125689,0.3,Yes (3),0
19,burbuttercup10,BLM,Southern Nevada District,2857211,9910954,0.29,0,73
20,burbuttercup10,BLM,Arizona Strip District Office,1467442,5049201,0.29,Yes (1),0
21,burbuttercup10,BLM,Prineville District Office,3543715,13040676,0.27,0,39
22,burbuttercup10,BLM,Spokane District Office,9593229,45535045,0.21,0,126
23,burbuttercup10,BLM,Southwest District Office,2083435,10688655,0.19,0,42
24,burbuttercup10,BLM,Gila District Office,3813651,22174577,0.17,0,146
25,burbuttercup10,BLM,Idaho Falls District Office,2622053,18237976,0.14,Yes (10),0
26,burbuttercup10,BLM,Northern California District,3447869,25799100,0.13,0,5
27,burbuttercup10,BLM,Northwest District Office,1367616,12914979,0.11,Yes (2),0
28,burbuttercup10,BLM,Rocky Mountain District Office,4090630,43012513,0.1,0,105
29,burbuttercup10,BLM,High Desert District,2240787,25349045,0.09,0,55
30,burbuttercup10,BLM,Wind River Bighorn Basin District,1464562,16307924,0.09,0,107
31,burbuttercup10,BLM,California Desert District,884368,32715963,0.03,0,137
32,burbuttercup10,BLM,Colorado River District Office,421018,12837842,0.03,0,86
33,burbuttercup10,BLM,Central California District,905688,44587440,0.02,0,110
34,burbuttercup10,BLM,Las Cruces District Office,89650,16040602,0.01,0,316
35,burbuttercup10,BLM,Pecos District Office,202206,20229604,0.01,0,392
36,burbuttercup10,BLM,Roseburg District Office,0,2690213,0,0,115
37,burbuttercup10,BLM,North Central Montana District Office,8784,27943288,0,0,147
38,burbuttercup10,BLM,Nw Oregon District Office,0,11107437,0,0,140
39,burbuttercup10,BLM,Western Montana District Office,66214,29542704,0,0,10
40,burbuttercup10,BLM,High Plains District,343624,70447274,0,0,176
41,burbuttercup10,BLM,Northeastern States District Office,0,470278322,0,0,608
42,burbuttercup10,BLM,Coos Bay District Office,0,3066521,0,0,167
43,burbuttercup10,BLM,Medford District Office,1680,3057476,0,0,105
44,burbuttercup10,BLM,Coeur D'alene District Office,46799,13798609,0,0,31
45,burbuttercup10,BLM,Eastern Montana/Daks District Office,22077,131224179,0,0,169
46,burbuttercup10,BLM,Southeastern States  District Office,0,347054542,0,0,761
47,burbuttercup10,IPMT,Lake Mead,29699683,87904597,0.34,Yes (51),0
48,burbuttercup10,IPMT,North Coast/Cascades,13249681,69548751,0.19,0,25
49,burbuttercup10,IPMT,Southwest,31417809,212434430,0.15,Yes (1),0
50,burbuttercup10,IPMT,Northern Rocky Mountain,16156256,178895171,0.09,Yes (36),0
51,burbuttercup10,IPMT,California,1802594,68159651,0.03,0,77
52,burbuttercup10,IPMT,Southeast Coast,0,44612659,0,0,1290
53,burbuttercup10,IPMT,Southeast,0,68436190,0,0,1063
54,burbuttercup10,IPMT,Heartland,0,156900528,0,0,568
55,burbuttercup10,IPMT,Florida/Caribbean,0,37151752,0,0,1297
56,burbuttercup10,IPMT,Northern Great Plains,125308,62794147,0,0,232
57,burbuttercup10,IPMT,Northeast,0,44544974,0,0,1409
58,burbuttercup10,IPMT,Great Lakes,0,61766763,0,0,783
59,burbuttercup10,IPMT,National Capital Region,0,2953143,0,0,1481
60,burbuttercup10,IPMT,Mid-Atlantic,0,33307472,0,0,1381
61,burbuttercup10,IPMT,Gulf Coast,0,61613355,0,0,924
62,burbuttercup10,FWS,Umatilla National Wildlife Refuge,24015,23789,1,0,156
63,burbuttercup10,FWS,Alamosa National Wildlife Refuge,12246,12098,1,0,243
64,burbuttercup10,FWS,Mckay Creek National Wildlife Refuge,1845,1827,1,0,116
65,burbuttercup10,FWS,Valle De Oro National Wildlife Refuge,498,489,1,0,331
66,burbuttercup10,FWS,Ouray National Wildlife Refuge,12028,11914,1,0,50
67,burbuttercup10,FWS,Toppenish National Wildlife Refuge,1977,2039,0.97,0,195
68,burbuttercup10,FWS,Baca National Wildlife Refuge,82296,86760,0.95,0,210
69,burbuttercup10,FWS,Pahranagat National Wildlife Refuge,4248,4672,0.91,0,93
70,burbuttercup10,FWS,Minidoka National Wildlife Refuge,19954,22525,0.89,0,12
71,burbuttercup10,FWS,Modoc National Wildlife Refuge,5724,7133,0.8,0,47
72,burbuttercup10,FWS,Malheur National Wildlife Refuge,141011,188072,0.75,0,47
73,burbuttercup10,FWS,Cold Springs National Wildlife Refuge,2224,3124,0.71,0,142
74,burbuttercup10,FWS,Sevilleta National Wildlife Refuge,151654,227856,0.67,0,332
75,burbuttercup10,FWS,Sheldon National Wildlife Refuge,354953,577495,0.61,0,12
76,burbuttercup10,FWS,Stillwater National Wildlife Refuge,50961,83029,0.61,0,26
77,burbuttercup10,FWS,Hart Mountain National Antelope Refuge,159175,280286,0.57,0,20
78,burbuttercup10,FWS,Fallon National Wildlife Refuge,9189,17955,0.51,0,30
79,burbuttercup10,FWS,Bear River Migratory Bird Refuge,38118,76458,0.5,0,20
80,burbuttercup10,FWS,Tule Lake National Wildlife Refuge,17345,38908,0.45,0,64
81,burbuttercup10,FWS,Camas National Wildlife Refuge,4778,10836,0.44,0,54
82,burbuttercup10,FWS,Saddle Mountain National Wildlife Refuge,68284,164309,0.42,0,182
83,burbuttercup10,FWS,Columbia National Wildlife Refuge,12110,29287,0.41,0,208
84,burbuttercup10,FWS,Clear Lake National Wildlife Refuge,12390,33579,0.37,0,49
85,burbuttercup10,FWS,Ruby Lake National Wildlife Refuge,12649,39951,0.32,Yes (1),0
86,burbuttercup10,FWS,Arapaho National Wildlife Refuge,8214,25866,0.32,0,103
87,burbuttercup10,FWS,Desert National Wildlife Range,510939,1636997,0.31,0,93
88,burbuttercup10,FWS,Ash Meadows National Wildlife Refuge,6992,24494,0.29,0,176
89,burbuttercup10,FWS,Sangre De Cristo Conservation Area,45496,166402,0.27,0,246
90,burbuttercup10,FWS,Mcnary National Wildlife Refuge,1907,15844,0.12,0,146
91,burbuttercup10,FWS,Deer Flat National Wildlife Refuge,1335,11623,0.11,0,4
92,burbuttercup10,FWS,Cokeville Meadows National Wildlife Refuge,661,6286,0.11,0,81
93,burbuttercup10,FWS,Lower Klamath National Wildlife Refuge,5815,53130,0.11,0,72
94,burbuttercup10,FWS,Monte Vista National Wildlife Refuge,1210,14762,0.08,0,232
95,burbuttercup10,FWS,Bosque Del Apache National Wildlife Refuge,3259,57912,0.06,0,358
96,burbuttercup10,FWS,Pathfinder National Wildlife Refuge,604,16851,0.04,0,167
97,burbuttercup10,FWS,Fish Springs National Wildlife Refuge,395,17971,0.02,0,12
98,burbuttercup10,FWS,Browns Park National Wildlife Refuge,300,12323,0.02,0,40
99,burbuttercup10,FWS,Mortenson Lake National Wildlife Refuge,24,1976,0.01,0,150
100,burbuttercup10,FWS,Silvio O. Conte National Fish and Wildlife Refuge,0,38352,0,0,1732
101,burbuttercup10,FWS,Sauta Cave National Wildlife Refuge,0,266,0,0,1228
102,burbuttercup10,FWS,Union Slough National Wildlife Refuge,0,2908,0,0,730
