,Species,Admin,Unit,est_suit_area_acre,total_area_acre,perc_suit,Known_Presences,min_dist_miles
1,burningbush,BLM,Spokane District Office,29168888,45535045,0.64,Yes (1),0
2,burningbush,BLM,Prineville District Office,8283748,13040676,0.64,0,130
3,burningbush,BLM,Medford District Office,1920586,3057476,0.63,0,335
4,burningbush,BLM,Vale District Office,9032615,15222990,0.59,0,115
5,burningbush,BLM,Boise District Office,7226301,12476806,0.58,0,81
6,burningbush,BLM,North Central Montana District Office,15311952,27943288,0.55,0,116
7,burningbush,BLM,Northeastern States District Office,258889878,470278322,0.55,Yes (2197),0
8,burningbush,BLM,Lakeview District Office,4740611,9125689,0.52,0,285
9,burningbush,BLM,Coeur D'alene District Office,6808287,13798609,0.49,0,13
10,burningbush,BLM,Twin Falls District Office,4342609,9049768,0.48,0,169
11,burningbush,BLM,Western Montana District Office,13837236,29542704,0.47,Yes (1),0
12,burningbush,BLM,Northern California District,10960385,25799100,0.42,0,386
13,burningbush,BLM,Rocky Mountain District Office,16953424,43012513,0.39,Yes (8),0
14,burningbush,BLM,Roseburg District Office,826151,2690213,0.31,0,275
15,burningbush,BLM,Eastern Montana/Daks District Office,40329286,131224179,0.31,0,132
16,burningbush,BLM,Nw Oregon District Office,3088759,11107437,0.28,0,106
17,burningbush,BLM,Central California District,12529799,44587440,0.28,0,216
18,burningbush,BLM,Southwest District Office,2895258,10688655,0.27,0,65
19,burningbush,BLM,Idaho Falls District Office,4751115,18237976,0.26,0,41
20,burningbush,BLM,Burns District Office,1434446,5771475,0.25,0,252
21,burningbush,BLM,High Plains District,16681981,70447274,0.24,0,28
22,burningbush,BLM,Southeastern States  District Office,80330544,347054542,0.23,Yes (451),0
23,burningbush,BLM,Winnemucca District,2473758,11321783,0.22,0,339
24,burningbush,BLM,Color Country,2992654,13718194,0.22,0,5
25,burningbush,BLM,Farmington District Office,4888853,23359098,0.21,0,1
26,burningbush,BLM,Albuquerque District Office,3894637,18192033,0.21,0,0
27,burningbush,BLM,Phoenix District Office,6439092,33183750,0.19,Yes (218),0
28,burningbush,BLM,Canyon Country,1417741,7441948,0.19,0,28
29,burningbush,BLM,West Desert,4078806,22058534,0.18,0,119
30,burningbush,BLM,Wind River Bighorn Basin District,2975817,16307924,0.18,0,168
31,burningbush,BLM,Pecos District Office,3520507,20229604,0.17,0,167
32,burningbush,BLM,Elko District,1908067,12225080,0.16,0,245
33,burningbush,BLM,Gila District Office,3650252,22174577,0.16,Yes (83),0
34,burningbush,BLM,Grand Staircase Escalante Nat Monument,276011,1881970,0.15,0,12
35,burningbush,BLM,Carson City District,1258867,8943177,0.14,0,290
36,burningbush,BLM,Las Cruces District Office,2180716,16040602,0.14,0,35
37,burningbush,BLM,Northwest District Office,1610422,12914979,0.12,0,175
38,burningbush,BLM,High Desert District,2895183,25349045,0.11,0,137
39,burningbush,BLM,Green River,953637,9229924,0.1,0,130
40,burningbush,BLM,Arizona Strip District Office,457287,5049201,0.09,Yes (2),0
41,burningbush,BLM,California Desert District,3066047,32715963,0.09,0,40
42,burningbush,BLM,Battle Mountain District,652391,13487090,0.05,0,177
43,burningbush,BLM,Coos Bay District Office,108353,3066521,0.04,0,270
44,burningbush,BLM,Ely District,552721,12876221,0.04,0,81
45,burningbush,BLM,Southern Nevada District,325580,9910954,0.03,0,32
46,burningbush,BLM,Colorado River District Office,139494,12837842,0.01,Yes (2),0
47,burningbush,IPMT,Northeast,30988378,44544974,0.7,Yes (1484),0
48,burningbush,IPMT,North Coast/Cascades,46500641,69548751,0.67,Yes (1),0
49,burningbush,IPMT,Mid-Atlantic,21255662,33307472,0.64,Yes (53),0
50,burningbush,IPMT,Southeast,43029696,68436190,0.63,Yes (51),0
51,burningbush,IPMT,National Capital Region,1698541,2953143,0.58,Yes (473),0
52,burningbush,IPMT,Heartland,82955201,156900528,0.53,Yes (218),0
53,burningbush,IPMT,Great Lakes,27349911,61766763,0.44,Yes (78),0
54,burningbush,IPMT,Northern Great Plains,21899389,62794147,0.35,0,167
55,burningbush,IPMT,Northern Rocky Mountain,59546471,178895171,0.33,Yes (1),0
56,burningbush,IPMT,California,21752577,68159651,0.32,0,191
57,burningbush,IPMT,Southwest,40500914,212434430,0.19,Yes (295),0
58,burningbush,IPMT,Lake Mead,9028801,87904597,0.1,Yes (3),0
59,burningbush,IPMT,Southeast Coast,596144,44612659,0.01,Yes (1),0
60,burningbush,IPMT,Gulf Coast,620541,61613355,0.01,Yes (1),0
61,burningbush,IPMT,Florida/Caribbean,19,37151752,0,0,186
62,burningbush,FWS,Umatilla National Wildlife Refuge,23745,23789,1,0,154
63,burningbush,FWS,Cherry Valley National Wildlife Refuge,2619,2605,1,0,5
64,burningbush,FWS,Stewart B. Mckinney National Wildlife Refuge,1061,1035,1,Yes (1),0
65,burningbush,FWS,Great Swamp National Wildlife Refuge,7969,7946,1,Yes (5),0
66,burningbush,FWS,Franklin Island National Wildlife Refuge,19,18,1,0,24
67,burningbush,FWS,Hackmatack National Wildlife Refuge,187,177,1,0,8
68,burningbush,FWS,Great Bay National Wildlife Refuge,1162,1153,1,0,1
69,burningbush,FWS,Cold Springs National Wildlife Refuge,3148,3124,1,0,174
70,burningbush,FWS,Stewart Lake National Wildlife Refuge,635,638,1,0,461
71,burningbush,FWS,Kankakee National Wildlife Refuge And Conservation Area,67,66,1,0,39
72,burningbush,FWS,Deer Flat National Wildlife Refuge,11733,11623,1,0,197
73,burningbush,FWS,Canfield Lake National Wildlife Refuge,7,4,1,0,346
74,burningbush,FWS,Tualatin River National Wildlife Refuge,1330,1315,1,0,156
75,burningbush,FWS,John Hay National Wildlife Refuge,84,80,1,0,3
76,burningbush,FWS,Mckay Creek National Wildlife Refuge,1845,1827,1,0,200
77,burningbush,FWS,Wapack National Wildlife Refuge,1658,1644,1,0,5
78,burningbush,FWS,Bear Butte National Wildlife Refuge,405,402,1,0,359
79,burningbush,FWS,Hailstone National Wildlife Refuge,158,156,1,0,225
80,burningbush,FWS,Shawangunk Grasslands National Wildlife Refuge,597,598,1,0,16
81,burningbush,FWS,Benton Lake National Wildlife Refuge,12368,12343,1,0,151
82,burningbush,FWS,John Heinz National Wildlife Refuge At Tinicum,1028,1011,1,0,3
83,burningbush,FWS,Ohio River Islands National Wildlife Refuge,3287,3282,1,0,8
