"predictorNameUnit","BRT KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",3.53167911346664,4.49370880766926,13.7233858404016,8.8538062283737,3.89814408884992,7.82949456174024,5.50731261425961,4.96489468405214,4.05416462117495,7.48650551513731
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,NA,0,NA,2.22166499498495,NA,1.07369162168505
"Depth To Restriction Layer (Mean) (cm)",2.91496025054204,4.29598562013181,NA,0.15138408304499,2.8277071459886,4.54254638515675,4.94363193174895,1.44433299899699,3.52233676975945,4.75240553860595
"Evapotranspiration (Jun-Aug) (mm)",5.82510238496748,6.33912522468546,NA,4.63667820069204,2.44045009498758,6.65387076135636,3.41255332114564,1.67502507522566,7.68695794468992,5.74395681764843
"Human Influence Index (index of 0-64)",7.78125752830643,NA,9.42357625064911,NA,8.32237322811632,NA,7.01553930530164,2.77331995987964,13.0666012109311,3.92513494484865
"Landscape Condition Model (index of  0-1)",30.426403276319,3.27741162372681,35.5063181582136,5.00432525951557,31.7039310244045,8.46928982725528,31.7451249238269,3.08926780341021,29.7905416462117,3.45576155831964
"Mean Growing Season Precipitation (Apr-Oct) (mm)",19.8410021681523,11.114439784302,18.6948243032716,34.3209342560554,19.7501096010522,6.11804222648752,21.7131322364412,20.777331995988,11.1765668466699,10.9950715794415
"Mean Tree Cover (percent)",16.5839556733317,NA,22.6518954474641,NA,23.3231039017975,NA,16.3734003656307,NA,13.3856979217804,NA
"Minimum Temperature Winter (degree C)",6.80317995663696,36.3571000599161,NA,22.8806228373702,4.40596229723805,51.9433781190019,5.52254722730042,31.9909729187563,4.88054328260513,25.1642806852851
"Percent Clay (0-5 cm) (percent)",6.2924596482775,8.55602156980227,NA,NA,3.3282186175654,6.15003198976331,3.76675807434491,7.55767301905716,12.4365897561774,7.65665336775404
"Precipitation Seasonality (Cv) (Bio15) (percent)",NA,25.5662073097663,NA,24.1522491349481,NA,8.29334612923864,NA,23.505516549649,NA,29.7465383712743
