"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","chinaberry","BLM","Southeastern States  District Office",216333654,347054542,0.62,"0",0
"2","chinaberry","BLM","Central California District",24269032,44587440,0.54,"0",0
"3","chinaberry","BLM","Gila District Office",10067559,22174577,0.45,"0",0
"4","chinaberry","BLM","Roseburg District Office",939757,2690213,0.35,"0",223
"5","chinaberry","BLM","Las Cruces District Office",5248663,16040602,0.33,"0",3
"6","chinaberry","BLM","Medford District Office",959483,3057476,0.31,"0",163
"7","chinaberry","BLM","California Desert District",9654229,32715963,0.3,"0",0
"8","chinaberry","BLM","Phoenix District Office",5900373,33183750,0.18,"0",0
"9","chinaberry","BLM","Colorado River District Office",2006414,12837842,0.16,"0",56
"10","chinaberry","BLM","Northern California District",3915377,25799100,0.15,"0",0
"11","chinaberry","BLM","Pecos District Office",3085529,20229604,0.15,"0",0
"12","chinaberry","BLM","NW Oregon District Office",860458,11107437,0.08,"0",276
"13","chinaberry","BLM","Southern Nevada District",759908,9910954,0.08,"0",54
"14","chinaberry","BLM","Arizona Strip District Office",205172,5049201,0.04,"0",134
"15","chinaberry","BLM","Color Country",245466,13718194,0.02,"0",184
"16","chinaberry","BLM","Albuquerque District Office",442070,18192033,0.02,"0",116
"17","chinaberry","BLM","Ely District",222840,12876221,0.02,"0",156
"18","chinaberry","BLM","Spokane District Office",542629,45535045,0.01,"0",422
"19","chinaberry","BLM","Coos Bay District Office",17786,3066521,0.01,"0",182
"20","chinaberry","BLM","Boise District Office",2159,12476806,0,"0",289
"21","chinaberry","BLM","West Desert",760,22058534,0,"0",290
"22","chinaberry","BLM","Idaho Falls District Office",0,18237976,0,"0",453
"23","chinaberry","BLM","High Desert District",0,25349045,0,"0",514
"24","chinaberry","BLM","North Central Montana District Office",0,27943288,0,"0",697
"25","chinaberry","BLM","Western Montana District Office",0,29542704,0,"0",549
"26","chinaberry","BLM","Burns District Office",0,5771475,0,"0",214
"27","chinaberry","BLM","Carson City District",518,8943177,0,"0",89
