"predictorNameUnit","BRT KDE","BRT target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,3.65881351121203,NA,3.51028319155807,NA,-0.157817607936004,0.086805555555562,0.091324200913232,0
"Depth To Restriction Layer (Mean) (cm)",NA,NA,NA,0.962413215226243,NA,2.90401067420142,2.94217111937776,0.64380787037037,1.09589041095889,6.23534927332394
"Evapotranspiration (Apr-Oct) (mm)",11.4809400652198,NA,4.5302299176838,NA,11.042317217616,NA,2.78435351144175,0.7450810185185,7.15981735159824,2.78168463822473
"Human Influence Index (index of 0-64)",9.94040256381425,NA,10.070962248084,NA,9.36793367072255,NA,49.8027279900802,0.253182870370383,13.1141552511416,1.35958743553686
"Isothermality (Bio3) (percent)",13.7692567187676,8.5126698494308,12.273630428612,9.4086665070625,2.45504468612039,17.1493603327839,17.9573892458573,14.0986689814815,2.9406392694064,4.86013439599937
"Landscape Condition Model (index of  0-1)",31.8508939615427,NA,17.3005960828839,0.881015082595168,41.9726499407774,NA,-34.1336940592945,0.282118055555557,55.5433789954338,0.42194092827003
"Maximum Temperature Summer (degree C)",NA,20.0661035622475,11.9699120068124,19.0184342829782,NA,8.17832195275099,9.11960320144293,14.8292824074074,1.89954337899541,24.6757305829036
"Mean Annual Precipitation (mm)",NA,26.000734484025,7.10757876809537,25.286090495571,6.90212124475073,40.0282552389922,20.3471987374591,24.8842592592593,5.26027397260273,23.4099077980934
"Mean Diurnal Range (Bio2) (degree C)",NA,NA,8.45586148169175,16.9212353363658,2.67578335307418,14.8261517934228,2.50253635441326,6.8287037037037,0.438356164383493,7.87623066104078
"Mean Tree Cover (percent)",5.13325087147197,3.78993756885787,8.69713312517742,4.23270289681589,12.129858942608,3.19441174162155,10.325780633525,3.1394675925926,4.14611872146118,10.8454446007188
"Minimum Temperature Winter (degree C)",15.7146069942652,38.5163422695556,7.84842463809253,16.8589897055303,5.53461828362227,8.98673573502863,12.9861345958742,32.5159143518518,3.83561643835615,7.95436786997968
"Percent Clay (0-5 cm) (percent)",12.1106488249185,3.11421226588323,8.08685779165484,6.43045247785494,4.40938946915043,4.73275253119852,5.52361627775896,1.69270833333334,4.47488584474888,9.57962181590872
