"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","chineseprivet","BLM","Southeastern States  District Office",286745868,347054542,0.83,"Yes (7854)",0
"2","chineseprivet","BLM","NW Oregon District Office",8941863,11107437,0.81,"Yes (2)",0
"3","chineseprivet","BLM","Roseburg District Office",2106693,2690213,0.78,"0",24
"4","chineseprivet","BLM","Coos Bay District Office",1881294,3066521,0.61,"0",28
"5","chineseprivet","BLM","Spokane District Office",25295343,45535045,0.56,"Yes (1)",0
"6","chineseprivet","BLM","Medford District Office",1700547,3057476,0.56,"0",91
"7","chineseprivet","BLM","Central California District",20856953,44587440,0.47,"Yes (3)",0
"8","chineseprivet","BLM","Northern California District",10995525,25799100,0.43,"Yes (3)",0
"9","chineseprivet","BLM","Coeur D'alene District Office",4864613,13798609,0.35,"0",233
"10","chineseprivet","BLM","Northeastern States District Office",129065792,470278322,0.27,"Yes (165)",0
"11","chineseprivet","BLM","Prineville District Office",3051321,13040676,0.23,"0",58
"12","chineseprivet","BLM","Vale District Office",2422375,15222990,0.16,"0",168
"13","chineseprivet","BLM","Western Montana District Office",3993768,29542704,0.14,"0",277
"14","chineseprivet","BLM","Boise District Office",1596355,12476806,0.13,"0",276
"15","chineseprivet","BLM","California Desert District",4244956,32715963,0.13,"Yes (3)",0
"16","chineseprivet","BLM","Lakeview District Office",880788,9125689,0.1,"0",86
"17","chineseprivet","BLM","Gila District Office",1549875,22174577,0.07,"0",261
"18","chineseprivet","BLM","West Desert",1131937,22058534,0.05,"0",367
"19","chineseprivet","BLM","Twin Falls District Office",352363,9049768,0.04,"0",342
"20","chineseprivet","BLM","Arizona Strip District Office",224666,5049201,0.04,"0",243
"21","chineseprivet","BLM","Phoenix District Office",864066,33183750,0.03,"0",154
"22","chineseprivet","BLM","Color Country",427943,13718194,0.03,"0",304
"23","chineseprivet","BLM","Idaho Falls District Office",384465,18237976,0.02,"0",366
"24","chineseprivet","BLM","Carson City District",209720,8943177,0.02,"0",68
