"predictorNameUnit","BRT KDE","BRT target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Variance in Depth, cm) (m3/m2)",1.82126800623909,NA,4.50021227416387,1.17803534106022,6.00740860041875,NA,0,0.287262518769991,0.0505765729314126,0.193217402891607
"Depth To Restriction Layer (Mean) (cm)",2.42224057252957,5.39530247336615,3.62752960045287,6.88770663119894,NA,5.15007487466629,4.75409836065573,3.23823202977086,1.8865061703419,8.04850423079486
"Evapotranspiration (Jun-Aug) (mm)",9.2852555280301,5.50744501900193,10.8778715977169,5.08265247957439,8.92253180866483,2.65642294420208,14.4779982743744,2.44826010315338,10.4592352822173,6.04304084216137
"Human Influence Index (index of 0-64)",9.60179833012202,NA,9.04759658474458,NA,6.05572555967143,2.79315059574189,17.3856773080241,3.53855193575765,9.95852721019623,4.59057898594177
"Landscape Condition Model (index of  0-1)",24.9105422515827,NA,26.0861361384971,4.80239407182213,30.1283083695711,5.73605052412267,9.40465918895599,1.95207938891427,23.9834108840785,4.64388033846359
"Mean Diurnal Range (Bio2) (degree C)",NA,NA,NA,5.24415732471974,1.25087238954203,NA,3.13201035375325,0.522295488672694,2.60469350596804,6.32953561196615
"Mean Tree Cover (percent)",22.5525277548399,3.43280792473989,21.9397141374593,5.58616758502755,24.0188972996189,NA,22.1570319240725,1.89984984004702,17.3528221727696,3.5578652808315
"Minimum Temperature Winter (degree C)",17.9924763739793,60.8435611488381,3.40582102929383,62.5783773513206,1.50319428786169,53.1024155218439,20.6471095772217,60.3838871841744,24.2919279789601,47.6447464854421
"Percent Calcium Carbonate In Soil (percent)",3.99577942930542,4.95919257367142,9.30232558139535,8.64050921527646,8.39641380791326,3.42470212904486,6.22950819672131,2.39603055428609,0.359093667813064,3.84436005063629
"Percent Clay (0-5 cm) (percent)",7.41811175337185,19.8616908603825,11.2127930562762,NA,13.7166478767381,27.1371834103783,1.81190681622092,23.3335509564536,9.05320655472388,15.1042707708708
