"predictorNameUnit","BRT KDE","BRT TARGET","GLM KDE","GLM TARGET","MARS KDE","MARS TARGET","MAXENT KDE","MAXENT TARGET","RF KDE","RF TARGET"
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,6.06666666666667,NA,5.36982178962713,5.11762278167561,0.0384467512495274,0.900490716851321,0.900655021834056,3.47226823934793
"Bare Ground Standard Deviation (st dev of percent cover)",3.90383514596451,NA,3.80888888888887,NA,0,NA,0.472345801065538,0.622249203217489,5.11735807860259,3.90298853621364
"Burning Index (index of 0-100)",3.70921579851174,7.69925899150551,3.43111111111111,NA,2.50623030986973,8.71410883792229,7.46965452847806,9.31856123842769,3.94377729257643,9.02524683586242
"Depth To Restriction Layer (Mean) (cm)",2.83342873497425,3.94602084462919,NA,NA,2.8776978417266,NA,1.88389081122645,1.80604037031417,3.91648471615719,6.78550129216087
"Evapotranspiration (Apr-Oct) (mm)",12.2953634802519,NA,12.2311111111111,NA,11.1393238350496,NA,6.08007909045971,1.12308392775839,7.99672489082971,4.05539725664304
"Human Influence Index (index of 0-64)",10.372066399542,3.17489005361769,10.3333333333333,8.88466240999866,8.37917900973338,0,21.5466578788378,8.29665604289976,10.4667030567686,4.65840567225499
"Landscape Condition Model (index of  0-1)",38.30566685747,5.17501054280378,36.5911111111111,10.5329891771951,40.0902807166032,10.2529331996934,21.7553688141923,3.42490008600192,32.4235807860263,7.739712411371
"Maximum Temperature Summer (degree C)",NA,NA,8.49333333333331,NA,5.25697089387312,NA,2.46608447300488,NA,2.92030567685587,NA
"Maxiumum Mean Temperature Summer (degree C)",3.42873497424156,NA,NA,NA,0,NA,5.9702312297468,NA,3.54803493449781,NA
"Mean Diurnal Range (Bio2) (degree C)",NA,NA,NA,NA,0,0,1.62025594551547,0.16188597156877,2.23799126637552,3.47226823934793
"Mean Growing Season Precipitation (Apr-Oct) (mm)",7.06353749284488,8.18121573588773,4.29333333333333,NA,5.56731085719658,2.58239490596073,4.2126654583402,8.54454393686445,8.16048034934499,6.19574580876017
"Mean Spring PET (Mar-Jun) (mm)",NA,6.97029941562745,NA,21.2471131639723,0,0,4.45982314494425,5.63059644862648,2.74290393013102,12.2722152276191
"Mean Tree Cover (percent)",11.1848883800801,NA,14.7511111111111,6.53896662591133,17.0922085860723,2.80643829962858,11.9844016037788,3.37431071988668,6.08624454148468,3.66443575641111
"Minimum Temperature Winter (degree C)",6.90326273611904,54.2743538767395,NA,47.1765611556401,0,64.4478509521844,5.67364200582194,53.2200131532352,6.40010917030565,19.0378371214632
"Percent Calcium Carbonate In Soil (percent)",NA,10.5789505391891,NA,NA,NA,4.89357938800781,1.31268193551931,0.556483027267664,0.627729257641944,10.5095752435226
"Percent Clay (0-5 cm) (percent)",NA,NA,NA,5.61970746728255,1.72097616024827,1.18507163492719,3.05377052781897,3.02018515708001,2.5109170305677,5.20840235902194
