"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","chocolatevine","BLM","Southeastern States  District Office",152529928,347054542,0.44,"Yes (22)",0
"2","chocolatevine","BLM","Northeastern States District Office",176224275,470278322,0.37,"Yes (130)",0
"3","chocolatevine","BLM","Coeur D'alene District Office",885374,13798609,0.06,"0",1042
"4","chocolatevine","BLM","Western Montana District Office",1379280,29542704,0.05,"0",832
"5","chocolatevine","BLM","Spokane District Office",2276020,45535045,0.05,"0",1163
"6","chocolatevine","BLM","Nw Oregon District Office",89281,11107437,0.01,"0",1343
"7","chocolatevine","BLM","Boise District Office",264,12476806,0,"0",1020
"8","chocolatevine","BLM","West Desert",0,22058534,0,"0",750
"9","chocolatevine","BLM","Idaho Falls District Office",9697,18237976,0,"0",814
"10","chocolatevine","BLM","Roseburg District Office",0,2690213,0,"0",1345
"11","chocolatevine","BLM","High Desert District",86542,25349045,0,"0",465
"12","chocolatevine","BLM","North Central Montana District Office",137053,27943288,0,"0",829
"13","chocolatevine","BLM","Burns District Office",0,5771475,0,"0",1154
"14","chocolatevine","BLM","Carson City District",0,8943177,0,"0",1120
"15","chocolatevine","BLM","Battle Mountain District",0,13487090,0,"0",1024
"16","chocolatevine","BLM","Winnemucca District",0,11321783,0,"0",1095
"17","chocolatevine","BLM","Northern California District",0,25799100,0,"0",1193
"18","chocolatevine","BLM","High Plains District",99395,70447274,0,"0",77
"19","chocolatevine","BLM","Northwest District Office",0,12914979,0,"0",529
"20","chocolatevine","BLM","Twin Falls District Office",132,9049768,0,"0",905
"21","chocolatevine","BLM","Elko District",0,12225080,0,"0",949
"22","chocolatevine","BLM","Gila District Office",58,22174577,0,"0",771
"23","chocolatevine","BLM","Farmington District Office",0,23359098,0,"0",425
"24","chocolatevine","BLM","Lakeview District Office",0,9125689,0,"0",1197
"25","chocolatevine","BLM","Vale District Office",4356,15222990,0,"0",1101
"26","chocolatevine","BLM","Rocky Mountain District Office",0,43012513,0,"0",345
"27","chocolatevine","BLM","Wind River Bighorn Basin District",66327,16307924,0,"0",637
"28","chocolatevine","BLM","Phoenix District Office",0,33183750,0,"0",725
"29","chocolatevine","BLM","Canyon Country",0,7441948,0,"0",699
"30","chocolatevine","BLM","Las Cruces District Office",0,16040602,0,"0",650
"31","chocolatevine","BLM","Central California District",0,44587440,0,"0",1170
"32","chocolatevine","BLM","Green River",0,9229924,0,"0",699
"33","chocolatevine","BLM","Coos Bay District Office",0,3066521,0,"0",1418
"34","chocolatevine","BLM","Southern Nevada District",0,9910954,0,"0",981
"35","chocolatevine","BLM","Color Country",0,13718194,0,"0",749
"36","chocolatevine","BLM","Albuquerque District Office",0,18192033,0,"0",593
"37","chocolatevine","BLM","Medford District Office",0,3057476,0,"0",1355
"38","chocolatevine","BLM","Arizona Strip District Office",0,5049201,0,"0",844
"39","chocolatevine","BLM","California Desert District",0,32715963,0,"0",1052
"40","chocolatevine","BLM","Colorado River District Office",0,12837842,0,"0",967
"41","chocolatevine","BLM","Prineville District Office",0,13040676,0,"0",1181
"42","chocolatevine","BLM","Pecos District Office",0,20229604,0,"0",463
"43","chocolatevine","BLM","Ely District",0,12876221,0,"0",949
"44","chocolatevine","BLM","Eastern Montana/Daks District Office",1296,131224179,0,"0",266
"45","chocolatevine","BLM","Grand Staircase Escalante Nat Monument",0,1881970,0,"0",810
"46","chocolatevine","BLM","Southwest District Office",34,10688655,0,"0",596
"47","chocolatevine","EPMT","Southeast",47208644,68436190,0.69,"Yes (6)",0
"48","chocolatevine","EPMT","Northeast",27413070,44544974,0.62,"Yes (81)",0
"49","chocolatevine","EPMT","National Capital Region",1738665,2953143,0.59,"Yes (20)",0
"50","chocolatevine","EPMT","Mid-Atlantic",19448284,33307472,0.58,"Yes (13)",0
"51","chocolatevine","EPMT","Heartland",80107198,156900528,0.51,"Yes (3)",0
"52","chocolatevine","EPMT","Southeast Coast",16672260,44612659,0.37,"Yes (5)",0
"53","chocolatevine","EPMT","Gulf Coast",13019555,61613355,0.21,"0",84
"54","chocolatevine","EPMT","Great Lakes",8450574,61766763,0.14,"Yes (3)",0
"55","chocolatevine","EPMT","North Coast/Cascades",2719502,69548751,0.04,"0",1107
"56","chocolatevine","EPMT","Florida/Caribbean",888067,37151752,0.02,"Yes (1)",0
"57","chocolatevine","EPMT","Northern Rocky Mountain",1247167,178895171,0.01,"0",366
"58","chocolatevine","EPMT","California",0,68159651,0,"0",1182
"59","chocolatevine","EPMT","Lake Mead",0,87904597,0,"0",697
"60","chocolatevine","EPMT","Northern Great Plains",0,62794147,0,"0",257
"61","chocolatevine","EPMT","Southwest",58,212434430,0,"0",178
"62","chocolatevine","FWS","Pilot Knob National Wildlife Refuge",105,97,1,"0",106
"63","chocolatevine","FWS","Cherry Valley National Wildlife Refuge",2662,2605,1,"0",4
"64","chocolatevine","FWS","Stewart B. Mckinney National Wildlife Refuge",1061,1035,1,"0",9
"65","chocolatevine","FWS","Great Swamp National Wildlife Refuge",7986,7946,1,"Yes (1)",0
"66","chocolatevine","FWS","Franklin Island National Wildlife Refuge",19,18,1,"0",141
"67","chocolatevine","FWS","Hackmatack National Wildlife Refuge",189,177,1,"0",86
"68","chocolatevine","FWS","Great Bay National Wildlife Refuge",1162,1153,1,"0",50
"69","chocolatevine","FWS","Kankakee National Wildlife Refuge And Conservation Area",67,66,1,"0",55
"70","chocolatevine","FWS","Cypress Creek National Wildlife Refuge",17484,17389,1,"0",30
"71","chocolatevine","FWS","Big Oaks National Wildlife Refuge",52138,51664,1,"0",11
"72","chocolatevine","FWS","Wertheim National Wildlife Refuge",2684,2657,1,"0",14
"73","chocolatevine","FWS","Logan Cave National Wildlife Refuge",132,126,1,"0",95
"74","chocolatevine","FWS","Supawna Meadows National Wildlife Refuge",3431,3432,1,"0",39
"75","chocolatevine","FWS","Hatchie National Wildlife Refuge",11503,11426,1,"0",155
"76","chocolatevine","FWS","Shawangunk Grasslands National Wildlife Refuge",597,598,1,"0",14
"77","chocolatevine","FWS","John Heinz National Wildlife Refuge At Tinicum",1028,1011,1,"0",36
"78","chocolatevine","FWS","Assabet River National Wildlife Refuge",2408,2369,1,"0",6
"79","chocolatevine","FWS","Cross Creeks National Wildlife Refuge",8820,8814,1,"0",89
"80","chocolatevine","FWS","Mathews Brake National Wildlife Refuge",2415,2391,1,"0",192
"81","chocolatevine","FWS","Seatuck National Wildlife Refuge",216,211,1,"0",19
"82","chocolatevine","FWS","Bald Knob National Wildlife Refuge",15775,15613,1,"0",225
"83","chocolatevine","FWS","Muscatatuck National Wildlife Refuge",7859,7832,1,"0",18
"84","chocolatevine","FWS","Pond Island National Wildlife Refuge",19,17,1,"0",120
"85","chocolatevine","FWS","Holla Bend National Wildlife Refuge",6024,6071,0.99,"0",187
"86","chocolatevine","FWS","Waccamaw National Wildlife Refuge",34862,35040,0.99,"0",50
"87","chocolatevine","FWS","Nomans Land Island National Wildlife Refuge",613,618,0.99,"0",13
"88","chocolatevine","FWS","Great Meadows National Wildlife Refuge",3858,3877,0.99,"0",1
"89","chocolatevine","FWS","Great Thicket National Wildlife Refuge",141,144,0.98,"0",8
"90","chocolatevine","FWS","Oxbow National Wildlife Refuge",1663,1704,0.98,"0",13
"91","chocolatevine","FWS","Big Lake National Wildlife Refuge",10693,10913,0.98,"0",142
"92","chocolatevine","FWS","Sachuest Point National Wildlife Refuge",240,244,0.98,"0",16
"93","chocolatevine","FWS","Patoka River National Wildlife Refuge",10265,10426,0.98,"0",67
"94","chocolatevine","FWS","Occoquan Bay National Wildlife Refuge",613,634,0.97,"0",18
"95","chocolatevine","FWS","Swan Lake National Wildlife Refuge",10598,11034,0.96,"0",112
"96","chocolatevine","FWS","Patuxent Research Refuge",12153,12859,0.95,"0",2
"97","chocolatevine","FWS","Cape May National Wildlife Refuge",12102,12805,0.95,"0",10
"98","chocolatevine","FWS","Crab Orchard National Wildlife Refuge",43996,46265,0.95,"0",21
"99","chocolatevine","FWS","James River National Wildlife Refuge",4054,4317,0.94,"0",90
"100","chocolatevine","FWS","Featherstone National Wildlife Refuge",316,338,0.94,"0",20
"101","chocolatevine","FWS","Wallkill River National Wildlife Refuge",5698,6040,0.94,"0",13
"102","chocolatevine","FWS","Trempealeau National Wildlife Refuge",6491,6926,0.94,"0",276
"103","chocolatevine","FWS","Mingo National Wildlife Refuge",20220,21699,0.93,"0",89
"104","chocolatevine","FWS","Ozark Plateau National Wildlife Refuge",4009,4300,0.93,"0",38
"105","chocolatevine","FWS","Ninigret National Wildlife Refuge",803,883,0.91,"0",12
"106","chocolatevine","FWS","Great Dismal Swamp National Wildlife Refuge",102493,113358,0.9,"0",100
"107","chocolatevine","FWS","Watercress Darter National Wildlife Refuge",22,24,0.9,"0",13
"108","chocolatevine","FWS","Petit Manan National Wildlife Refuge",6316,7231,0.87,"0",52
"109","chocolatevine","FWS","Erie National Wildlife Refuge",7571,8853,0.86,"0",161
"110","chocolatevine","FWS","Ernest F. Hollings Ace Basin National Wildlife Refuge",10416,12077,0.86,"0",37
"111","chocolatevine","FWS","Wapack National Wildlife Refuge",1421,1644,0.86,"0",39
"112","chocolatevine","FWS","Eastern Neck National Wildlife Refuge",1792,2094,0.86,"0",27
"113","chocolatevine","FWS","Shiawassee National Wildlife Refuge",8597,10186,0.84,"0",187
"114","chocolatevine","FWS","Chautauqua National Wildlife Refuge",5564,6635,0.84,"0",87
"115","chocolatevine","FWS","D 'arbonne National Wildlife Refuge",14899,17639,0.84,"0",305
"116","chocolatevine","FWS","Wheeler National Wildlife Refuge",28311,33884,0.84,"0",73
"117","chocolatevine","FWS","Bond Swamp National Wildlife Refuge",5978,7166,0.83,"0",82
"118","chocolatevine","FWS","Ozark Cavefish National Wildlife Refuge",34,41,0.82,"0",48
"119","chocolatevine","FWS","Wapanocca National Wildlife Refuge",4639,5624,0.82,"0",184
"120","chocolatevine","FWS","Morgan Brake National Wildlife Refuge",6079,7614,0.8,"0",187
"121","chocolatevine","FWS","Savannah National Wildlife Refuge",25300,31644,0.8,"0",84
"122","chocolatevine","FWS","Emiquon National Wildlife Refuge",2109,2631,0.8,"0",92
"123","chocolatevine","FWS","Tennessee National Wildlife Refuge",37939,48141,0.79,"0",90
"124","chocolatevine","FWS","Chickasaw National Wildlife Refuge",21059,26729,0.79,"0",130
"125","chocolatevine","FWS","Mattamuskeet National Wildlife Refuge",39122,49631,0.79,"0",139
"126","chocolatevine","FWS","Clarks River National Wildlife Refuge",7392,9392,0.79,"0",44
"127","chocolatevine","FWS","John Hay National Wildlife Refuge",62,80,0.78,"0",73
"128","chocolatevine","FWS","Presquile National Wildlife Refuge",999,1297,0.77,"0",82
"129","chocolatevine","FWS","Roanoke River National Wildlife Refuge",16331,21314,0.77,"0",94
"130","chocolatevine","FWS","Bombay Hook National Wildlife Refuge",11316,15386,0.74,"0",35
"131","chocolatevine","FWS","Lower Hatchie National Wildlife Refuge",9972,14118,0.71,"0",147
"132","chocolatevine","FWS","Marais Des Cygnes National Wildlife Refuge",5350,7659,0.7,"0",50
"133","chocolatevine","FWS","Lake Isom National Wildlife Refuge",1275,1813,0.7,"0",102
"134","chocolatevine","FWS","Dale Bumpers White River National Wildlife Refuge",109779,158206,0.69,"0",240
"135","chocolatevine","FWS","Detroit River International Wildlife Refuge",3568,5438,0.66,"0",171
"136","chocolatevine","FWS","Reelfoot National Wildlife Refuge",6647,10429,0.64,"0",87
"137","chocolatevine","FWS","Ohio River Islands National Wildlife Refuge",2085,3282,0.64,"0",27
"138","chocolatevine","FWS","Mountain Longleaf National Wildlife Refuge",5647,9014,0.63,"0",55
"139","chocolatevine","FWS","Mason Neck National Wildlife Refuge",1421,2314,0.61,"0",18
"140","chocolatevine","FWS","Two Rivers National Wildlife Refuge",4629,7528,0.61,"0",133
"141","chocolatevine","FWS","Middle Mississippi River National Wildlife Refuge",4502,8155,0.55,"0",53
"142","chocolatevine","FWS","Meredosia National Wildlife Refuge",2025,3699,0.55,"0",114
"143","chocolatevine","FWS","Cache River National Wildlife Refuge",39257,72291,0.54,"0",196
"144","chocolatevine","FWS","Pinckney Island National Wildlife Refuge",2056,4043,0.51,"0",76
"145","chocolatevine","FWS","Montezuma National Wildlife Refuge",5032,10025,0.5,"0",38
"146","chocolatevine","FWS","Big Muddy National Fish And Wildlife Refuge",9057,18150,0.5,"0",56
"147","chocolatevine","FWS","Pocosin Lakes National Wildlife Refuge",58418,115848,0.5,"0",127
"148","chocolatevine","FWS","Santee National Wildlife Refuge",6220,13021,0.48,"0",26
"149","chocolatevine","FWS","Cape Romain National Wildlife Refuge",29629,61466,0.48,"0",26
"150","chocolatevine","FWS","Blackwater National Wildlife Refuge",14755,30463,0.48,"0",22
"151","chocolatevine","FWS","Upper Mississippi River National Wildlife and Fish Refuge",85773,189089,0.45,"0",150
"152","chocolatevine","FWS","Minnesota Valley National Wildlife Refuge",6632,14937,0.44,"0",375
"153","chocolatevine","FWS","Sam D. Hamilton Noxubee National Wildlife Refuge",22120,50683,0.44,"0",109
"154","chocolatevine","FWS","Canaan Valley National Wildlife Refuge",6409,16688,0.38,"0",60
"155","chocolatevine","FWS","Rappahannock River Valley National Wildlife Refuge",3640,9532,0.38,"0",34
"156","chocolatevine","FWS","Clarence Cannon National Wildlife Refuge",1375,3736,0.37,"0",141
"157","chocolatevine","FWS","Edwin B. Forsythe National Wildlife Refuge",15196,43911,0.35,"0",14
"158","chocolatevine","FWS","Handy Brake National Wildlife Refuge",151,492,0.31,"0",282
"159","chocolatevine","FWS","John H. Chafee National Wildlife Refuge",168,565,0.3,"0",18
"160","chocolatevine","FWS","Swanquarter National Wildlife Refuge",4933,16643,0.3,"0",131
"161","chocolatevine","FWS","Upper Ouachita National Wildlife Refuge",16751,55692,0.3,"0",290
"162","chocolatevine","FWS","Alligator River National Wildlife Refuge",43500,155214,0.28,"0",143
"163","chocolatevine","FWS","Key Cave National Wildlife Refuge",283,1053,0.27,"0",108
"164","chocolatevine","FWS","Great River National Wildlife Refuge",3151,11834,0.27,"0",141
"165","chocolatevine","FWS","St. Catherine Creek National Wildlife Refuge",6673,25428,0.26,"0",296
"166","chocolatevine","FWS","Port Louisa National Wildlife Refuge",4548,17343,0.26,"0",150
"167","chocolatevine","FWS","Driftless Area National Wildlife Refuge",311,1188,0.26,"0",188
"168","chocolatevine","FWS","Grand Bay National Wildlife Refuge",2585,10387,0.25,"0",234
"169","chocolatevine","FWS","Nansemond National Wildlife Refuge",103,424,0.24,"0",100
"170","chocolatevine","FWS","Little Pend Oreille National Wildlife Refuge",9634,42230,0.23,"0",1245
"171","chocolatevine","FWS","Carolina Sandhills National Wildlife Refuge",9987,46556,0.21,"0",52
"172","chocolatevine","FWS","Tallahatchie National Wildlife Refuge",803,4187,0.19,"0",172
"173","chocolatevine","FWS","Cahaba River National Wildlife Refuge",645,3619,0.18,"0",31
"174","chocolatevine","FWS","Elizabeth Alexandra Morton National Wildlife Refuge",31,178,0.18,"0",16
"175","chocolatevine","FWS","Dahomey National Wildlife Refuge",1759,9794,0.18,"0",227
"176","chocolatevine","FWS","Rachel Carson National Wildlife Refuge",1035,5758,0.18,"0",56
"177","chocolatevine","FWS","Bon Secour National Wildlife Refuge",1191,7119,0.17,"0",236
"178","chocolatevine","FWS","Trustom Pond National Wildlife Refuge",117,820,0.14,"0",15
"179","chocolatevine","FWS","Felsenthal National Wildlife Refuge",9330,67133,0.14,"0",292
"180","chocolatevine","FWS","Hillside National Wildlife Refuge",2166,15485,0.14,"0",191
"181","chocolatevine","FWS","Trinity River National Wildlife Refuge",3982,29118,0.14,"0",502
"182","chocolatevine","FWS","Flint Hills National Wildlife Refuge",2259,18575,0.12,"0",56
"183","chocolatevine","FWS","Black Bayou Lake National Wildlife Refuge",585,5275,0.11,"0",296
"184","chocolatevine","FWS","Big Branch Marsh National Wildlife Refuge",2149,18910,0.11,"0",285
"185","chocolatevine","FWS","National Elk Refuge",2511,24971,0.1,"0",825
"186","chocolatevine","FWS","Overflow National Wildlife Refuge",1323,13605,0.1,"0",267
"187","chocolatevine","FWS","Martin National Wildlife Refuge",438,4279,0.1,"0",29
"188","chocolatevine","FWS","San Bernard National Wildlife Refuge",6129,62628,0.1,"0",559
"189","chocolatevine","FWS","Piedmont National Wildlife Refuge",3117,35796,0.09,"0",52
