"predictorNameUnit","brt KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,NA,NA,0,NA,1.35814287423716,NA,3.03362573099414,NA
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,0,7.62595981908068,0.424793586215175,1.44613524135845,1.71783625730997,3.89492002983341
"Bare Ground Standard Deviation (st dev of percent cover)",NA,NA,NA,NA,0,0,1.47182003111165,1.1891565050892,4.99512670565302,5.43631391398028
"Depth To Restriction Layer (Mean) (cm)",NA,NA,NA,NA,0,0,1.87268158430059,0.473647082535521,3.56968810916178,4.34242148006961
"Evapotranspiration (Apr-Oct) (mm)",NA,NA,NA,NA,3.60765634647612,4.47039023877143,5.03170994375974,5.89035573919178,5.37280701754389,8.00530372089169
"Human Influence Index (index of 0-64)",27.1160130718954,NA,31.9822544867917,NA,31.3266296198289,NA,25.9901878664592,NA,10.9770955165692,NA
"Landscape Condition Model (index of  0-1)",NA,NA,24.1701956039524,NA,0,0,9.06425750867534,2.18683865766402,5.66520467836256,2.6435733819508
"Maxiumum Mean Temperature Summer (degree C)",NA,NA,NA,NA,0,0,1.54959913844683,4.7213544291041,5.61647173489279,8.38650865998177
"Mean Annual Precipitation (mm)",23.4150326797386,NA,14.5956846138334,NA,21.5048072682367,8.58314925844115,6.46164891707552,12.4105613221808,12.1588693957115,6.88655009530123
"Mean Diurnal Range (Bio2) (degree C)",NA,34.0029197080292,NA,18.129218900675,1.30104966040399,13.3428000420743,2.67440469067848,5.48725183916154,3.7280701754386,14.4360653020635
"Mean Summer PET (mm)",NA,NA,8.05001008267796,NA,15.5596718708653,0,2.59064257508675,5.53260102791494,3.3869395711501,8.6019723212066
"Mean Tree Cover (percent)",NA,NA,17.1365194595684,NA,4.99250242568581,0,14.1797295680268,4.33840572407538,7.50487329434698,5.60205519184553
"Minimum Temperature Winter (degree C)",NA,45.0569343065693,NA,61.5856178536988,6.88012701772956,49.1164405175134,12.2711499341869,45.9639222009473,3.69152046783623,13.6653683599901
"Percent Calcium Carbonate In Soil (percent)",NA,NA,4.06533575317604,NA,0,0,1.44788799808545,0.448453088783634,3.44785575048733,2.10491422888869
"Percent Clay (0-5 cm) (percent)",NA,20.9401459854015,NA,12.3364099738256,3.16221222545645,0,3.29663754935981,5.40159226040512,6.06725146198829,8.40308278776829
"Precipitation Seasonality (Cv) (Bio15) (percent)",9.83660130718954,NA,NA,NA,4.30448972391285,NA,8.62749790594709,NA,6.45711500974653,NA
"Remoteness (Night Lights) (brightness?)",39.6323529411765,NA,NA,7.94875327180055,7.36085384140426,16.8612601241191,1.68720832834748,4.50972488158823,12.6096491228071,7.59095052622856
