,Species,Admin,Unit,est_suit_area_acre,total_area_acre,perc_suit,Known_Presences,min_dist_miles
1,coraladisia,BLM,Southeastern States  District Office,70129579,347054542,0.2,Yes (1112),0
2,coraladisia,BLM,Northeastern States District Office,13758831,470278322,0.03,0,110
3,coraladisia,BLM,Boise District Office,0,12476806,0,0,551
4,coraladisia,BLM,West Desert,0,22058534,0,0,263
5,coraladisia,BLM,Idaho Falls District Office,0,18237976,0,0,343
6,coraladisia,BLM,Roseburg District Office,0,2690213,0,0,868
7,coraladisia,BLM,High Desert District,0,25349045,0,0,93
8,coraladisia,BLM,North Central Montana District Office,0,27943288,0,0,533
9,coraladisia,BLM,Nw Oregon District Office,0,11107437,0,0,874
10,coraladisia,BLM,Western Montana District Office,0,29542704,0,0,451
11,coraladisia,BLM,Burns District Office,0,5771475,0,0,674
12,coraladisia,BLM,Carson City District,0,8943177,0,0,626
13,coraladisia,BLM,Battle Mountain District,0,13487090,0,0,533
14,coraladisia,BLM,Winnemucca District,0,11321783,0,0,604
15,coraladisia,BLM,Northern California District,0,25799100,0,0,708
16,coraladisia,BLM,High Plains District,0,70447274,0,0,103
17,coraladisia,BLM,Northwest District Office,0,12914979,0,0,38
18,coraladisia,BLM,Twin Falls District Office,0,9049768,0,0,432
19,coraladisia,BLM,Elko District,0,12225080,0,0,455
20,coraladisia,BLM,Gila District Office,42474,22174577,0,0,395
21,coraladisia,BLM,Farmington District Office,73021,23359098,0,0,200
22,coraladisia,BLM,Lakeview District Office,0,9125689,0,0,712
23,coraladisia,BLM,Vale District Office,249,15222990,0,0,617
24,coraladisia,BLM,Spokane District Office,0,45535045,0,0,738
25,coraladisia,BLM,Rocky Mountain District Office,3038,43012513,0,Yes (1),0
26,coraladisia,BLM,Wind River Bighorn Basin District,0,16307924,0,0,221
27,coraladisia,BLM,Phoenix District Office,3934,33183750,0,0,289
28,coraladisia,BLM,Canyon Country,0,7441948,0,0,206
29,coraladisia,BLM,Las Cruces District Office,46373,16040602,0,0,462
30,coraladisia,BLM,Central California District,0,44587440,0,0,684
31,coraladisia,BLM,Green River,0,9229924,0,0,205
32,coraladisia,BLM,Coos Bay District Office,0,3066521,0,0,931
33,coraladisia,BLM,Southern Nevada District,0,9910954,0,0,511
34,coraladisia,BLM,Color Country,0,13718194,0,0,271
35,coraladisia,BLM,Albuquerque District Office,10816,18192033,0,0,281
36,coraladisia,BLM,Medford District Office,0,3057476,0,0,869
37,coraladisia,BLM,Arizona Strip District Office,0,5049201,0,0,386
38,coraladisia,BLM,California Desert District,0,32715963,0,0,610
39,coraladisia,BLM,Colorado River District Office,5933,12837842,0,0,519
40,coraladisia,BLM,Coeur D'alene District Office,4136,13798609,0,0,615
41,coraladisia,BLM,Prineville District Office,0,13040676,0,0,719
42,coraladisia,BLM,Pecos District Office,89868,20229604,0,0,303
43,coraladisia,BLM,Ely District,0,12876221,0,0,455
44,coraladisia,BLM,Eastern Montana/Daks District Office,0,131224179,0,0,244
45,coraladisia,BLM,Grand Staircase Escalante Nat Monument,0,1881970,0,0,338
46,coraladisia,BLM,Southwest District Office,0,10688655,0,0,120
47,coraladisia,IPMT,Florida/Caribbean,14608705,37151752,0.39,Yes (1070),0
48,coraladisia,IPMT,Gulf Coast,13141906,61613355,0.21,Yes (24),0
49,coraladisia,IPMT,Southeast Coast,8105912,44612659,0.18,Yes (5),0
50,coraladisia,IPMT,Southeast,9182530,68436190,0.13,Yes (2),0
51,coraladisia,IPMT,Heartland,21049702,156900528,0.13,0,197
52,coraladisia,IPMT,Mid-Atlantic,4022803,33307472,0.12,0,35
53,coraladisia,IPMT,Southwest,2763917,212434430,0.01,0,223
54,coraladisia,IPMT,North Coast/Cascades,4385,69548751,0,0,684
55,coraladisia,IPMT,California,0,68159651,0,0,693
56,coraladisia,IPMT,Lake Mead,5192,87904597,0,0,220
57,coraladisia,IPMT,Northern Great Plains,0,62794147,0,0,156
58,coraladisia,IPMT,Northeast,0,44544974,0,0,266
59,coraladisia,IPMT,Great Lakes,0,61766763,0,0,541
60,coraladisia,IPMT,National Capital Region,11300,2953143,0,0,206
61,coraladisia,IPMT,Northern Rocky Mountain,3038,178895171,0,Yes (1),0
62,coraladisia,FWS,Crystal River National Wildlife Refuge,146,142,1,0,1
63,coraladisia,FWS,Big Branch Marsh National Wildlife Refuge,18806,18910,0.99,0,15
64,coraladisia,FWS,Crab Orchard National Wildlife Refuge,44245,46265,0.96,0,448
65,coraladisia,FWS,Lake Woodruff National Wildlife Refuge,20335,21638,0.94,Yes (1),0
66,coraladisia,FWS,James River National Wildlife Refuge,3994,4317,0.93,0,149
67,coraladisia,FWS,Ozark Cavefish National Wildlife Refuge,38,41,0.93,0,457
68,coraladisia,FWS,Marais Des Cygnes National Wildlife Refuge,6968,7659,0.91,0,532
69,coraladisia,FWS,Presquile National Wildlife Refuge,1124,1297,0.87,0,148
70,coraladisia,FWS,Cat Island National Wildlife Refuge,9524,10929,0.87,0,4
71,coraladisia,FWS,Atchafalaya National Wildlife Refuge,13727,15933,0.86,0,21
72,coraladisia,FWS,St. Marks National Wildlife Refuge,68747,82181,0.84,Yes (1),0
73,coraladisia,FWS,Bayou Teche National Wildlife Refuge,7356,9085,0.81,0,20
74,coraladisia,FWS,Mandalay National Wildlife Refuge,3687,4612,0.8,0,57
75,coraladisia,FWS,Chassahowitzka National Wildlife Refuge,19786,28345,0.7,0,7
76,coraladisia,FWS,Holla Bend National Wildlife Refuge,3860,6071,0.64,0,314
77,coraladisia,FWS,Lake Wales Ridge National Wildlife Refuge,1217,1904,0.64,0,5
78,coraladisia,FWS,St. Catherine Creek National Wildlife Refuge,15589,25428,0.61,0,26
79,coraladisia,FWS,St. Vincent National Wildlife Refuge,7449,12181,0.61,0,15
80,coraladisia,FWS,Bogue Chitto National Wildlife Refuge,20951,36386,0.58,0,10
81,coraladisia,FWS,Grand Bay National Wildlife Refuge,5961,10387,0.57,0,14
82,coraladisia,FWS,Mississippi Sandhill Crane National Wildlife Refuge,10598,20155,0.53,0,26
83,coraladisia,FWS,Middle Mississippi River National Wildlife Refuge,4325,8155,0.53,0,478
84,coraladisia,FWS,Quivira National Wildlife Refuge,10820,22164,0.49,0,344
85,coraladisia,FWS,Ernest F. Hollings Ace Basin National Wildlife Refuge,5705,12077,0.47,0,109
86,coraladisia,FWS,Pinckney Island National Wildlife Refuge,1900,4043,0.47,0,80
87,coraladisia,FWS,Savannah National Wildlife Refuge,15023,31644,0.47,0,66
88,coraladisia,FWS,Bond Swamp National Wildlife Refuge,3304,7166,0.46,0,91
89,coraladisia,FWS,Lower Suwannee National Wildlife Refuge,23505,52148,0.45,0,30
90,coraladisia,FWS,Clarks River National Wildlife Refuge,3862,9392,0.41,0,387
91,coraladisia,FWS,Deep Fork National Wildlife Refuge,4114,10494,0.39,0,373
92,coraladisia,FWS,Carolina Sandhills National Wildlife Refuge,17860,46556,0.38,0,95
93,coraladisia,FWS,Cedar Keys National Wildlife Refuge,328,928,0.35,0,28
94,coraladisia,FWS,Everglades Headwaters National Wildlife Refuge and Conservation Area,2190,7025,0.31,0,2
95,coraladisia,FWS,Wapanocca National Wildlife Refuge,1668,5624,0.3,0,325
96,coraladisia,FWS,Sequoyah National Wildlife Refuge,6129,20917,0.29,0,357
97,coraladisia,FWS,Flint Hills National Wildlife Refuge,4632,18575,0.25,0,464
98,coraladisia,FWS,Piedmont National Wildlife Refuge,8518,35796,0.24,0,112
99,coraladisia,FWS,Great Dismal Swamp National Wildlife Refuge,26102,113358,0.23,0,157
100,coraladisia,FWS,Cape Romain National Wildlife Refuge,13051,61466,0.21,0,154
101,coraladisia,FWS,San Bernard National Wildlife Refuge,13372,62628,0.21,0,34
102,coraladisia,FWS,Lacassine National Wildlife Refuge,7056,33934,0.21,0,21
103,coraladisia,FWS,Watercress Darter National Wildlife Refuge,5,24,0.2,0,181
104,coraladisia,FWS,Wheeler National Wildlife Refuge,6242,33884,0.18,0,252
105,coraladisia,FWS,Bayou Cocodrie National Wildlife Refuge,2727,15156,0.18,0,39
106,coraladisia,FWS,Pee Dee National Wildlife Refuge,1550,8654,0.18,0,77
107,coraladisia,FWS,Cypress Creek National Wildlife Refuge,2890,17389,0.17,0,437
108,coraladisia,FWS,Bon Secour National Wildlife Refuge,1236,7119,0.17,0,6
109,coraladisia,FWS,Wolf Island National Wildlife Refuge,726,4632,0.16,0,7
110,coraladisia,FWS,Ozark Plateau National Wildlife Refuge,625,4300,0.15,0,375
111,coraladisia,FWS,J. N. Ding Darling National Wildlife Refuge,930,6544,0.14,0,30
112,coraladisia,FWS,Trinity River National Wildlife Refuge,4138,29118,0.14,0,25
113,coraladisia,FWS,Eufaula National Wildlife Refuge,1383,11009,0.13,0,82
114,coraladisia,FWS,Bayou Sauvage National Wildlife Refuge,3168,25718,0.12,0,29
115,coraladisia,FWS,Lake Isom National Wildlife Refuge,192,1813,0.11,0,402
116,coraladisia,FWS,Tybee National Wildlife Refuge,69,678,0.1,0,65
117,coraladisia,FWS,Mcfaddin National Wildlife Refuge,6453,67543,0.1,0,50
118,coraladisia,FWS,Santee National Wildlife Refuge,1299,13021,0.1,0,95
119,coraladisia,FWS,Blackwater National Wildlife Refuge,3153,30463,0.1,0,232
120,coraladisia,FWS,Waccamaw National Wildlife Refuge,3120,35040,0.09,0,158
121,coraladisia,FWS,Island Bay National Wildlife Refuge,2,28,0.09,0,22
122,coraladisia,FWS,Rappahannock River Valley National Wildlife Refuge,819,9532,0.09,0,190
123,coraladisia,FWS,Big Muddy National Fish And Wildlife Refuge,1680,18150,0.09,0,543
124,coraladisia,FWS,Sam D. Hamilton Noxubee National Wildlife Refuge,4694,50683,0.09,0,185
125,coraladisia,FWS,Hillside National Wildlife Refuge,1327,15485,0.09,0,162
126,coraladisia,FWS,Cache River National Wildlife Refuge,5909,72291,0.08,0,269
127,coraladisia,FWS,Pond Creek National Wildlife Refuge,2192,28919,0.08,0,240
128,coraladisia,FWS,Okefenokee National Wildlife Refuge,29763,416308,0.07,0,23
129,coraladisia,FWS,Reelfoot National Wildlife Refuge,613,10429,0.06,0,408
130,coraladisia,FWS,Sabine National Wildlife Refuge,7670,124915,0.06,0,18
131,coraladisia,FWS,Brazoria National Wildlife Refuge,2480,47302,0.05,0,42
132,coraladisia,FWS,St. Johns National Wildlife Refuge,230,6460,0.04,0,3
133,coraladisia,FWS,Choctaw National Wildlife Refuge,149,3975,0.04,0,78
134,coraladisia,FWS,Tennessee National Wildlife Refuge,2017,48141,0.04,0,340
135,coraladisia,FWS,Morgan Brake National Wildlife Refuge,290,7614,0.04,0,177
136,coraladisia,FWS,Roanoke River National Wildlife Refuge,853,21314,0.04,0,121
137,coraladisia,FWS,Arthur R. Marshall Loxahatchee National Wildlife Refuge,3831,145397,0.03,0,20
138,coraladisia,FWS,Washita National Wildlife Refuge,283,8114,0.03,0,417
139,coraladisia,FWS,Cameron Prairie National Wildlife Refuge,810,24396,0.03,0,16
140,coraladisia,FWS,Cahaba River National Wildlife Refuge,89,3619,0.02,0,158
141,coraladisia,FWS,Patuxent Research Refuge,319,12859,0.02,0,254
142,coraladisia,FWS,Key Cave National Wildlife Refuge,22,1053,0.02,0,286
143,coraladisia,FWS,Dale Bumpers White River National Wildlife Refuge,2897,158206,0.02,0,218
144,coraladisia,FWS,Moody National Wildlife Refuge,74,3518,0.02,0,44
145,coraladisia,FWS,Lower Hatchie National Wildlife Refuge,300,14118,0.02,0,345
146,coraladisia,FWS,Grand Cote National Wildlife Refuge,115,6038,0.02,0,36
147,coraladisia,FWS,Red River National Wildlife Refuge,369,15101,0.02,0,79
148,coraladisia,FWS,Upper Ouachita National Wildlife Refuge,1229,55692,0.02,0,133
149,coraladisia,FWS,Bald Knob National Wildlife Refuge,371,15613,0.02,0,307
150,coraladisia,FWS,Wichita Mountains Wildlife Refuge,599,59022,0.01,0,385
151,coraladisia,FWS,Anahuac National Wildlife Refuge,201,38650,0.01,0,51
152,coraladisia,FWS,Banks Lake National Wildlife Refuge,36,2981,0.01,0,33
153,coraladisia,FWS,Pinellas National Wildlife Refuge,5,392,0.01,0,24
154,coraladisia,FWS,Felsenthal National Wildlife Refuge,968,67133,0.01,0,152
155,coraladisia,FWS,Hagerman National Wildlife Refuge,74,11299,0.01,0,269
156,coraladisia,FWS,Wassaw National Wildlife Refuge,96,10232,0.01,0,51
157,coraladisia,FWS,Pine Island National Wildlife Refuge,5,633,0.01,0,27
158,coraladisia,FWS,Mathews Brake National Wildlife Refuge,17,2391,0.01,0,187
159,coraladisia,FWS,Silvio O. Conte National Fish and Wildlife Refuge,0,38352,0,0,529
160,coraladisia,FWS,Sauta Cave National Wildlife Refuge,0,266,0,0,225
161,coraladisia,FWS,Union Slough National Wildlife Refuge,0,2908,0,0,585
162,coraladisia,FWS,Whittlesey Creek National Wildlife Refuge,0,359,0,0,832
163,coraladisia,FWS,Caddo Lake National Wildlife Refuge,0,8415,0,0,157
164,coraladisia,FWS,Baskett Slough National Wildlife Refuge,0,2516,0,0,958
