"predictorNameUnit","BRT KDE","BRT TARGET","GLM KDE","GLM TARGET","MARS KDE","MARS TARGET","MAXENT KDE","MAXENT TARGET","RF KDE","RF TARGET"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,0.99379461577939,0.387494827132153,0.597715063932803,0.361480624638507,2.18418273773133,1.02096296743794,2.90286975717436,1.99810989604432
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,0,0,1.38942922247541,1.37135262490186,1.69977924944811,2.29512623194279
"Bare Ground Standard Deviation (st dev of percent cover)",NA,NA,NA,NA,0.552318983127796,0.433776749566228,1.15600511309955,0.525584486195876,2.3841059602649,2.6731470230863
"Depth To Restriction Layer (Mean) (cm)",NA,4.38130918930169,4.42775159800308,NA,3.03397140046908,0,3.81815150336242,1.49217664471698,4.54746136865345,3.1591737545565
"Evapotranspiration (Apr-Oct) (mm)",NA,4.8808408783432,NA,NA,0,0,2.87889734896904,1.13574578626234,4.32671081677703,5.06277845281492
"Isothermality (Bio3) (percent)",NA,3.76730148818817,9.85396351420705,NA,0,0.72778099093889,0.91702328683376,0.441007672325263,3.56512141280355,2.90265964628058
"Landscape Condition Model (index of  0-1)",58.6272561682397,3.90259132063688,42.4905519525965,4.84932846770248,20.5228115306045,4.17871602082128,21.3749791585617,2.53126321512718,30.1986754966888,6.89887943836907
"Maxiumum Mean Temperature Summer (degree C)",5.6549097532704,NA,NA,NA,NA,0,1.44500639137442,1.6311242675044,5.87196467991172,6.65586607263402
"Mean Diurnal Range (Bio2) (degree C)",7.13694320251697,9.95941305026534,18.1542481220548,2.69741544712389,4.04781720511463,0.216888374783115,4.68515533818707,0.229565637648759,7.91390728476818,14.0407722424733
"Mean Spring PET (Mar-Jun) (mm)",2.64116575591987,NA,NA,NA,3.81705379435576,NA,2.05079753237371,NA,6.8211920529801,NA
"Mean Summer PET (mm)",NA,46.9143511291498,NA,31.7030961965314,19.2365892411289,34.6539425486794,19.2019118546101,29.0944239714855,6.89845474613689,23.7748076144187
"Mean Temperature Spring (degree C)",NA,8.52325944427101,1.63299584752482,10.2479214476506,13.3653627903458,14.3724696356275,11.1765686655922,9.36990273666403,2.99116997792494,7.46591062508441
"Mean Tree Cover (percent)",15.4330187117073,5.1201998126756,18.2288993607988,1.70798690794176,5.80691533630928,0,12.4993052853888,3.33474294689784,7.80353200882999,7.26339948697181
"Minimum Temperature Winter (degree C)",10.5067064083458,8.50244562389428,4.2177949890356,48.4067567059178,29.0194446546115,43.4740697898593,13.4552325904518,45.1338126019452,5.81677704194262,11.2191170514378
"Percent Calcium Carbonate In Soil (percent)",NA,NA,NA,NA,NA,NA,1.3616406380259,NA,2.73730684326709,NA
"Percent Clay (0-5 cm) (percent)",NA,4.04828806327403,NA,NA,0,1.58087526508579,0.405713332962824,2.68833444088685,3.52097130242823,4.59025246388551
