"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","dalmatianToadflax","BLM","Prineville District Office",12298532,13040676,0.94,"Yes (1553)",0
"2","dalmatianToadflax","BLM","Boise District Office",11346179,12476806,0.91,"Yes (494)",0
"3","dalmatianToadflax","BLM","Twin Falls District Office",8091076,9049768,0.89,"Yes (144)",0
"4","dalmatianToadflax","BLM","Vale District Office",13235909,15222990,0.87,"Yes (540)",0
"5","dalmatianToadflax","BLM","Western Montana District Office",24243153,29542704,0.82,"Yes (3409)",0
"6","dalmatianToadflax","BLM","Lakeview District Office",7478140,9125689,0.82,"Yes (676)",0
"7","dalmatianToadflax","BLM","Southwest District Office",8524182,10688655,0.8,"Yes (468)",0
"8","dalmatianToadflax","BLM","Idaho Falls District Office",14189179,18237976,0.78,"Yes (416)",0
"9","dalmatianToadflax","BLM","Burns District Office",4214704,5771475,0.73,"Yes (814)",0
"10","dalmatianToadflax","BLM","Coeur D'alene District Office",9607200,13798609,0.7,"Yes (914)",0
"11","dalmatianToadflax","BLM","North Central Montana District Office",18357388,27943288,0.66,"Yes (77)",0
"12","dalmatianToadflax","BLM","Northwest District Office",8566249,12914979,0.66,"Yes (91)",0
"13","dalmatianToadflax","BLM","Northeastern States District Office",297646438,470278322,0.63,"Yes (53)",0
"14","dalmatianToadflax","BLM","Northern California District",15846909,25799100,0.61,"Yes (250)",0
"15","dalmatianToadflax","BLM","Spokane District Office",26766805,45535045,0.59,"Yes (1263)",0
"16","dalmatianToadflax","BLM","High Desert District",14099299,25349045,0.56,"Yes (638)",0
"17","dalmatianToadflax","BLM","Elko District",6858072,12225080,0.56,"Yes (5)",0
"18","dalmatianToadflax","BLM","Wind River Bighorn Basin District",9042607,16307924,0.55,"Yes (4797)",0
"19","dalmatianToadflax","BLM","Central California District",23965903,44587440,0.54,"Yes (6)",0
"20","dalmatianToadflax","BLM","Medford District Office",1608695,3057476,0.53,"Yes (65)",0
"21","dalmatianToadflax","BLM","Farmington District Office",12059053,23359098,0.52,"Yes (16)",0
"22","dalmatianToadflax","BLM","Southeastern States  District Office",180498391,347054542,0.52,"0",253
"23","dalmatianToadflax","BLM","Rocky Mountain District Office",21817522,43012513,0.51,"Yes (830)",0
"24","dalmatianToadflax","BLM","Color Country",7046876,13718194,0.51,"Yes (42)",0
"25","dalmatianToadflax","BLM","High Plains District",33923298,70447274,0.48,"Yes (8)",0
"26","dalmatianToadflax","BLM","Winnemucca District",4605590,11321783,0.41,"0",8
"27","dalmatianToadflax","BLM","Eastern Montana/Daks District Office",53441292,131224179,0.41,"Yes (386)",0
"28","dalmatianToadflax","BLM","Carson City District",3477728,8943177,0.39,"Yes (11)",0
"29","dalmatianToadflax","BLM","Green River",3433691,9229924,0.37,"Yes (27)",0
"30","dalmatianToadflax","BLM","Albuquerque District Office",6642630,18192033,0.37,"Yes (9)",0
"31","dalmatianToadflax","BLM","West Desert",7980861,22058534,0.36,"Yes (2812)",0
"32","dalmatianToadflax","BLM","Battle Mountain District",4732409,13487090,0.35,"0",17
"33","dalmatianToadflax","BLM","Ely District",4086911,12876221,0.32,"Yes (361)",0
"34","dalmatianToadflax","BLM","Canyon Country",2220464,7441948,0.3,"Yes (17)",0
"35","dalmatianToadflax","BLM","Gila District Office",6217265,22174577,0.28,"Yes (9)",0
"36","dalmatianToadflax","BLM","Roseburg District Office",719669,2690213,0.27,"Yes (15)",0
"37","dalmatianToadflax","BLM","Arizona Strip District Office",1180318,5049201,0.23,"Yes (15)",0
"38","dalmatianToadflax","BLM","Phoenix District Office",7323831,33183750,0.22,"Yes (7012)",0
"39","dalmatianToadflax","BLM","Grand Staircase Escalante Nat Monument",408573,1881970,0.22,"Yes (6)",0
"40","dalmatianToadflax","BLM","Pecos District Office",3364314,20229604,0.17,"Yes (15)",0
"41","dalmatianToadflax","BLM","Las Cruces District Office",2439933,16040602,0.15,"Yes (3)",0
"42","dalmatianToadflax","BLM","California Desert District",4266458,32715963,0.13,"Yes (8)",0
"43","dalmatianToadflax","BLM","Southern Nevada District",612504,9910954,0.06,"0",29
"44","dalmatianToadflax","BLM","Nw Oregon District Office",468069,11107437,0.04,"Yes (21)",0
"45","dalmatianToadflax","BLM","Colorado River District Office",313777,12837842,0.02,"Yes (2)",0
"46","dalmatianToadflax","BLM","Coos Bay District Office",33674,3066521,0.01,"Yes (5)",0
"47","dalmatianToadflax","EPMT","Southeast",50371677,68436190,0.74,"0",362
"48","dalmatianToadflax","EPMT","Mid-Atlantic",24612503,33307472,0.74,"0",394
"49","dalmatianToadflax","EPMT","North Coast/Cascades",48188247,69548751,0.69,"Yes (3479)",0
"50","dalmatianToadflax","EPMT","Northern Rocky Mountain",122563435,178895171,0.69,"Yes (10712)",0
"51","dalmatianToadflax","EPMT","Heartland",105195038,156900528,0.67,"0",36
"52","dalmatianToadflax","EPMT","Great Lakes",40062761,61766763,0.65,"Yes (22)",0
"53","dalmatianToadflax","EPMT","Southeast Coast",26982002,44612659,0.6,"0",628
"54","dalmatianToadflax","EPMT","Northern Great Plains",35307844,62794147,0.56,"Yes (226)",0
"55","dalmatianToadflax","EPMT","Northeast",23884144,44544974,0.54,"0",359
