"predictorNameUnit","brt KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,3.74440845287676,6.39145391997104,NA,NA,0.29081191542878,0,0,0
"Burn Frequency (years)",NA,NA,NA,3.91091797935905,NA,NA,4.00062878251984,0.0592768227623122,0.521739130434726,0
"Depth To Restriction Layer (Mean) (cm)",2.89139633286322,2.95631954824781,3.92950794385316,7.12294043092521,3.0720338983051,5.13888888888888,1.95708559302051,3.53120501312558,0.556521739130413,6.91044313603969
"Evapotranspiration (Jun-Aug) (mm)",4.17086439653438,5.68011958146484,1.54249575813667,3.68640231758101,NA,14.6794871794872,1.18682700620923,9.47582352443055,0.486956521739039,10.1022621629996
"Human Influence Index (index of 0-64)",2.56901067902477,NA,9.6830171217029,3.95437262357415,8.48970944309928,NA,6.3742827949383,2.43881785079176,6.40000000000005,1.58041524635888
"Landscape Condition Model (index of  0-1)",12.1398347773524,NA,14.0906987505784,0.003621220351262,22.692191283293,NA,18.6669810579266,0.0931492929121847,42.504347826087,0.154942671211635
"Maxiumum Mean Temperature Summer (degree C)",8.92605279065084,16.1767148314234,6.15070183556994,4.95382944052144,9.22366828087168,5.60897435897437,5.69834158610391,8.07011601321025,7.02608695652182,6.38363805392006
"Mean Diurnal Range (Bio2) (degree C)",3.71750957082411,NA,13.6202375443468,11.5009958355966,NA,NA,0.660221645838249,5.7752561605555,0.973913043478272,2.81995661605212
"Mean Spring PET (Mar-Jun) (mm)",24.4207132782591,28.1265570503239,6.44377602961592,11.8232844468586,19.9606537530266,NA,15.6252456181718,13.2102633584554,14.0173913043478,29.9969011465757
"Mean Tree Cover (percent)",10.5984283699376,2.93971101145988,9.69844207928429,5.7686040195546,21.511803874092,5.83333333333329,30.1501218266132,7.63824201879926,16.6956521739132,0.929656027269979
"Minimum Temperature Winter (degree C)",12.0390892605279,NA,NA,NA,3.00393462469732,NA,6.0048730645288,NA,1.70434782608693,NA
"Percent Calcium Carbonate In Soil (percent)",2.68990529921418,6.94236837734596,8.75751966682092,7.45971392359224,6.25756658595642,4.4230769230769,3.02601587675864,4.98772122957066,2.26086956521734,3.06786488999067
"Percent Clay (0-5 cm) (percent)",3.0928873665122,6.97558545092178,6.10057072343051,7.57197175448127,NA,6.62393162393164,0.778118368309353,2.24405114742991,0.243478260869616,0.774713356058173
"Percent Sand (0-5 cm) (percent)",NA,NA,NA,3.63570523266341,NA,6.58119658119659,NA,2.70979761199083,NA,1.42547257514724
"Precipitation Seasonality (Cv) (Bio15) (percent)",7.79770300221638,15.5289818966949,3.62872127101649,6.6195908021003,1.92191283292977,4.48717948717947,2.07498231549165,8.83224659158268,2.01739130434773,11.7446544778432
"Remoteness (Night Lights) (brightness?)",4.94660487608302,9.40043182195649,7.2188801480796,5.68893717182691,NA,17.4145299145299,2.38937357541459,13.8030315860784,4.59130434782606,7.71614502634022
"Temperature Annual Range (Bio7) (degree C)",NA,5.27321043016107,5.39102267468765,9.90765888104292,3.86652542372882,29.2094017094018,1.11608897272654,17.1310017783047,0,16.3929346141927
