"predictorNameUnit","BRT KDE","BRT target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,2.7217117808762,0.0954374730620135,NA,NA,0.0553403431101058,0.856515373352857,0.0719631548647014,0.11415525114154
"Bare Ground Standard Deviation (st dev of percent cover)",3.19978195693652,NA,0.705812427251794,0.209346715103754,2.8897894107487,NA,2.10293303818487,0.190336749633995,0.0719631548647014,0.11415525114154
"Burn Frequency (years)",NA,NA,1.42153099383342,1.00671140939597,3.28838105361058,0.766622438449054,0.816270060874387,-0.0658857979502041,0.0719631548647014,0
"Depth To Restriction Layer (Mean) (cm)",5.28209321340965,6.1520985292359,1.46115555115283,4.87962563881536,2.83664385836713,9.59015185021375,3.36192584394021,11.1346998535871,0.345423143350551,14.8630136986301
"Evapotranspiration (Apr-Oct) (mm)",NA,NA,3.80643403749474,3.60815220737639,NA,4.00265369305617,1.9714997232983,4.05563689604684,2.14450201496832,1.05022831050232
"Human Influence Index (index of 0-64)",NA,NA,4.45528616359989,NA,NA,NA,3.18898727172109,0.563689604685248,0.604490500863603,0.136986301369873
"Isothermality (Bio3) (percent)",NA,NA,3.94016691844771,6.01563943106951,NA,5.02727406752175,1.50110680686221,2.61346998535872,0.546919976971778,0.84474885844757
"Landscape Condition Model (index of  0-1)",42.0441537203598,NA,16.5853537730008,3.13712209839297,53.630505547067,5.74229691876748,46.0570005534034,4.06295754026353,77.1445020149684,1.27853881278539
"Maxiumum Mean Temperature Summer (degree C)",13.0444262741891,5.88305631950255,5.16109859085167,7.73043531802229,8.9882415465356,NA,7.36718317653569,4.07027818448022,10.9959700633276,4.31506849315068
"Mean Annual Precipitation (mm)",13.73126192423,19.5922515843597,10.0596844894623,12.3268271658149,13.8709891715937,14.3889134601209,10.2794687327061,8.35285505124453,2.41796200345417,4.13242009132427
"Mean March Precipitation/Mean Spring Precipitation (fraction/mm)",NA,NA,3.74452066668318,NA,2.62406164884077,NA,3.51411178749312,NA,0.201496833621148,NA
"Mean Summer PET (mm)",NA,16.0827454262825,4.80200104014462,9.9470475955914,NA,12.0743034055728,3.55561704482568,11.2225475841874,0.460564191134201,7.76255707762558
"Minimum Temperature Winter (degree C)",15.3284273644045,18.4024871457611,14.1187250798683,23.8655255218275,5.48063508935099,18.0377414123544,6.00442722744881,18.0527086383601,3.54058721934373,34.6347031963469
"Percent Clay (0-5 cm) (percent)",NA,10.7019012316154,3.9079719656257,6.79761098454528,NA,12.3986436679935,0.795517432208069,10.7467057101025,0.0719631548647014,3.31050228310502
"Percent Sand (0-5 cm) (percent)",NA,4.9802702379529,6.37955372842319,5.72624838372021,3.87298212980801,NA,5.32650802434975,1.36163982430456,0.388601036269419,0.228310502283079
"Precipitation Seasonality (Cv) (Bio15) (percent)",NA,18.20518952529,3.33589241932688,14.2755987931778,2.5177705440776,16.8140940586761,1.75705589374653,20.6734992679356,0.244674726540017,27.054794520548
"Remoteness (Night Lights) (brightness?)",7.36985554647043,NA,1.82272963669234,0.378671264084727,NA,1.15730502727408,1.78472606530158,2.10834553440702,0.604490500863603,0.159817351598206
"Temperature Annual Range (Bio7) (degree C)",NA,NA,11.5703707372644,NA,NA,NA,0.560320973990063,NA,0.0719631548647014,NA
