"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","fountaingrass","BLM","California Desert District",11273059,32715963,0.34,"Yes (1287)",0
"2","fountaingrass","BLM","Colorado River District Office",3782915,12837842,0.29,"Yes (487)",0
"3","fountaingrass","BLM","Southeastern States  District Office",77583107,347054542,0.22,"Yes (21)",0
"4","fountaingrass","BLM","Central California District",8532489,44587440,0.19,"Yes (30)",0
"5","fountaingrass","BLM","Gila District Office",3875227,22174577,0.17,"Yes (1192)",0
"6","fountaingrass","BLM","Southern Nevada District",1583651,9910954,0.16,"Yes (474)",0
"7","fountaingrass","BLM","Phoenix District Office",4547244,33183750,0.14,"Yes (244)",0
"8","fountaingrass","BLM","Arizona Strip District Office",136025,5049201,0.03,"0",39
"9","fountaingrass","BLM","Northern California District",456463,25799100,0.02,"0",265
"10","fountaingrass","BLM","Las Cruces District Office",301071,16040602,0.02,"0",2
"11","fountaingrass","BLM","Northeastern States District Office",3948586,470278322,0.01,"Yes (2)",0
"12","fountaingrass","BLM","Color Country",74054,13718194,0.01,"0",75
"13","fountaingrass","BLM","Boise District Office",0,12476806,0,"0",400
"14","fountaingrass","BLM","West Desert",0,22058534,0,"0",177
"15","fountaingrass","BLM","Idaho Falls District Office",0,18237976,0,"0",425
"16","fountaingrass","BLM","Roseburg District Office",1519,2690213,0,"0",545
"17","fountaingrass","BLM","High Desert District",0,25349045,0,"0",405
"18","fountaingrass","BLM","North Central Montana District Office",0,27943288,0,"0",748
"19","fountaingrass","BLM","Nw Oregon District Office",5580,11107437,0,"0",584
"20","fountaingrass","BLM","Western Montana District Office",0,29542704,0,"0",595
"21","fountaingrass","BLM","Burns District Office",0,5771475,0,"0",411
"22","fountaingrass","BLM","Carson City District",0,8943177,0,"0",131
"23","fountaingrass","BLM","Battle Mountain District",4485,13487090,0,"0",28
"24","fountaingrass","BLM","Winnemucca District",0,11321783,0,"0",253
"25","fountaingrass","BLM","High Plains District",0,70447274,0,"0",418
"26","fountaingrass","BLM","Northwest District Office",0,12914979,0,"0",272
"27","fountaingrass","BLM","Twin Falls District Office",0,9049768,0,"0",398
"28","fountaingrass","BLM","Elko District",0,12225080,0,"0",267
"29","fountaingrass","BLM","Farmington District Office",0,23359098,0,"0",18
"30","fountaingrass","BLM","Lakeview District Office",0,9125689,0,"0",420
"31","fountaingrass","BLM","Vale District Office",5,15222990,0,"0",406
"32","fountaingrass","BLM","Spokane District Office",2719,45535045,0,"0",699
"33","fountaingrass","BLM","Rocky Mountain District Office",0,43012513,0,"0",126
"34","fountaingrass","BLM","Wind River Bighorn Basin District",0,16307924,0,"0",507
"35","fountaingrass","BLM","Canyon Country",393,7441948,0,"0",182
"36","fountaingrass","BLM","Green River",0,9229924,0,"0",251
"37","fountaingrass","BLM","Coos Bay District Office",0,3066521,0,"0",510
"38","fountaingrass","BLM","Albuquerque District Office",175,18192033,0,"Yes (1)",0
"39","fountaingrass","BLM","Medford District Office",0,3057476,0,"0",490
"40","fountaingrass","BLM","Coeur D'alene District Office",43,13798609,0,"0",633
"41","fountaingrass","BLM","Prineville District Office",0,13040676,0,"0",535
