<<<<<<< HEAD
"predictorNameUnit","brt KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",1.53444990472367,NA,5.14449523514372,4.89295398437816,0.419587323526515,7.74369875493471,1.91949577424439,4.00267737617135,1.75388564095253,8.4585121602289
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,NA,NA,0,0,0,0.357653791130245
"Bare Ground Standard Deviation (st dev of percent cover)",1.66482800120349,NA,1.38297048113427,0.53017119268282,0.775002468160734,NA,0.487036241226195,-0.0200803212851235,1.08370169684869,1.3769670958513
"Burn Frequency (years)",NA,NA,0.677926706438378,0.777044801489326,NA,NA,0.0668481115408363,0.00669344042838688,0.142592328532709,0.1967095851216
"Depth To Restriction Layer (Mean) (cm)",4.08183732825195,4.25119211185649,6.8993569380956,2.00736573718079,14.4732945009379,3.19870432229982,10.0415413264575,1.65327978580989,3.4649935833452,2.46781115879826
"Evapotranspiration (Oct-Jun) (mm)",15.8158660114332,3.7743473692718,21.9803207561788,2.60229066332106,25.7379800572613,NA,15.1028983431218,1.03748326639893,17.581634108085,2.52145922746784
"Human Influence Index (index of 0-64)",29.4253334670545,4.12187828335896,18.2885256062602,2.85321138046866,26.9720604205746,9.33292843405203,21.6253640834646,3.01874163319947,35.3628974761158,6.2947067238913
"Land Surface Temperature (MODIS) (0-254)",NA,48.6381637436352,1.49531262105835,45.4652151038083,0.740448217987955,48.365219151736,0.911999236021594,45.6291834002677,1.11222016255526,34.9248927038626
"Landscape Condition Model (index of  0-1)",NA,NA,NA,1.01582419361367,NA,2.90515234335458,3.25645800506135,1.34538152610442,3.52203051475835,2.37839771101573
"Mean Growing Season Precipitation (Apr-Oct) (mm)",6.80974826998295,19.6718661601875,NA,18.1917519932009,3.24316319478724,17.4309140601275,3.73871938117748,15.7764390896921,2.7092542421218,15.2181688125894
"Mean Spring PET (Mar-Jun) (mm)",7.95306388526727,NA,NA,NA,NA,NA,9.39693453659936,NA,2.05332953087123,NA
"Mean Tree Cover (percent)",3.22936515896099,11.8322153075245,9.47547842256141,10.1541948277955,7.13792082140391,9.69733778722543,3.31375638638208,10.8835341365462,2.19592185940394,13.0185979971387
"Minimum Temperature Winter (degree C)",17.7414502055962,NA,25.5016657627644,NA,14.5226577154704,NA,22.9671011793917,NA,16.3125623841437,NA
"Precipitation Seasonality (Cv) (Bio15) (percent)",11.7440577675258,7.71033702416555,9.15394747036493,11.5099761220608,5.97788527988942,1.32604514626985,7.17184739531108,16.6666666666667,12.7049764722657,12.7861230329041
=======
"predictorNameUnit","brt KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",1.53444990472367,NA,5.14449523514372,4.89295398437816,0.419587323526515,7.74369875493471,1.91949577424439,4.00267737617135,1.75388564095253,8.4585121602289
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,NA,NA,0,0,0,0.357653791130245
"Bare Ground Standard Deviation (st dev of percent cover)",1.66482800120349,NA,1.38297048113427,0.53017119268282,0.775002468160734,NA,0.487036241226195,-0.0200803212851235,1.08370169684869,1.3769670958513
"Burn Frequency (years)",NA,NA,0.677926706438378,0.777044801489326,NA,NA,0.0668481115408363,0.00669344042838688,0.142592328532709,0.1967095851216
"Depth To Restriction Layer (Mean) (cm)",4.08183732825195,4.25119211185649,6.8993569380956,2.00736573718079,14.4732945009379,3.19870432229982,10.0415413264575,1.65327978580989,3.4649935833452,2.46781115879826
"Evapotranspiration (Oct-Jun) (mm)",15.8158660114332,3.7743473692718,21.9803207561788,2.60229066332106,25.7379800572613,NA,15.1028983431218,1.03748326639893,17.581634108085,2.52145922746784
"Human Influence Index (index of 0-64)",29.4253334670545,4.12187828335896,18.2885256062602,2.85321138046866,26.9720604205746,9.33292843405203,21.6253640834646,3.01874163319947,35.3628974761158,6.2947067238913
"Land Surface Temperature (MODIS) (0-254)",NA,48.6381637436352,1.49531262105835,45.4652151038083,0.740448217987955,48.365219151736,0.911999236021594,45.6291834002677,1.11222016255526,34.9248927038626
"Landscape Condition Model (index of  0-1)",NA,NA,NA,1.01582419361367,NA,2.90515234335458,3.25645800506135,1.34538152610442,3.52203051475835,2.37839771101573
"Mean Growing Season Precipitation (Apr-Oct) (mm)",6.80974826998295,19.6718661601875,NA,18.1917519932009,3.24316319478724,17.4309140601275,3.73871938117748,15.7764390896921,2.7092542421218,15.2181688125894
"Mean Spring PET (Mar-Jun) (mm)",7.95306388526727,NA,NA,NA,NA,NA,9.39693453659936,NA,2.05332953087123,NA
"Mean Tree Cover (percent)",3.22936515896099,11.8322153075245,9.47547842256141,10.1541948277955,7.13792082140391,9.69733778722543,3.31375638638208,10.8835341365462,2.19592185940394,13.0185979971387
"Minimum Temperature Winter (degree C)",17.7414502055962,NA,25.5016657627644,NA,14.5226577154704,NA,22.9671011793917,NA,16.3125623841437,NA
"Precipitation Seasonality (Cv) (Bio15) (percent)",11.7440577675258,7.71033702416555,9.15394747036493,11.5099761220608,5.97788527988942,1.32604514626985,7.17184739531108,16.6666666666667,12.7049764722657,12.7861230329041
>>>>>>> d1c54be62c95d73de2c29d2ad8c70ee1daed912b
