"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","halogeton","BLM","Southern Nevada District",8448729,9910954,0.85,"0",0
"2","halogeton","BLM","Winnemucca District",9513245,11321783,0.84,"0",0
"3","halogeton","BLM","Carson City District",7363679,8943177,0.82,"0",0
"4","halogeton","BLM","Battle Mountain District",11112461,13487090,0.82,"0",0
"5","halogeton","BLM","Canyon Country",5669983,7441948,0.76,"0",0
"6","halogeton","BLM","Ely District",9028849,12876221,0.7,"0",0
"7","halogeton","BLM","Elko District",8411909,12225080,0.69,"0",0
"8","halogeton","BLM","Twin Falls District Office",6118443,9049768,0.68,"0",0
"9","halogeton","BLM","Burns District Office",3882842,5771475,0.67,"0",0
"10","halogeton","BLM","Grand Staircase Escalante Nat Monument",1199448,1881970,0.64,"0",0
"11","halogeton","BLM","Las Cruces District Office",10172440,16040602,0.63,"0",0
"12","halogeton","BLM","Green River",5834327,9229924,0.63,"0",0
"13","halogeton","BLM","West Desert",12047701,22058534,0.55,"0",0
"14","halogeton","BLM","High Desert District",13932775,25349045,0.55,"0",0
"15","halogeton","BLM","Color Country",7375861,13718194,0.54,"0",0
"16","halogeton","BLM","Wind River Bighorn Basin District",8668143,16307924,0.53,"0",0
"17","halogeton","BLM","Pecos District Office",10705763,20229604,0.53,"0",105
"18","halogeton","BLM","Arizona Strip District Office",2626440,5049201,0.52,"0",0
"19","halogeton","BLM","Phoenix District Office",17088791,33183750,0.51,"0",0
"20","halogeton","BLM","Vale District Office",7452742,15222990,0.49,"0",0
"21","halogeton","BLM","Albuquerque District Office",8756962,18192033,0.48,"0",0
"22","halogeton","BLM","Lakeview District Office",4188184,9125689,0.46,"0",0
"23","halogeton","BLM","North Central Montana District Office",12700667,27943288,0.45,"0",67
"24","halogeton","BLM","Prineville District Office",5706860,13040676,0.44,"0",19
"25","halogeton","BLM","Gila District Office",9030265,22174577,0.41,"0",0
"26","halogeton","BLM","Farmington District Office",9461385,23359098,0.41,"0",0
"27","halogeton","BLM","Rocky Mountain District Office",17058574,43012513,0.4,"0",0
"28","halogeton","BLM","California Desert District",12390714,32715963,0.38,"0",0
"29","halogeton","BLM","Colorado River District Office",4482451,12837842,0.35,"0",5
"30","halogeton","BLM","Boise District Office",4190477,12476806,0.34,"0",0
"31","halogeton","BLM","Idaho Falls District Office",5428159,18237976,0.3,"0",0
"32","halogeton","BLM","Southwest District Office",3250438,10688655,0.3,"0",0
"33","halogeton","BLM","Eastern Montana/Daks District Office",34943039,131224179,0.27,"0",0
"34","halogeton","BLM","Northwest District Office",3390788,12914979,0.26,"0",0
"35","halogeton","BLM","High Plains District",17009753,70447274,0.24,"0",0
"36","halogeton","BLM","Spokane District Office",11084652,45535045,0.24,"0",154
"37","halogeton","BLM","Central California District",9896914,44587440,0.22,"0",0
"38","halogeton","BLM","Western Montana District Office",4292886,29542704,0.15,"0",0
"39","halogeton","BLM","Northern California District",3707294,25799100,0.14,"0",0
"40","halogeton","BLM","Roseburg District Office",0,2690213,0,"0",69
"41","halogeton","BLM","NW Oregon District Office",0,11107437,0,"0",77
"42","halogeton","BLM","Northeastern States District Office",0,470278322,0,"0",251
"43","halogeton","BLM","Coos Bay District Office",0,3066521,0,"0",141
"44","halogeton","BLM","Medford District Office",24,3057476,0,"0",79
"45","halogeton","BLM","Coeur D'alene District Office",37404,13798609,0,"0",50
"46","halogeton","BLM","Southeastern States  District Office",0,347054542,0,"0",407
"47","halogeton","FWS","Pahranagat National Wildlife Refuge",4720,4672,1,"0",0
"48","halogeton","FWS","Umatilla National Wildlife Refuge",24015,23789,1,"0",166
"49","halogeton","FWS","White Lake National Wildlife Refuge",1054,1044,1,"0",39
"50","halogeton","FWS","San Bernardino National Wildlife Refuge",2401,2368,1,"0",112
"51","halogeton","FWS","Moapa Valley National Wildlife Refuge",120,116,1,"0",7
"52","halogeton","FWS","Cold Springs National Wildlife Refuge",3148,3124,1,"0",161
"53","halogeton","FWS","Stewart Lake National Wildlife Refuge",645,638,1,"0",45
"54","halogeton","FWS","Alamosa National Wildlife Refuge",12244,12098,1,"0",0
"55","halogeton","FWS","Minidoka National Wildlife Refuge",22489,22525,1,"0",27
"56","halogeton","FWS","Fish Springs National Wildlife Refuge",18152,17971,1,"0",6
"57","halogeton","FWS","North Platte National Wildlife Refuge",2971,2920,1,"0",125
"58","halogeton","FWS","Mckay Creek National Wildlife Refuge",1845,1827,1,"0",136
"59","halogeton","FWS","Ash Meadows National Wildlife Refuge",24729,24494,1,"0",4
"60","halogeton","FWS","Hailstone National Wildlife Refuge",158,156,1,"0",58
