"predictorNameUnit","BRT KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,1.3845647227877,5.32523729759913,0.82664054848188,3.07827616534741,3.55668116500578,1.76411918713377,0.305997552019553,0.0561797752808927
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,1.71835708298407,1.47962032384143,1.65719882468169,NA,-0.0275284919892058,0,0,0
"Bare Ground Standard Deviation (st dev of percent cover)",NA,NA,1.15555023350497,NA,1.77864838393733,NA,3.28139624511367,0,4.34516523867807,0.235955056179762
"Burn Frequency (years)",12.9834529505582,NA,5.0323314573105,7.32132886655498,14.9813907933398,6.14775725593668,-1.73429499532015,-0.299214561775327,25.0305997552021,0.359550561797801
"Burning Index (index of 0-100)",NA,NA,4.72997245838822,NA,NA,3.56200527704486,0.930463029235242,4.35731205585338,0.611995104039106,0.57303370786518
"Depth To Restriction Layer (Mean) (cm)",2.31259968102075,2.78723154559323,NA,NA,NA,NA,0.58360403017123,0.187009101109601,0.917992656058659,0.539325842696607
"Evapotranspiration (Apr-Oct) (mm)",11.8769936204147,3.907992019716,3.94413842653574,3.29424902289227,12.6699314397649,NA,11.7491603809943,0.436354569255725,28.3965728274175,0.325842696629228
"Human Influence Index (index of 0-64)",NA,NA,0.893605556220819,1.39586823003908,NA,2.82321899736147,0.209216539117983,2.89864106719863,0.917992656058659,0.325842696629228
"Isothermality (Bio3) (percent)",NA,NA,7.27607472159023,NA,7.00097943192949,NA,2.52711556460936,NA,0.979192166462637,NA
"Landscape Condition Model (index of  0-1)",12.4850478468899,NA,2.81852472757754,6.56756002233391,6.95396669931439,0.686015831134517,8.5283268182569,0.180775464405942,9.85312117503069,1.49438202247191
"Maximum Temperature Summer (degree C)",NA,NA,4.01299245599329,4.36208821887216,NA,2.58575197889182,2.78588338930793,1.01608278269544,0.42839657282751,0.516853932584288
"Mean Annual Precipitation (mm)",10.4465709728868,8.71376598990727,17.5143695365824,7.76800670016752,11.8824681684623,4.15127528583993,12.7622088861972,6.93180401446202,0.85679314565468,2.06741573033709
"Mean Diurnal Range (Bio2) (degree C)",NA,NA,3.56693809124656,NA,1.34769833496572,4.28320140721195,2.01508561361008,0.299214561775362,0.244798041615574,0.224719101123571
"Mean Growing Season Precipitation (Apr-Oct) (mm)",5.72667464114832,NA,9.03484612621243,NA,12.3290891283056,NA,6.61784947420583,NA,2.63157894736836,NA
"Mean PET (Oct-Jun) (mm)",12.9635167464115,NA,19.602442821219,NA,12.2389813907933,NA,11.0169024940814,NA,0.734394124847063,NA
"Mean Tree Cover (percent)",19.1686602870813,9.66435864335173,5.64004310860975,8.13791178112784,15.2556317335945,18.6455584872472,28.3268182568959,19.2557037775838,20.5018359853124,7.34831460674157
"Minimum Temperature Winter (degree C)",12.0364832535885,63.7953291867152,8.18315171835708,46.5522054718033,NA,45.0219876868954,6.47470131586192,64.2563271412541,2.01958384332925,80.4269662921348
"Percent Calcium Carbonate In Soil (percent)",NA,2.094824551109,1.46689019279129,4.20156337241767,NA,9.01495162708884,-0.00550569839784727,-0.448821842663009,0,2.29213483146066
"Remoteness (Night Lights) (brightness?)",NA,9.03649806360754,2.02520656208837,3.59436069235067,1.077375122429,NA,0.401915983042455,-0.835307318289457,1.22399020807821,3.21348314606739
