"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","japaneseStiltgrass","BLM","Roseburg District Office",1766124,2690213,0.66,"0",1436
"2","japaneseStiltgrass","BLM","Southeastern States  District Office",204008864,347054542,0.59,"0",0
"3","japaneseStiltgrass","BLM","Coeur D'alene District Office",7385965,13798609,0.54,"0",1117
"4","japaneseStiltgrass","BLM","Medford District Office",1077044,3057476,0.35,"0",1438
"5","japaneseStiltgrass","BLM","Northeastern States District Office",157939475,470278322,0.34,"0",0
"6","japaneseStiltgrass","BLM","Western Montana District Office",5822641,29542704,0.2,"0",899
"7","japaneseStiltgrass","BLM","NW Oregon District Office",1821072,11107437,0.16,"0",1439
"8","japaneseStiltgrass","BLM","Northern California District",4093599,25799100,0.16,"0",1277
"9","japaneseStiltgrass","BLM","Boise District Office",998102,12476806,0.08,"0",1118
"10","japaneseStiltgrass","BLM","Spokane District Office",3437642,45535045,0.08,"0",1234
"11","japaneseStiltgrass","BLM","Prineville District Office",940178,13040676,0.07,"0",1280
"12","japaneseStiltgrass","BLM","Vale District Office",943444,15222990,0.06,"0",1186
"13","japaneseStiltgrass","BLM","Lakeview District Office",484705,9125689,0.05,"0",1282
"14","japaneseStiltgrass","BLM","Idaho Falls District Office",412465,18237976,0.02,"0",906
"15","japaneseStiltgrass","BLM","North Central Montana District Office",601054,27943288,0.02,"0",830
"16","japaneseStiltgrass","BLM","West Desert",159326,22058534,0.01,"0",832
"17","japaneseStiltgrass","BLM","Central California District",487944,44587440,0.01,"0",1126
"18","japaneseStiltgrass","BLM","Coos Bay District Office",33449,3066521,0.01,"0",1501
"19","japaneseStiltgrass","BLM","High Desert District",96828,25349045,0,"0",564
"20","japaneseStiltgrass","BLM","Burns District Office",3335,5771475,0,"0",1243
"21","japaneseStiltgrass","BLM","Carson City District",0,8943177,0,"0",1149
"22","japaneseStiltgrass","BLM","Battle Mountain District",0,13487090,0,"0",1031
"23","japaneseStiltgrass","BLM","Winnemucca District",1922,11321783,0,"0",1168
"24","japaneseStiltgrass","BLM","High Plains District",17786,70447274,0,"0",166
"25","japaneseStiltgrass","BLM","Northwest District Office",23963,12914979,0,"0",606
"26","japaneseStiltgrass","BLM","Twin Falls District Office",29464,9049768,0,"0",997
"27","japaneseStiltgrass","BLM","Elko District",11139,12225080,0,"0",1018
"28","japaneseStiltgrass","BLM","Gila District Office",0,22174577,0,"0",638
"29","japaneseStiltgrass","BLM","Farmington District Office",11774,23359098,0,"0",367
"30","japaneseStiltgrass","BLM","Rocky Mountain District Office",2902,43012513,0,"0",385
"31","japaneseStiltgrass","BLM","Wind River Bighorn Basin District",7524,16307924,0,"0",743
"32","japaneseStiltgrass","BLM","Phoenix District Office",0,33183750,0,"0",651
"33","japaneseStiltgrass","BLM","Canyon Country",0,7441948,0,"0",691
"34","japaneseStiltgrass","BLM","Las Cruces District Office",0,16040602,0,"0",408
"35","japaneseStiltgrass","BLM","Green River",0,9229924,0,"0",766
"36","japaneseStiltgrass","BLM","Southern Nevada District",0,9910954,0,"0",927
"37","japaneseStiltgrass","BLM","Color Country",2255,13718194,0,"0",766
"38","japaneseStiltgrass","BLM","Albuquerque District Office",625,18192033,0,"0",441
"39","japaneseStiltgrass","BLM","Arizona Strip District Office",0,5049201,0,"0",805
"40","japaneseStiltgrass","BLM","California Desert District",0,32715963,0,"0",924
