"predictorNameUnit","BRT KDE","BRT TARGET","GLM KDE","GLM TARGET","MARS KDE","MARS TARGET","MAXENT KDE","MAXENT TARGET","RF KDE","RF TARGET"
"Available Water Content (Mean Depth, cm) (m3/m3)",7.01666457837365,NA,7.71537029425277,5.89959692194944,11.832819169167,1.14447452621214,6.27525315508556,4.2865404076912,0.127648710748008,0.730307772561162
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,3.80086559152784,2.42513075052467,1.96086717660484,1.26753630322422,0.10974210605078,0.238542720832729,0,0.208659363588862
"Bare Ground Standard Deviation (st dev of percent cover)",NA,NA,0.0338499480161449,NA,NA,NA,0.663440913852448,0.187942749746988,0.791422006637817,3.18205529473138
"Burn Frequency (years)",NA,NA,1.16056964626804,1.20923415170391,NA,NA,0.0249413877388111,0,0,0
"Burning Index (index of 0-100)",5.52144676941067,NA,5.85845886022388,2.87484593091041,NA,1.33522028058086,2.03521723948719,1.49631343067801,0.56165432729129,2.29525299947835
"Depth To Restriction Layer (Mean) (cm)",NA,NA,1.60303682390774,1.46573836570173,2.33275577906436,0.301501353679542,4.94837132738066,0.180714182449019,0.382946132244023,2.60824204486179
"Evapotranspiration (Apr-Oct) (mm)",15.2946581464311,NA,8.36093715998937,1.76554848595888,11.5623547310147,0.467634752645819,10.3506759116077,1.16379933497181,16.7985703344398,2.08659363588949
"Human Influence Index (index of 0-64)",2.18435450862463,NA,2.234096569066,0.0499683533761896,1.51713645776105,0.350726064484381,3.18750935302041,0.433714037877686,0.816951748787447,2.60824204486179
"Landscape Condition Model (index of  0-1)",9.27619763605228,NA,5.55139147464881,2.21859488990306,8.47314372649284,NA,4.46450840524767,0.563828249240962,6.22925708450345,5.37297861241515
"Maxiumum Mean Temperature Summer (degree C)",5.31261746648288,9.92380714464152,3.07550956261032,6.36263699656884,3.4357435659046,5.34703421117401,2.11502968025139,3.48416943761746,0.612713811590408,3.59937402190911
"Mean Annual Precipitation (mm)",5.72609948627992,NA,9.01859329287459,12.905160065292,1.46642437560748,5.15013536795472,5.76644884521373,1.68425618042504,0.331886647944763,2.13875847678678
"Mean Diurnal Range (Bio2) (degree C)",1.90452324270142,NA,5.58282356923523,0.0732869182850855,NA,NA,0.653464358756912,0.346971230302141,0.127648710748008,0.938967136150023
"Mean Spring PET (Mar-Jun) (mm)",1.72493004218351,NA,8.24488019536255,10.7831706585829,NA,6.5530396258922,2.05517034967827,7.09845308659825,0.255297421496015,1.72143974960876
"Mean Tree Cover (percent)",37.5976276991188,67.4369223082688,26.3570202374332,27.7024551117626,53.5646367747116,54.5163672163426,48.2915149398913,53.787769264132,71.9938728618842,62.3369848721967
"Minimum Temperature Winter (degree C)",5.50474042517645,11.6475143642268,2.07451824270413,15.1137612845198,NA,17.4686192468619,5.02319549059708,14.9053057683967,0.382946132244023,6.1032863849766
"Percent Calcium Carbonate In Soil (percent)",NA,NA,0.045939215164769,1.03267930310803,NA,NA,0.079812440764201,0.404799768685851,0,0.26082420448615
"Percent Clay (0-5 cm) (percent)",2.93613999916469,10.9917561828629,4.02089025363283,3.97414970518672,3.85411824367155,6.09771105094755,3.44191150795631,9.72965158305622,0.587184069440778,3.28638497652567
"Temperature Annual Range (Bio7) (degree C)",NA,NA,5.2612490630818,4.14404210666578,NA,NA,0.513792587419552,0.00722856729796879,0,0.5216484089723
