,Species,Admin,Unit,est_suit_area_acre,total_area_acre,perc_suit,Known_Presences,min_dist_miles
1,mediterraneansage,BLM,Burns District Office,4007792,5771475,0.69,Yes (59),0
2,mediterraneansage,BLM,Lakeview District Office,5903606,9125689,0.65,Yes (1620),0
3,mediterraneansage,BLM,Vale District Office,8030557,15222990,0.53,Yes (74),0
4,mediterraneansage,BLM,Prineville District Office,6239917,13040676,0.48,Yes (246),0
5,mediterraneansage,BLM,Twin Falls District Office,4209387,9049768,0.47,Yes (20),0
6,mediterraneansage,BLM,Boise District Office,5578479,12476806,0.45,Yes (203),0
7,mediterraneansage,BLM,Grand Staircase Escalante Nat Monument,802697,1881970,0.43,0,69
8,mediterraneansage,BLM,Canyon Country,2708240,7441948,0.36,0,28
9,mediterraneansage,BLM,Winnemucca District,3786341,11321783,0.33,Yes (1),0
10,mediterraneansage,BLM,Southwest District Office,3336364,10688655,0.31,Yes (4),0
11,mediterraneansage,BLM,Elko District,3726826,12225080,0.3,0,2
12,mediterraneansage,BLM,Color Country,4046076,13718194,0.29,0,69
13,mediterraneansage,BLM,Northern California District,6998347,25799100,0.27,Yes (697),0
14,mediterraneansage,BLM,Battle Mountain District,3392604,13487090,0.25,0,52
15,mediterraneansage,BLM,West Desert,5217706,22058534,0.24,0,29
16,mediterraneansage,BLM,Carson City District,1939896,8943177,0.22,Yes (1),0
17,mediterraneansage,BLM,Ely District,2207995,12876221,0.17,0,73
18,mediterraneansage,BLM,Farmington District Office,3760131,23359098,0.16,0,31
19,mediterraneansage,BLM,Spokane District Office,7017695,45535045,0.15,Yes (4),0
20,mediterraneansage,BLM,Green River,920984,9229924,0.1,0,88
21,mediterraneansage,BLM,Phoenix District Office,2924415,33183750,0.09,Yes (194),0
22,mediterraneansage,BLM,Arizona Strip District Office,466613,5049201,0.09,0,3
23,mediterraneansage,BLM,Albuquerque District Office,1535110,18192033,0.08,0,113
24,mediterraneansage,BLM,Rocky Mountain District Office,3188084,43012513,0.07,Yes (223),0
25,mediterraneansage,BLM,High Desert District,1022298,25349045,0.04,0,37
26,mediterraneansage,BLM,Western Montana District Office,781022,29542704,0.03,0,76
27,mediterraneansage,BLM,High Plains District,1944268,70447274,0.03,0,58
28,mediterraneansage,BLM,Wind River Bighorn Basin District,445930,16307924,0.03,0,111
29,mediterraneansage,BLM,Medford District Office,79045,3057476,0.03,Yes (3),0
30,mediterraneansage,BLM,Idaho Falls District Office,392477,18237976,0.02,Yes (1),0
31,mediterraneansage,BLM,North Central Montana District Office,588209,27943288,0.02,0,206
32,mediterraneansage,BLM,Northwest District Office,215326,12914979,0.02,Yes (1),0
33,mediterraneansage,BLM,Coeur D'alene District Office,285535,13798609,0.02,Yes (33),0
34,mediterraneansage,BLM,Eastern Montana/Daks District Office,2659110,131224179,0.02,0,189
35,mediterraneansage,BLM,Gila District Office,308707,22174577,0.01,0,36
36,mediterraneansage,BLM,Southern Nevada District,84987,9910954,0.01,Yes (1),0
37,mediterraneansage,BLM,Roseburg District Office,0,2690213,0,0,4
38,mediterraneansage,BLM,NW Oregon District Office,0,11107437,0,Yes (1),0
39,mediterraneansage,BLM,Northeastern States District Office,87323,470278322,0,Yes (1),0
40,mediterraneansage,BLM,Las Cruces District Office,0,16040602,0,0,184
41,mediterraneansage,BLM,Central California District,220447,44587440,0,0,20
42,mediterraneansage,BLM,Coos Bay District Office,0,3066521,0,0,30
43,mediterraneansage,BLM,California Desert District,6661,32715963,0,0,5
44,mediterraneansage,BLM,Colorado River District Office,10,12837842,0,0,66
45,mediterraneansage,BLM,Pecos District Office,33118,20229604,0,0,234
46,mediterraneansage,BLM,Southeastern States  District Office,2319,347054542,0,0,121
47,mediterraneansage,IPMT,North Coast/Cascades,13798983,69548751,0.2,Yes (249),0
48,mediterraneansage,IPMT,Lake Mead,14659990,87904597,0.17,Yes (1),0
49,mediterraneansage,IPMT,Northern Rocky Mountain,12510626,178895171,0.07,Yes (242),0
50,mediterraneansage,IPMT,Southwest,9940541,212434430,0.05,Yes (198),0
51,mediterraneansage,IPMT,California,2355300,68159651,0.03,Yes (28),0
52,mediterraneansage,IPMT,Southeast Coast,0,44612659,0,0,428
53,mediterraneansage,IPMT,Southeast,0,68436190,0,0,167
54,mediterraneansage,IPMT,Heartland,145866,156900528,0,Yes (1),0
