"predictorNameUnit","brt KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,NA,NA,NA,NA,0.0290427509293648,0.0475426398050568,0.501432664756355,0.738837134596703
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,NA,NA,-0.0116171003717588,0.0356569798538091,0.35816618911171,0.321233536781206
"Bare Ground Standard Deviation (st dev of percent cover)",NA,NA,NA,NA,NA,NA,0.389172862453534,0.0178284899268881,0.71633237822342,0.321233536781206
"Burn Frequency (years)",NA,NA,NA,8.72897484697289,NA,2.21205186880244,0.046468401487003,0.148570749390844,0,0.160616768390603
"Burning Index (index of 0-100)",15.4760705289672,9.37750467539403,13.5999136970046,NA,11.3222892855614,8.69565217391303,16.7228159851301,18.3336304748321,5.94555873925502,8.2235785415998
"Depth To Restriction Layer (Mean) (cm)",4.80604534005037,NA,6.32169441547701,NA,6.23260990539789,NA,6.36036245353159,0.867653176442632,3.18767908309457,0.803083841953016
"Evapotranspiration (Apr-Oct) (mm)",NA,6.87950841570934,NA,9.57255285221954,NA,7.41164505466567,0.650557620817849,5.59220300707195,1.39684813753583,4.85062640539678
"Human Influence Index (index of 0-64)",NA,NA,NA,NA,NA,0.52758708365112,0.482109665427505,0.635882807392858,6.80515759312329,0.481850305171809
"Isothermality (Bio3) (percent)",NA,16.4173123163238,4.97321011183428,NA,2.90227301913446,12.0264429188915,2.56157063197027,13.4129672550069,1.2893982808024,21.8760038548026
"Land Surface Temperature (MODIS) (0-254)",6.75062972292191,4.84905156291741,8.4001582221583,NA,9.29326655537007,4.95804729214338,10.2288568773234,8.4507042253521,4.29799426934092,3.46932219723731
"Landscape Condition Model (index of  0-1)",24.735516372796,NA,17.0232658491855,NA,29.664825992038,1.58276125095343,22.7288568773234,1.17073750519996,46.8123209169055,0.481850305171809
"Maxiumum Mean Temperature Summer (degree C)",NA,NA,3.6031500593333,NA,0,NA,2.69516728624537,5.27723301836335,0.68051575931221,2.21651140379047
"Mean Annual Precipitation (mm)",6.3073047858942,8.09511087363073,8.98989535761803,NA,11.1895894867514,1.95779303330789,3.94981412639407,1.1766803351756,4.83524355300869,7.22775457757803
"Mean Summer PET (mm)",7.81863979848866,NA,3.25074616131469,NA,NA,NA,4.12407063197025,NA,1.46848137535825,NA
"Minimum Temperature Winter (degree C)",12.4030226700252,40.7694362810581,15.153367614801,57.9651252507587,14.0704593125294,46.1861174675821,12.86593866171,32.2755095976705,5.19340974212039,24.9598458079025
"Percent Calcium Carbonate In Soil (percent)",NA,NA,0.355999856161671,NA,NA,NA,0.261384758364315,NA,0.931232091690486,NA
"Percent Clay (0-5 cm) (percent)",5.67254408060453,NA,9.43219820921285,NA,0,NA,2.88104089219331,1.11130920544363,5.01432664756453,0.642467073562413
"Percent Sand (0-5 cm) (percent)",NA,NA,NA,NA,NA,2.38367658276124,NA,0.594282997563441,NA,0.481850305171809
"Precipitation Of Driest Month (Bio14) (mm)",NA,5.73069730162967,NA,23.7333470500489,NA,2.54894482583268,0.859665427509312,0.950852796101499,0.608882521489987,10.6649534211374
"Precipitation Seasonality (Cv) (Bio15) (percent)",5.88413098236776,3.28613411701847,NA,NA,5.86019434099568,4.05542842613782,3.09014869888478,4.36798003209129,4.08309455587386,2.31288146482494
"Remoteness (Night Lights) (brightness?)",10.1460957178841,NA,8.89640044589882,NA,5.71465262617181,NA,8.02160780669146,1.15885184524871,5.30085959885382,0.867330549309328
"Temperature Annual Range (Bio7) (degree C)",NA,4.59524445631847,NA,NA,3.74983947604983,5.45385202135775,1.06296468401487,4.37392286206692,0.573065902578776,8.89816896884038
