,Species,Admin,Unit,est_suit_area_acre,total_area_acre,perc_suit,Known_Presences,min_dist_miles
1,medusahead,BLM,Grand Staircase Escalante Nat Monument,1702868,1881970,0.9,0,99
2,medusahead,BLM,Canyon Country,6141721,7441948,0.83,Yes (1),0
3,medusahead,BLM,Burns District Office,4595783,5771475,0.8,Yes (979),0
4,medusahead,BLM,Medford District Office,2429062,3057476,0.79,Yes (77),0
5,medusahead,BLM,Vale District Office,11839371,15222990,0.78,Yes (1355),0
6,medusahead,BLM,Twin Falls District Office,6774328,9049768,0.75,Yes (20),0
7,medusahead,BLM,Elko District,8793786,12225080,0.72,Yes (103),0
8,medusahead,BLM,Prineville District Office,9388416,13040676,0.72,Yes (1416),0
9,medusahead,BLM,Lakeview District Office,6261048,9125689,0.69,Yes (1564),0
10,medusahead,BLM,Ely District,8918131,12876221,0.69,Yes (7),0
11,medusahead,BLM,Boise District Office,8177764,12476806,0.66,Yes (12),0
12,medusahead,BLM,Color Country,8871020,13718194,0.65,0,36
13,medusahead,BLM,Roseburg District Office,1679991,2690213,0.62,Yes (49),0
14,medusahead,BLM,Green River,5693649,9229924,0.62,Yes (3),0
15,medusahead,BLM,Battle Mountain District,8283266,13487090,0.61,Yes (4),0
16,medusahead,BLM,Arizona Strip District Office,3016164,5049201,0.6,0,53
17,medusahead,BLM,West Desert,12755282,22058534,0.58,Yes (627),0
18,medusahead,BLM,Northern California District,14747644,25799100,0.57,Yes (208),0
19,medusahead,BLM,Carson City District,4772478,8943177,0.53,Yes (572),0
20,medusahead,BLM,Phoenix District Office,17216216,33183750,0.52,Yes (7),0
21,medusahead,BLM,Southwest District Office,5553069,10688655,0.52,0,4
22,medusahead,BLM,Winnemucca District,5797440,11321783,0.51,Yes (303),0
23,medusahead,BLM,Central California District,17766335,44587440,0.4,Yes (126),0
24,medusahead,BLM,Albuquerque District Office,6536153,18192033,0.36,0,92
25,medusahead,BLM,Idaho Falls District Office,6398997,18237976,0.35,0,0
26,medusahead,BLM,Northwest District Office,4323785,12914979,0.33,0,46
27,medusahead,BLM,Spokane District Office,14993874,45535045,0.33,Yes (36),0
28,medusahead,BLM,Farmington District Office,6968028,23359098,0.3,0,78
29,medusahead,BLM,Southern Nevada District,2868207,9910954,0.29,Yes (2),0
30,medusahead,BLM,Coeur D'alene District Office,3474275,13798609,0.25,Yes (5),0
31,medusahead,BLM,Gila District Office,5336643,22174577,0.24,0,35
32,medusahead,BLM,Nw Oregon District Office,2535673,11107437,0.23,Yes (14),0
33,medusahead,BLM,Wind River Bighorn Basin District,3361516,16307924,0.21,0,19
34,medusahead,BLM,High Desert District,4628292,25349045,0.18,0,26
35,medusahead,BLM,High Plains District,9353132,70447274,0.13,Yes (8),0
36,medusahead,BLM,California Desert District,4168894,32715963,0.13,Yes (1),0
37,medusahead,BLM,Colorado River District Office,1380499,12837842,0.11,0,55
38,medusahead,BLM,Eastern Montana/Daks District Office,7669408,131224179,0.06,0,4
39,medusahead,BLM,Western Montana District Office,1569170,29542704,0.05,Yes (5),0
40,medusahead,BLM,Las Cruces District Office,613501,16040602,0.04,0,10
41,medusahead,BLM,Coos Bay District Office,126197,3066521,0.04,Yes (2),0
42,medusahead,BLM,Pecos District Office,202814,20229604,0.01,Yes (1),0
43,medusahead,BLM,North Central Montana District Office,62275,27943288,0,0,64
44,medusahead,BLM,Northeastern States District Office,0,470278322,0,0,469
45,medusahead,BLM,Rocky Mountain District Office,192710,43012513,0,0,75
46,medusahead,BLM,Southeastern States  District Office,0,347054542,0,0,585
47,medusahead,IPMT,Lake Mead,40502972,87904597,0.46,Yes (21),0
48,medusahead,IPMT,North Coast/Cascades,30555610,69548751,0.44,Yes (1199),0
49,medusahead,IPMT,California,27049592,68159651,0.4,Yes (223),0
50,medusahead,IPMT,Northern Rocky Mountain,37386911,178895171,0.21,Yes (635),0
51,medusahead,IPMT,Southwest,41016039,212434430,0.19,Yes (8),0
52,medusahead,IPMT,Northern Great Plains,2409896,62794147,0.04,0,94
53,medusahead,IPMT,Southeast Coast,0,44612659,0,0,1053
54,medusahead,IPMT,Southeast,0,68436190,0,0,909
55,medusahead,IPMT,Heartland,0,156900528,0,0,488
56,medusahead,IPMT,Florida/Caribbean,0,37151752,0,0,985
57,medusahead,IPMT,Northeast,0,44544974,0,0,1332
58,medusahead,IPMT,Great Lakes,0,61766763,0,0,604
59,medusahead,IPMT,National Capital Region,0,2953143,0,0,1404
60,medusahead,IPMT,Mid-Atlantic,0,33307472,0,0,1322
61,medusahead,IPMT,Gulf Coast,0,61613355,0,0,427
62,medusahead,FWS,Bitter Creek National Wildlife Refuge,15016,15035,1,0,3
63,medusahead,FWS,Conboy Lake National Wildlife Refuge,6464,6477,1,0,25
64,medusahead,FWS,Bear Valley National Wildlife Refuge,4085,4223,0.97,0,4
65,medusahead,FWS,Turnbull National Wildlife Refuge,18397,19213,0.96,0,7
66,medusahead,FWS,Ankeny National Wildlife Refuge,2693,2804,0.96,0,9
67,medusahead,FWS,Modoc National Wildlife Refuge,6443,7133,0.9,0,5
68,medusahead,FWS,William L. Finley National Wildlife Refuge,4816,5708,0.84,0,19
69,medusahead,FWS,Baskett Slough National Wildlife Refuge,2008,2516,0.8,0,17
70,medusahead,FWS,Hart Mountain National Antelope Refuge,222649,280286,0.79,0,3
71,medusahead,FWS,Hopper Mountain National Wildlife Refuge,1835,2338,0.79,0,21
72,medusahead,FWS,Sheldon National Wildlife Refuge,450224,577495,0.78,0,9
73,medusahead,FWS,Mckay Creek National Wildlife Refuge,1210,1827,0.66,0,20
74,medusahead,FWS,Fish Springs National Wildlife Refuge,10291,17971,0.57,0,48
75,medusahead,FWS,Camas National Wildlife Refuge,6069,10836,0.56,0,97
76,medusahead,FWS,National Bison Range,9807,18850,0.52,0,2
77,medusahead,FWS,Columbia National Wildlife Refuge,15217,29287,0.52,0,36
78,medusahead,FWS,Pathfinder National Wildlife Refuge,8206,16851,0.49,0,157
79,medusahead,FWS,Hailstone National Wildlife Refuge,74,156,0.48,0,121
80,medusahead,FWS,Desert National Wildlife Range,751951,1636997,0.46,0,14
81,medusahead,FWS,Stone Lakes National Wildlife Refuge,2691,6404,0.42,0,6
82,medusahead,FWS,Bear River Migratory Bird Refuge,31544,76458,0.41,0,3
83,medusahead,FWS,Minidoka National Wildlife Refuge,8549,22525,0.38,0,14
84,medusahead,FWS,Toppenish National Wildlife Refuge,769,2039,0.38,0,21
85,medusahead,FWS,Clear Lake National Wildlife Refuge,9956,33579,0.3,0,6
86,medusahead,FWS,Wapato Lake National Wildlife Refuge,288,953,0.3,0,41
87,medusahead,FWS,Lower Klamath National Wildlife Refuge,15627,53130,0.29,0,0
88,medusahead,FWS,Tule Lake National Wildlife Refuge,10787,38908,0.28,0,6
89,medusahead,FWS,Tualatin River National Wildlife Refuge,355,1315,0.27,0,27
90,medusahead,FWS,Browns Park National Wildlife Refuge,3194,12323,0.26,0,70
91,medusahead,FWS,San Diego National Wildlife Refuge,2808,12524,0.22,0,25
92,medusahead,FWS,Klamath Marsh National Wildlife Refuge,8999,41869,0.21,0,20
93,medusahead,FWS,Saddle Mountain National Wildlife Refuge,32231,164309,0.2,0,38
94,medusahead,FWS,Deer Flat National Wildlife Refuge,2382,11623,0.2,0,3
95,medusahead,FWS,Malheur National Wildlife Refuge,37009,188072,0.2,Yes (2),0
96,medusahead,FWS,Kootenai National Wildlife Refuge,513,2766,0.19,0,116
97,medusahead,FWS,Ruby Lake National Wildlife Refuge,6802,39951,0.17,0,7
98,medusahead,FWS,National Elk Refuge,4313,24971,0.17,0,123
99,medusahead,FWS,Sevilleta National Wildlife Refuge,37436,227856,0.16,0,145
100,medusahead,FWS,Ridgefield National Wildlife Refuge,685,4991,0.14,0,36
101,medusahead,FWS,Little Pend Oreille National Wildlife Refuge,4713,42230,0.11,0,58
102,medusahead,FWS,Upper Klamath National Wildlife Refuge,2885,25613,0.11,0,12
103,medusahead,FWS,Umatilla National Wildlife Refuge,2334,23789,0.1,0,19
104,medusahead,FWS,Bosque Del Apache National Wildlife Refuge,5485,57912,0.09,0,127
105,medusahead,FWS,Grass Lake National Wildlife Refuge,347,4051,0.09,0,114
106,medusahead,FWS,Billy Frank Jr. Nisqually National Wildlife Refuge,448,5776,0.08,0,96
107,medusahead,FWS,Bear Lake National Wildlife Refuge,1011,18181,0.06,0,24
108,medusahead,FWS,Leslie Canyon National Wildlife Refuge,1502,25006,0.06,0,258
109,medusahead,FWS,Rocky Flats National Wildlife Refuge,300,6539,0.05,0,237
110,medusahead,FWS,Fallon National Wildlife Refuge,695,17955,0.04,0,33
111,medusahead,FWS,Grays Lake National Wildlife Refuge,170,4998,0.03,0,79
112,medusahead,FWS,Cokeville Meadows National Wildlife Refuge,163,6286,0.03,0,36
113,medusahead,FWS,Seedskadee National Wildlife Refuge,752,25985,0.03,0,81
114,medusahead,FWS,Sacramento River National Wildlife Refuge,278,11649,0.02,0,6
115,medusahead,FWS,Mcnary National Wildlife Refuge,304,15844,0.02,0,36
116,medusahead,FWS,Steigerwald Lake National Wildlife Refuge,22,1116,0.02,0,13
117,medusahead,FWS,Baca National Wildlife Refuge,618,86760,0.01,0,165
118,medusahead,FWS,Benton Lake National Wildlife Refuge,86,12343,0.01,0,112
119,medusahead,FWS,Stillwater National Wildlife Refuge,645,83029,0.01,0,29
120,medusahead,FWS,Colusa National Wildlife Refuge,31,4082,0.01,0,9
121,medusahead,FWS,Silvio O. Conte National Fish and Wildlife Refuge,0,38352,0,0,1601
122,medusahead,FWS,Sauta Cave National Wildlife Refuge,0,266,0,0,1043
123,medusahead,FWS,Union Slough National Wildlife Refuge,0,2908,0,0,609
124,medusahead,FWS,St. Catherine Creek National Wildlife Refuge,0,25428,0,0,760
125,medusahead,FWS,Whittlesey Creek National Wildlife Refuge,0,359,0,0,740
126,medusahead,FWS,Caddo Lake National Wildlife Refuge,0,8415,0,0,602
127,medusahead,FWS,Shiawassee National Wildlife Refuge,0,10186,0,0,1073
128,medusahead,FWS,Pilot Knob National Wildlife Refuge,0,97,0,0,851
129,medusahead,FWS,Ten Thousand Islands National Wildlife Refuge,0,33944,0,0,1434
130,medusahead,FWS,Passage Key National Wildlife Refuge,0,63,0,0,1328
131,medusahead,FWS,Pahranagat National Wildlife Refuge,0,4672,0,0,13
132,medusahead,FWS,Sullys Hill National Game Preserve,0,1630,0,0,427
133,medusahead,FWS,Willow Lake National Wildlife Refuge,0,1,0,0,428
134,medusahead,FWS,Lake Andes National Wildlife Refuge,0,1133,0,0,410
135,medusahead,FWS,Blue Ridge National Wildlife Refuge,0,906,0,0,31
136,medusahead,FWS,Presquile National Wildlife Refuge,0,1297,0,0,1524
137,medusahead,FWS,Cedar Island National Wildlife Refuge,0,14328,0,0,1567
138,medusahead,FWS,James River National Wildlife Refuge,0,4317,0,0,1530
139,medusahead,FWS,Cherry Valley National Wildlife Refuge,0,2605,0,0,1529
140,medusahead,FWS,St. Johns National Wildlife Refuge,0,6460,0,0,1403
141,medusahead,FWS,Ellicott Slough National Wildlife Refuge,0,198,0,0,25
142,medusahead,FWS,Black Coulee National Wildlife Refuge,0,683,0,0,271
143,medusahead,FWS,Stewart B. Mckinney National Wildlife Refuge,0,1035,0,0,1605
144,medusahead,FWS,Swan River National Wildlife Refuge,0,1933,0,0,49
145,medusahead,FWS,Ozark Cavefish National Wildlife Refuge,0,41,0,0,650
146,medusahead,FWS,Great Dismal Swamp National Wildlife Refuge,0,113358,0,0,1558
147,medusahead,FWS,San Luis National Wildlife Refuge,0,17874,0,0,27
148,medusahead,FWS,White Lake National Wildlife Refuge,0,1044,0,0,211
149,medusahead,FWS,Little River National Wildlife Refuge,0,15088,0,0,477
150,medusahead,FWS,Tishomingo National Wildlife Refuge,0,16467,0,0,470
151,medusahead,FWS,Tamarac National Wildlife Refuge,0,43553,0,0,536
152,medusahead,FWS,Wichita Mountains Wildlife Refuge,0,59022,0,0,372
153,medusahead,FWS,Chase Lake National Wildlife Refuge,0,4354,0,0,379
154,medusahead,FWS,Marin Islands National Wildlife Refuge,0,469,0,0,7
155,medusahead,FWS,Seney National Wildlife Refuge,0,95298,0,0,951
156,medusahead,FWS,Siletz Bay National Wildlife Refuge,0,525,0,0,36
157,medusahead,FWS,Cahaba River National Wildlife Refuge,0,3619,0,0,992
158,medusahead,FWS,Hutton Lake National Wildlife Refuge,0,1992,0,0,224
