"predictorNameUnit","BRT KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",10.8082765518535,NA,6.34847706818734,NA,10.2640501387034,NA,8.12179976032249,NA,3.70972990562969,NA
"Bare Ground Standard Deviation (st dev of percent cover)",NA,NA,0.58647063592876,4.99161073825503,NA,1.03836434642774,1.45440679812616,1.22419850680721,0.504393101204088,0.664354165441804
"Depth To Restriction Layer (Mean) (cm)",5.78858535975496,4.63936208771292,6.99170292694792,6.46905294556301,5.40943182985721,3.80886744773717,4.97330863928534,7.05423803249893,2.11519687601687,6.64942089482039
"Evapotranspiration (Mar-Jun) (mm)",NA,NA,6.86738196264966,NA,3.6525223466557,NA,5.72502451247411,NA,2.47315327041982,NA
"Human Influence Index (index of 0-64)",NA,NA,2.93505580930245,3.92431021625653,3.09257166341315,NA,2.32051421723501,1.08695652173912,0.162707452001284,0.517373155388318
"Landscape Condition Model (index of  0-1)",NA,NA,3.48639225966866,2.19985085756898,4.6131716839618,0.790259591086607,4.44492864146423,0.7411067193676,2.45688252521967,0.235169616085609
"Mean Diurnal Range (Bio2) (degree C)",12.4335812964931,NA,5.55930920785926,NA,7.42833658686943,NA,5.3546137923521,NA,8.52587048486813,NA
"Mean PET (Oct-Jun) (mm)",25.8610989560543,44.8230035036849,8.98354098537877,18.4470544369873,17.6975238878044,37.8957041121066,12.8173003595163,28.8098375054897,38.9196225187114,39.5202539831854
"Mean Temperature Spring (degree C)",19.2161030193161,NA,11.2348314910408,NA,22.7781773348402,NA,22.6767621745288,NA,10.7386918320859,NA
"Minimum Temperature Winter (degree C)",15.0028130274426,39.7768917884902,18.3292343450177,34.0837061894109,15.1186684475496,24.8242591316334,19.8932345571413,32.9710144927536,20.501138952164,33.1001234640485
"Percent Clay (0-5 cm) (percent)",10.8895417890855,4.52659981474768,8.07275479041107,13.8888888888889,9.9455460803452,14.4314266023432,5.99193811962086,9.76064997804128,4.14904002603319,2.88670703745078
"Precipitation Of Warmest Quarter (Bio18) (mm)",NA,NA,NA,15.9955257270694,NA,17.2111187686653,NA,17.4681598594642,NA,15.4682814980305
"Remoteness (Night Lights) (brightness?)",NA,6.23414280536427,6.14307721412936,NA,NA,NA,1.1602571086175,0.883838383838384,5.72730231044577,0.958316185548807
"Temperature Annual Range (Bio7) (degree C)",NA,NA,14.4617713034783,NA,NA,NA,5.06591131931585,NA,0.0162707452001464,NA
