"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","medusahead10","BLM","Burns District Office",4892404,5771475,0.85,"Yes (728)",0
"2","medusahead10","BLM","Medford District Office",2419730,3057476,0.79,"Yes (32)",0
"3","medusahead10","BLM","Vale District Office",11348755,15222990,0.75,"Yes (1037)",0
"4","medusahead10","BLM","Northern California District",19205710,25799100,0.74,"Yes (367)",0
"5","medusahead10","BLM","Lakeview District Office",6253136,9125689,0.69,"Yes (1313)",0
"6","medusahead10","BLM","Twin Falls District Office",6020740,9049768,0.67,"Yes (9)",0
"7","medusahead10","BLM","Prineville District Office",8432371,13040676,0.65,"Yes (168)",0
"8","medusahead10","BLM","Grand Staircase Escalante Nat Monument",1205723,1881970,0.64,"0",99
"9","medusahead10","BLM","Canyon Country",4706721,7441948,0.63,"Yes (1)",0
"10","medusahead10","BLM","Boise District Office",7621219,12476806,0.61,"Yes (23)",0
"11","medusahead10","BLM","Roseburg District Office",1474668,2690213,0.55,"Yes (37)",0
"12","medusahead10","BLM","Elko District",6518954,12225080,0.53,"Yes (73)",0
"13","medusahead10","BLM","Winnemucca District",5601449,11321783,0.49,"Yes (196)",0
"14","medusahead10","BLM","Battle Mountain District",6302995,13487090,0.47,"0",20
"15","medusahead10","BLM","Carson City District",4129566,8943177,0.46,"Yes (118)",0
"16","medusahead10","BLM","Arizona Strip District Office",2289278,5049201,0.45,"0",63
"17","medusahead10","BLM","Central California District",17039396,44587440,0.38,"Yes (284)",0
"18","medusahead10","BLM","Color Country",5280453,13718194,0.38,"0",39
"19","medusahead10","BLM","Ely District",4947834,12876221,0.38,"0",16
"20","medusahead10","BLM","Spokane District Office",15879897,45535045,0.35,"Yes (30)",0
"21","medusahead10","BLM","West Desert",7515609,22058534,0.34,"Yes (139)",0
"22","medusahead10","BLM","Southwest District Office",3399217,10688655,0.32,"0",4
"23","medusahead10","BLM","Phoenix District Office",8756482,33183750,0.26,"Yes (2)",0
"24","medusahead10","BLM","Farmington District Office",5155654,23359098,0.22,"0",78
"25","medusahead10","BLM","Green River",1888108,9229924,0.2,"0",46
"26","medusahead10","BLM","Albuquerque District Office",3016583,18192033,0.17,"0",126
"27","medusahead10","BLM","Gila District Office",3361671,22174577,0.15,"0",35
"28","medusahead10","BLM","Southern Nevada District",1386092,9910954,0.14,"Yes (1)",0
"29","medusahead10","BLM","Coeur D'alene District Office",1810122,13798609,0.13,"Yes (3)",0
"30","medusahead10","BLM","Nw Oregon District Office",1353297,11107437,0.12,"Yes (3)",0
"31","medusahead10","BLM","Idaho Falls District Office",1255153,18237976,0.07,"0",0
"32","medusahead10","BLM","Coos Bay District Office",214485,3066521,0.07,"Yes (1)",0
"33","medusahead10","BLM","California Desert District",1997980,32715963,0.06,"0",20
"34","medusahead10","BLM","Colorado River District Office",512178,12837842,0.04,"0",55
"35","medusahead10","BLM","Rocky Mountain District Office",1201643,43012513,0.03,"0",75
"36","medusahead10","BLM","Wind River Bighorn Basin District",481803,16307924,0.03,"0",19
"37","medusahead10","BLM","Northwest District Office",298624,12914979,0.02,"0",102
"38","medusahead10","BLM","High Desert District",379824,25349045,0.01,"0",31
"39","medusahead10","BLM","Western Montana District Office",340517,29542704,0.01,"Yes (1)",0
"40","medusahead10","BLM","High Plains District",627734,70447274,0.01,"Yes (2)",0
"41","medusahead10","BLM","Pecos District Office",167128,20229604,0.01,"0",289
"42","medusahead10","BLM","Eastern Montana/Daks District Office",724900,131224179,0.01,"0",13
"43","medusahead10","BLM","North Central Montana District Office",81599,27943288,0,"0",64
"44","medusahead10","BLM","Northeastern States District Office",0,470278322,0,"0",469
"45","medusahead10","BLM","Las Cruces District Office",22269,16040602,0,"0",196
"46","medusahead10","BLM","Southeastern States  District Office",0,347054542,0,"0",762
"47","medusahead10","EPMT","California",30317792,68159651,0.44,"Yes (562)",0
"48","medusahead10","EPMT","North Coast/Cascades",28363415,69548751,0.41,"Yes (764)",0
"49","medusahead10","EPMT","Lake Mead",24705256,87904597,0.28,"Yes (3)",0
