"predictorNameUnit","brt KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",0.902211874272423,NA,18.1748933577087,14.0646137619517,9.13696060037522,NA,7.08241040495258,18.0683114232547,4.25833151818779,1.8895348837204
"Bare Ground Standard Deviation (st dev of percent cover)",1.12048894062871,NA,15.2803168799512,1.52248182881252,2.04502814258912,NA,1.56187879820525,1.53070412389699,0.980178610324559,5.08720930232583
"Depth To Restriction Layer (Mean) (cm)",5.10768335273576,19.4815396700707,21.709323583181,2.33187352394928,6.81676047529704,9.26743159752867,7.64468677230644,6.99921964103486,5.53256371160962,18.3139534883719
"Evapotranspiration (Mar-Jun) (mm)",11.7869615832363,NA,NA,NA,15.3908692933083,NA,16.0561140455501,NA,18.1768677847963,NA
"Human Influence Index (index of 0-64)",1.20779976717112,NA,NA,6.57372801687571,NA,13.2882220260861,2.07871869142954,4.55609580406988,0.457416684818157,6.2499999999998
"Landscape Condition Model (index of  0-1)",3.28870779976715,NA,NA,0.584688051727707,3.25828642901814,4.61900558987936,2.58419946612143,1.42265442103367,0.936615116532373,7.12209302325568
"Mean Diurnal Range (Bio2) (degree C)",3.60884749708961,12.1039539146373,NA,NA,8.21138211382116,5.30548200451117,6.0260123814392,3.3255297436821,2.05837508168156,7.70348837209267
"Mean March Precipitation/Mean Spring Precipitation (fraction/mm)",14.0715948777648,NA,NA,12.3701648591016,15.0406504065041,NA,14.443119213949,2.5571763010985,13.4066652145502,4.50581395348885
"Mean PET (Oct-Jun) (mm)",8.67287543655412,34.2236187483635,NA,17.1737784605507,10.7379612257661,8.05138766303818,6.89498494916795,16.0813974428237,6.85035939882378,3.48837209302271
"Mean Temperature Spring (degree C)",NA,NA,NA,7.38311971201247,NA,NA,NA,2.98937511255177,NA,5.81395348837226
"Minimum Temperature Winter (degree C)",40.7305005820721,34.1908876669285,17.3293723339427,21.5554995070277,14.2151344590369,12.2879278219084,25.9044698131425,22.7444624527283,37.3448050533653,13.0813953488374
"Percent Clay (0-5 cm) (percent)",2.60477299185101,NA,16.4457647775747,3.57003645701971,10.3814884302689,19.2899872511523,5.69659794399955,11.4592712647818,2.27619255064254,13.2267441860468
"Precipitation Of Warmest Quarter (Bio18) (mm)",NA,NA,NA,9.02024625685003,NA,23.3500049034029,NA,4.79020349360706,NA,7.55813953488402
"Remoteness (Night Lights) (brightness?)",6.89755529685683,NA,11.0603290676417,3.8497695641208,4.76547842401499,4.54055114249291,3.37933776338956,3.47559877543668,7.30777608364191,5.95930232558171
"Temperature Annual Range (Bio7) (degree C)",NA,NA,NA,NA,NA,NA,0.647469756346894,NA,0.413853191025911,NA
