"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","medusahead","BLM","Grand Staircase Escalante Nat Monument",1856435,1881970,0.99,"0",99
"2","medusahead","BLM","Burns District Office",5597141,5771475,0.97,"0",0
"3","medusahead","BLM","Canyon Country",7169968,7441948,0.96,"0",0
"4","medusahead","BLM","Twin Falls District Office",8470183,9049768,0.94,"0",0
"5","medusahead","BLM","Elko District",11448559,12225080,0.94,"0",0
"6","medusahead","BLM","Medford District Office",2877331,3057476,0.94,"0",0
"7","medusahead","BLM","Vale District Office",14098883,15222990,0.93,"0",0
"8","medusahead","BLM","Color Country",12392355,13718194,0.9,"0",36
"9","medusahead","BLM","Lakeview District Office",8025681,9125689,0.88,"0",0
"10","medusahead","BLM","Prineville District Office",11455606,13040676,0.88,"0",0
"11","medusahead","BLM","Ely District",11287500,12876221,0.88,"0",0
"12","medusahead","BLM","Northern California District",22382638,25799100,0.87,"0",0
"13","medusahead","BLM","Battle Mountain District",11147102,13487090,0.83,"0",0
"14","medusahead","BLM","Roseburg District Office",2199309,2690213,0.82,"0",0
"15","medusahead","BLM","Arizona Strip District Office",4158768,5049201,0.82,"0",53
"16","medusahead","BLM","West Desert",17377431,22058534,0.79,"0",0
"17","medusahead","BLM","Green River",7330830,9229924,0.79,"0",0
"18","medusahead","BLM","Boise District Office",9791711,12476806,0.78,"0",0
"19","medusahead","BLM","Winnemucca District",8584991,11321783,0.76,"0",0
"20","medusahead","BLM","Southwest District Office",8078801,10688655,0.76,"0",4
"21","medusahead","BLM","Carson City District",6746091,8943177,0.75,"0",0
"22","medusahead","BLM","Central California District",32593544,44587440,0.73,"0",0
"23","medusahead","BLM","Albuquerque District Office",12367324,18192033,0.68,"0",92
"24","medusahead","BLM","Idaho Falls District Office",11928709,18237976,0.65,"0",0
"25","medusahead","BLM","North Central Montana District Office",17941576,27943288,0.64,"0",64
"26","medusahead","BLM","NW Oregon District Office",7075528,11107437,0.64,"0",0
"27","medusahead","BLM","Phoenix District Office",20464335,33183750,0.62,"0",0
"28","medusahead","BLM","Wind River Bighorn Basin District",9739516,16307924,0.6,"0",15
"29","medusahead","BLM","Spokane District Office",26871950,45535045,0.59,"0",0
"30","medusahead","BLM","High Desert District",13700068,25349045,0.54,"0",26
"31","medusahead","BLM","Northwest District Office",6945148,12914979,0.54,"0",46
"32","medusahead","BLM","Farmington District Office",11220011,23359098,0.48,"0",78
"33","medusahead","BLM","Coos Bay District Office",1321339,3066521,0.43,"0",0
"34","medusahead","BLM","Southern Nevada District",4308849,9910954,0.43,"0",0
"35","medusahead","BLM","Coeur D'alene District Office",5721114,13798609,0.41,"0",0
"36","medusahead","BLM","Gila District Office",8474510,22174577,0.38,"0",35
"37","medusahead","BLM","Western Montana District Office",11017379,29542704,0.37,"0",0
"38","medusahead","BLM","Eastern Montana/Daks District Office",48965442,131224179,0.37,"0",0
"39","medusahead","BLM","Pecos District Office",6816620,20229604,0.34,"0",0
"40","medusahead","BLM","High Plains District",21495155,70447274,0.31,"0",0
"41","medusahead","BLM","Rocky Mountain District Office",12474990,43012513,0.29,"0",75
"42","medusahead","BLM","California Desert District",8736087,32715963,0.27,"0",0
"43","medusahead","BLM","Colorado River District Office",1548794,12837842,0.12,"0",55
"44","medusahead","BLM","Las Cruces District Office",1584310,16040602,0.1,"0",10
"45","medusahead","BLM","Northeastern States District Office",0,470278322,0,"0",468
"46","medusahead","BLM","Southeastern States  District Office",0,347054542,0,"0",585
"47","medusahead","FWS","Baskett Slough National Wildlife Refuge",2545,2516,1,"0",17
"48","medusahead","FWS","Modoc National Wildlife Refuge",7109,7133,1,"0",5
"49","medusahead","FWS","Ellicott Slough National Wildlife Refuge",211,198,1,"0",25
"50","medusahead","FWS","White Lake National Wildlife Refuge",1054,1044,1,"0",205
"51","medusahead","FWS","Clear Lake National Wildlife Refuge",33933,33579,1,"0",6
"52","medusahead","FWS","Bear River Migratory Bird Refuge",76486,76458,1,"0",3
"53","medusahead","FWS","Bear Lake National Wildlife Refuge",18368,18181,1,"0",24
"54","medusahead","FWS","Ruby Lake National Wildlife Refuge",40378,39951,1,"0",7
"55","medusahead","FWS","Bear Valley National Wildlife Refuge",4258,4223,1,"0",4
"56","medusahead","FWS","National Bison Range",18984,18850,1,"0",2
"57","medusahead","FWS","Stewart Lake National Wildlife Refuge",645,638,1,"0",191
"58","medusahead","FWS","Deer Flat National Wildlife Refuge",11755,11623,1,"0",3
"59","medusahead","FWS","Minidoka National Wildlife Refuge",22595,22525,1,"0",14
"60","medusahead","FWS","Fish Springs National Wildlife Refuge",18145,17971,1,"0",48
"61","medusahead","FWS","Sheldon National Wildlife Refuge",581287,577495,1,"0",9
"62","medusahead","FWS","Sacramento River National Wildlife Refuge",11824,11649,1,"0",6
"63","medusahead","FWS","War Horse National Wildlife Refuge",2897,2853,1,"0",149
"64","medusahead","FWS","Mckay Creek National Wildlife Refuge",1845,1827,1,"0",20
"65","medusahead","FWS","Hopper Mountain National Wildlife Refuge",2358,2338,1,"0",21
"66","medusahead","FWS","Bear Butte National Wildlife Refuge",405,402,1,"0",163
"67","medusahead","FWS","Hailstone National Wildlife Refuge",158,156,1,"0",115
"68","medusahead","FWS","Valle De Oro National Wildlife Refuge",498,489,1,"0",191
"69","medusahead","FWS","Sacramento National Wildlife Refuge",11031,10917,1,"0",13
"70","medusahead","FWS","Ridgefield National Wildlife Refuge",5034,4991,1,"0",36
"71","medusahead","FWS","Nine-pipe National Wildlife Refuge",2094,2082,1,"0",13
"72","medusahead","FWS","Ouray National Wildlife Refuge",12040,11914,1,"0",15
"73","medusahead","FWS","Grass Lake National Wildlife Refuge",4102,4051,1,"0",107
"74","medusahead","FWS","Toppenish National Wildlife Refuge",2053,2039,1,"0",21
"75","medusahead","FWS","Franz Lake National Wildlife Refuge",587,583,1,"0",15
"76","medusahead","FWS","Turnbull National Wildlife Refuge",19410,19213,1,"0",7
"77","medusahead","FWS","San Pablo Bay National Wildlife Refuge",20486,20224,1,"0",5
"78","medusahead","FWS","Ankeny National Wildlife Refuge",2827,2804,1,"0",9
