"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","orangehawkweed","BLM","Coeur D'alene District Office",10604287,13798609,0.77,"Yes (684)",0
"2","orangehawkweed","BLM","Western Montana District Office",18467536,29542704,0.63,"Yes (1986)",0
"3","orangehawkweed","BLM","Northeastern States District Office",274428288,470278322,0.58,"Yes (2426)",0
"4","orangehawkweed","BLM","Spokane District Office",15023252,45535045,0.33,"Yes (420)",0
"5","orangehawkweed","BLM","Southeastern States  District Office",106245647,347054542,0.31,"Yes (3)",0
"6","orangehawkweed","BLM","Northwest District Office",3849333,12914979,0.3,"Yes (30)",0
"7","orangehawkweed","BLM","Prineville District Office",3205951,13040676,0.25,"Yes (26)",0
"8","orangehawkweed","BLM","Roseburg District Office",651620,2690213,0.24,"0",7
"9","orangehawkweed","BLM","NW Oregon District Office",2692522,11107437,0.24,"Yes (22)",0
"10","orangehawkweed","BLM","Vale District Office",3582928,15222990,0.24,"Yes (1)",0
"11","orangehawkweed","BLM","Idaho Falls District Office",4226854,18237976,0.23,"Yes (5)",0
"12","orangehawkweed","BLM","Southwest District Office",2402660,10688655,0.22,"0",3
"13","orangehawkweed","BLM","Boise District Office",2353527,12476806,0.19,"Yes (26)",0
"14","orangehawkweed","BLM","Wind River Bighorn Basin District",2967560,16307924,0.18,"Yes (9)",0
"15","orangehawkweed","BLM","Medford District Office",520231,3057476,0.17,"Yes (1)",0
"16","orangehawkweed","BLM","High Desert District",3850917,25349045,0.15,"0",27
"17","orangehawkweed","BLM","Rocky Mountain District Office",4783794,43012513,0.11,"Yes (52)",0
"18","orangehawkweed","BLM","Lakeview District Office",895238,9125689,0.1,"0",9
"19","orangehawkweed","BLM","West Desert",1875536,22058534,0.09,"Yes (13)",0
"20","orangehawkweed","BLM","Farmington District Office",1935329,23359098,0.08,"0",29
"21","orangehawkweed","BLM","North Central Montana District Office",1806458,27943288,0.06,"Yes (6)",0
"22","orangehawkweed","BLM","Burns District Office",203111,5771475,0.04,"Yes (1)",0
"23","orangehawkweed","BLM","Green River",384711,9229924,0.04,"0",34
"24","orangehawkweed","BLM","Color Country",502622,13718194,0.04,"Yes (1)",0
"25","orangehawkweed","BLM","Twin Falls District Office",242646,9049768,0.03,"Yes (1)",0
"26","orangehawkweed","BLM","Gila District Office",565571,22174577,0.03,"0",208
"27","orangehawkweed","BLM","Northern California District",584670,25799100,0.02,"0",49
"28","orangehawkweed","BLM","Albuquerque District Office",293557,18192033,0.02,"0",96
"29","orangehawkweed","BLM","High Plains District",891182,70447274,0.01,"0",15
"30","orangehawkweed","BLM","Canyon Country",54145,7441948,0.01,"0",99
"31","orangehawkweed","BLM","Eastern Montana/Daks District Office",1205426,131224179,0.01,"Yes (18)",0
"32","orangehawkweed","BLM","Carson City District",585,8943177,0,"0",218
"33","orangehawkweed","BLM","Battle Mountain District",12462,13487090,0,"0",127
"34","orangehawkweed","BLM","Winnemucca District",834,11321783,0,"0",116
"35","orangehawkweed","BLM","Elko District",54191,12225080,0,"0",46
"36","orangehawkweed","BLM","Phoenix District Office",71263,33183750,0,"0",98
"37","orangehawkweed","BLM","Las Cruces District Office",78206,16040602,0,"0",284
"38","orangehawkweed","BLM","Central California District",113737,44587440,0,"0",210
"39","orangehawkweed","BLM","Coos Bay District Office",0,3066521,0,"0",55
"40","orangehawkweed","BLM","Southern Nevada District",0,9910954,0,"0",82
"41","orangehawkweed","BLM","Arizona Strip District Office",2331,5049201,0,"0",52
"42","orangehawkweed","BLM","California Desert District",2,32715963,0,"0",194
"43","orangehawkweed","BLM","Colorado River District Office",0,12837842,0,"0",121
"44","orangehawkweed","BLM","Pecos District Office",13720,20229604,0,"0",172
"45","orangehawkweed","BLM","Ely District",2267,12876221,0,"0",51
"46","orangehawkweed","BLM","Grand Staircase Escalante Nat Monument",5,1881970,0,"0",44
"47","orangehawkweed","EPMT","Mid-Atlantic",26387866,33307472,0.79,"Yes (2)",0
"48","orangehawkweed","EPMT","Southeast",51900452,68436190,0.76,"Yes (3)",0
"49","orangehawkweed","EPMT","Northeast",33197427,44544974,0.75,"Yes (73)",0
"50","orangehawkweed","EPMT","Great Lakes",44603030,61766763,0.72,"Yes (2153)",0
"51","orangehawkweed","EPMT","Heartland",69667854,156900528,0.44,"Yes (20)",0
"52","orangehawkweed","EPMT","North Coast/Cascades",28654010,69548751,0.41,"Yes (1049)",0
"53","orangehawkweed","EPMT","National Capital Region",1188841,2953143,0.4,"0",50
"54","orangehawkweed","EPMT","Northern Rocky Mountain",37667047,178895171,0.21,"Yes (985)",0
"55","orangehawkweed","EPMT","Southeast Coast",2284212,44612659,0.05,"0",101
"56","orangehawkweed","EPMT","California",459798,68159651,0.01,"0",50
"57","orangehawkweed","EPMT","Lake Mead",1279835,87904597,0.01,"Yes (1)",0
"58","orangehawkweed","EPMT","Northern Great Plains",894527,62794147,0.01,"Yes (1)",0
"59","orangehawkweed","EPMT","Southwest",2773393,212434430,0.01,"0",37
"60","orangehawkweed","EPMT","Gulf Coast",915066,61613355,0.01,"0",256
"61","orangehawkweed","EPMT","Florida/Caribbean",0,37151752,0,"0",344
"62","orangehawkweed","FWS","Whittlesey Creek National Wildlife Refuge",364,359,1,"0",10
"63","orangehawkweed","FWS","Pilot Knob National Wildlife Refuge",105,97,1,"0",336
"64","orangehawkweed","FWS","Cherry Valley National Wildlife Refuge",2662,2605,1,"0",36
"65","orangehawkweed","FWS","Franklin Island National Wildlife Refuge",19,18,1,"0",69
"66","orangehawkweed","FWS","Lost Trail National Wildlife Refuge",9107,9017,1,"0",2
"67","orangehawkweed","FWS","Great Bay National Wildlife Refuge",1162,1153,1,"0",39
"68","orangehawkweed","FWS","Lee Metcalf National Wildlife Refuge",2945,2899,1,"0",7
"69","orangehawkweed","FWS","Pierce National Wildlife Refuge",395,391,1,"0",15
"70","orangehawkweed","FWS","Erie National Wildlife Refuge",8820,8853,1,"0",38
"71","orangehawkweed","FWS","John Hay National Wildlife Refuge",84,80,1,"0",13
"72","orangehawkweed","FWS","Big Oaks National Wildlife Refuge",52097,51664,1,"0",185
"73","orangehawkweed","FWS","Logan Cave National Wildlife Refuge",129,126,1,"0",404
"74","orangehawkweed","FWS","Montezuma National Wildlife Refuge",10025,10025,1,"0",35
"75","orangehawkweed","FWS","Canaan Valley National Wildlife Refuge",16916,16688,1,"Yes (1)",0
"76","orangehawkweed","FWS","Ohio River Islands National Wildlife Refuge",3311,3282,1,"0",17
"77","orangehawkweed","FWS","Franz Lake National Wildlife Refuge",587,583,1,"0",16
"78","orangehawkweed","FWS","Seatuck National Wildlife Refuge",216,211,1,"0",90
"79","orangehawkweed","FWS","Mingo National Wildlife Refuge",21866,21699,1,"0",368
"80","orangehawkweed","FWS","Muscatatuck National Wildlife Refuge",7916,7832,1,"0",205
"81","orangehawkweed","FWS","Kootenai National Wildlife Refuge",2791,2766,1,"0",2
"82","orangehawkweed","FWS","Pond Island National Wildlife Refuge",19,17,1,"0",81
"83","orangehawkweed","FWS","Stewart B. Mckinney National Wildlife Refuge",1021,1035,0.99,"0",61
"84","orangehawkweed","FWS","Ozark Cavefish National Wildlife Refuge",41,41,0.99,"0",330
"85","orangehawkweed","FWS","Hackmatack National Wildlife Refuge",175,177,0.99,"0",38
"86","orangehawkweed","FWS","Little Pend Oreille National Wildlife Refuge",41703,42230,0.99,"0",4
"87","orangehawkweed","FWS","Nomans Land Island National Wildlife Refuge",613,618,0.99,"0",66
"88","orangehawkweed","FWS","Shawangunk Grasslands National Wildlife Refuge",594,598,0.99,"0",6
"89","orangehawkweed","FWS","Swan River National Wildlife Refuge",1890,1933,0.98,"Yes (1)",0
"90","orangehawkweed","FWS","Great Thicket National Wildlife Refuge",141,144,0.98,"0",33
"91","orangehawkweed","FWS","Sachuest Point National Wildlife Refuge",240,244,0.98,"0",52
"92","orangehawkweed","FWS","Cross Creeks National Wildlife Refuge",8561,8814,0.97,"0",233
"93","orangehawkweed","FWS","Ozark Plateau National Wildlife Refuge",4164,4300,0.97,"0",350
"94","orangehawkweed","FWS","Sunkhaze Meadows National Wildlife Refuge",11132,11619,0.96,"0",36
"95","orangehawkweed","FWS","Mountain Bogs National Wildlife Refuge",34,35,0.96,"0",105
"96","orangehawkweed","FWS","Seney National Wildlife Refuge",90390,95298,0.95,"Yes (2)",0
"97","orangehawkweed","FWS","Necedah National Wildlife Refuge",41756,44027,0.95,"0",40
"98","orangehawkweed","FWS","Patoka River National Wildlife Refuge",9908,10426,0.95,"0",277
"99","orangehawkweed","FWS","Great Swamp National Wildlife Refuge",7399,7946,0.93,"0",65
"100","orangehawkweed","FWS","Wapack National Wildlife Refuge",1493,1644,0.91,"0",11
"101","orangehawkweed","FWS","Iroquois National Wildlife Refuge",9812,10837,0.91,"0",42
"102","orangehawkweed","FWS","Ninigret National Wildlife Refuge",798,883,0.9,"0",67
"103","orangehawkweed","FWS","Cypress Creek National Wildlife Refuge",15498,17389,0.89,"0",320
"104","orangehawkweed","FWS","Clarence Cannon National Wildlife Refuge",3309,3736,0.89,"0",227
"105","orangehawkweed","FWS","Tamarac National Wildlife Refuge",38360,43553,0.88,"0",16
"106","orangehawkweed","FWS","Fern Cave National Wildlife Refuge",180,203,0.88,"0",169
"107","orangehawkweed","FWS","Petit Manan National Wildlife Refuge",6292,7231,0.87,"0",6
"108","orangehawkweed","FWS","Crab Orchard National Wildlife Refuge",40452,46265,0.87,"0",328
"109","orangehawkweed","FWS","Presquile National Wildlife Refuge",1102,1297,0.85,"0",166
"110","orangehawkweed","FWS","Tennessee National Wildlife Refuge",39954,48141,0.83,"0",239
"111","orangehawkweed","FWS","Marais Des Cygnes National Wildlife Refuge",6381,7659,0.83,"0",257
"112","orangehawkweed","FWS","Wallkill River National Wildlife Refuge",5010,6040,0.83,"0",29
"113","orangehawkweed","FWS","James River National Wildlife Refuge",3326,4317,0.77,"0",174
"114","orangehawkweed","FWS","Umbagog National Wildlife Refuge",28776,37481,0.77,"0",25
"115","orangehawkweed","FWS","Middle Mississippi River National Wildlife Refuge",6177,8155,0.76,"0",300
"116","orangehawkweed","FWS","Clarks River National Wildlife Refuge",7066,9392,0.75,"0",272
