"predictorNameUnit","BRT KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,NA,9.59201943982606,NA,6.57536263898093,2.53623188405799,5.13338722716246,0.235017626322215,15.6533422908969
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,5.28775823313233,5.51647695783773,4.45787489023196,3.35763198586261,0.87605451005841,2.24737267582863,0.587544065804885,1.64595230097411
"Burn Frequency (years)",NA,NA,1.50925892889,1.71803725966662,NA,NA,0,0.088924818108326,0,0
"Burning Index (index of 0-100)",NA,23.57,NA,7.05546318796094,NA,19.3284736028275,1.18970365563486,24.4947453516573,1.64512338425355,53.8797447094393
"Depth To Restriction Layer (Mean) (cm)",NA,NA,2.26924037535235,NA,NA,NA,1.15725719229936,0.970088924818094,0.35252643948267,0.302317769566609
"Evapotranspiration (Jun-Aug) (mm)",7.59602405203093,NA,14.5074392550041,5.62731807136463,NA,NA,8.81462253947653,3.75909458367017,13.5135135135137,0.167954316425915
"Human Influence Index (index of 0-64)",NA,NA,4.5634566667856,3.67054610564009,NA,3.07782932037406,1.2816353017521,1.51980598221504,0,0
"Landscape Condition Model (index of  0-1)",12.8972880107989,NA,11.6815927498484,1.0487274587543,13.6112402500129,1.69354244900966,8.43067272333982,1.04284559417944,29.1421856639253,1.31004366812228
"Maximum Temperature Summer (degree C)",12.8482022334029,8.82999999999998,12.2917186998252,8.16387432322975,12.7434268298982,NA,10.7560025957171,11.5925626515764,23.6192714453591,6.71817265703732
"Mean Diurnal Range (Bio2) (degree C)",4.84722051785492,3.46000000000001,5.76230063866985,NA,4.72648380598172,1.37692364332522,3.19597663854637,1.82700080840743,1.88014101057576,0.268726906281389
"Mean Growing Season Precipitation (Apr-Oct) (mm)",7.85372438335992,9.58000000000003,NA,0.426311975103381,NA,1.88498637802813,7.89530607830413,3.54890864995959,0.587544065804885,0.369499496137049
"Mean Tree Cover (percent)",10.3939133636029,8.00999999999999,6.84696899418419,10.0780150914439,31.3497598016427,7.64303070466092,22.0960415314731,9.66046887631368,8.34312573443017,4.70272085992616
"Minimum Temperature Winter (degree C)",15.7933488771628,12.04,4.68120027116709,5.00916570746473,4.15827263804949,23.7832265665268,11.0101665585118,11.6006467259499,0.587544065804885,3.49344978165936
"Percent Calcium Carbonate In Soil (percent)",NA,4.12000000000001,8.24205230670424,14.9763396853818,14.1174647450798,18.4522494661659,-0.0108154877785096,5.86903799514957,1.64512338425355,1.44440712126298
"Percent Clay (0-5 cm) (percent)",3.10467542029697,5.64000000000004,6.57936989331716,7.32830285202713,5.08807273102947,NA,1.49794505732208,1.98868229587709,0.587544065804885,0.436681222707303
"Percent Sand (0-5 cm) (percent)",NA,5.28999999999999,0.114175616369944,6.85083343991132,NA,NA,0.632706035042183,0.606305578011299,0.587544065804885,0.335908632851829
"Precipitation Seasonality (Cv) (Bio15) (percent)",19.1250460179163,19.46,8.07435687016091,12.0305239374174,3.21814143292526,11.449819600913,13.3192731992213,13.1932093775263,14.4535840188012,8.63285186429301
"Remoteness (Night Lights) (brightness?)",5.54055712357345,NA,7.58911050058871,0.908044506970187,6.52926287514851,1.37692364332522,5.32121998702142,0.856911883589335,2.23266745005843,0.638226402418438
