"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","redbrome","BLM","Southern Nevada District",8743062,9910954,0.88,"Yes (356)",0
"2","redbrome","BLM","Southeastern States  District Office",300200446,347054542,0.86,"0",341
"3","redbrome","BLM","Central California District",34926084,44587440,0.78,"Yes (355)",0
"4","redbrome","BLM","Medford District Office",2375791,3057476,0.78,"0",113
"5","redbrome","BLM","Arizona Strip District Office",3916012,5049201,0.78,"Yes (23)",0
"6","redbrome","BLM","California Desert District",24445991,32715963,0.75,"Yes (263)",0
"7","redbrome","BLM","Canyon Country",5317148,7441948,0.71,"0",4
"8","redbrome","BLM","Vale District Office",10344583,15222990,0.68,"0",11
"9","redbrome","BLM","Winnemucca District",7431950,11321783,0.66,"Yes (11)",0
"10","redbrome","BLM","Roseburg District Office",1720441,2690213,0.64,"0",171
"11","redbrome","BLM","Gila District Office",13840267,22174577,0.62,"Yes (1022)",0
"12","redbrome","BLM","Phoenix District Office",19931029,33183750,0.6,"Yes (545)",0
"13","redbrome","BLM","Spokane District Office",26915443,45535045,0.59,"0",302
"14","redbrome","BLM","Carson City District",5219644,8943177,0.58,"Yes (11)",0
"15","redbrome","BLM","Grand Staircase Escalante Nat Monument",1077212,1881970,0.57,"Yes (6)",0
"16","redbrome","BLM","West Desert",12430864,22058534,0.56,"0",69
"17","redbrome","BLM","Twin Falls District Office",4910489,9049768,0.54,"0",115
"18","redbrome","BLM","Prineville District Office",7037529,13040676,0.54,"0",148
"19","redbrome","BLM","Nw Oregon District Office",5915413,11107437,0.53,"0",225
"20","redbrome","BLM","Colorado River District Office",6830160,12837842,0.53,"Yes (15)",0
"21","redbrome","BLM","Las Cruces District Office",7611616,16040602,0.47,"Yes (1)",0
"22","redbrome","BLM","Coeur D'alene District Office",6468678,13798609,0.47,"0",247
"23","redbrome","BLM","Northern California District",11782487,25799100,0.46,"Yes (35)",0
"24","redbrome","BLM","Boise District Office",5422454,12476806,0.43,"0",51
"25","redbrome","BLM","Color Country",5226710,13718194,0.38,"Yes (56)",0
"26","redbrome","BLM","Battle Mountain District",5030447,13487090,0.37,"Yes (5)",0
"27","redbrome","BLM","Green River",3418869,9229924,0.37,"0",81
"28","redbrome","BLM","Coos Bay District Office",1126556,3066521,0.37,"0",114
"29","redbrome","BLM","Albuquerque District Office",6633988,18192033,0.36,"0",8
"30","redbrome","BLM","Southwest District Office",3227769,10688655,0.3,"0",66
"31","redbrome","BLM","Ely District",3518537,12876221,0.27,"Yes (53)",0
"32","redbrome","BLM","Burns District Office",1486320,5771475,0.26,"0",13
"33","redbrome","BLM","Idaho Falls District Office",4003012,18237976,0.22,"0",212
"34","redbrome","BLM","Farmington District Office",5180419,23359098,0.22,"0",23
"35","redbrome","BLM","Northeastern States District Office",104508649,470278322,0.22,"Yes (1)",0
"36","redbrome","BLM","Elko District",2041468,12225080,0.17,"0",42
"37","redbrome","BLM","Northwest District Office",1978021,12914979,0.15,"0",38
"38","redbrome","BLM","Pecos District Office",2417422,20229604,0.12,"0",79
"39","redbrome","BLM","Rocky Mountain District Office",4087125,43012513,0.1,"Yes (1)",0
"40","redbrome","BLM","Lakeview District Office",671931,9125689,0.07,"0",46
"41","redbrome","BLM","Western Montana District Office",1245193,29542704,0.04,"0",307
"42","redbrome","BLM","High Desert District",830943,25349045,0.03,"0",93
"43","redbrome","BLM","Wind River Bighorn Basin District",495365,16307924,0.03,"0",221
"44","redbrome","BLM","North Central Montana District Office",4711,27943288,0,"0",457
"45","redbrome","BLM","High Plains District",41926,70447274,0,"0",103
"46","redbrome","BLM","Eastern Montana/Daks District Office",154877,131224179,0,"0",244
"47","redbrome","EPMT","Southeast",67885224,68436190,0.99,"0",551
"48","redbrome","EPMT","Gulf Coast",54501959,61613355,0.88,"0",502
"49","redbrome","EPMT","Mid-Atlantic",27745737,33307472,0.83,"0",213
"50","redbrome","EPMT","Southeast Coast",36054926,44612659,0.81,"0",472
"51","redbrome","EPMT","California",51452879,68159651,0.75,"Yes (563)",0
"52","redbrome","EPMT","North Coast/Cascades",45417178,69548751,0.65,"0",182
"53","redbrome","EPMT","Lake Mead",54361650,87904597,0.62,"Yes (537)",0
"54","redbrome","EPMT","National Capital Region",1713116,2953143,0.58,"0",293
"55","redbrome","EPMT","Heartland",64174626,156900528,0.41,"0",394
"56","redbrome","EPMT","Southwest",76130830,212434430,0.36,"Yes (1583)",0
"57","redbrome","EPMT","Florida/Caribbean",12958981,37151752,0.35,"0",970
"58","redbrome","EPMT","Northeast",12153780,44544974,0.27,"Yes (1)",0
"59","redbrome","EPMT","Northern Rocky Mountain",19493890,178895171,0.11,"Yes (1)",0
"60","redbrome","EPMT","Great Lakes",1042582,61766763,0.02,"0",655
"61","redbrome","EPMT","Northern Great Plains",10497,62794147,0,"0",156
"62","redbrome","FWS","Sauta Cave National Wildlife Refuge",278,266,1,"0",910
