Species,Park_Name,est_suit_area_acre,perc_suit,Known_Presences,min_dist_miles
Red brome,Big South Fork National River and Recreation Area,122507,1,0,745
Red brome,Bluestone National Scenic River,4340,1,0,560
Red brome,Chickamauga and Chattanooga National Military Park,8229,1,0,852
Red brome,Gauley River National Recreation Area,11159,1,0,530
Red brome,Obed Wild and Scenic River,5324,1,0,781
Red brome,Poverty Point National Monument,910,1,0,854
Red brome,Shiloh National Battlefield,4083,1,0,923
Red brome,Vicksburg National Military Park,1649,1,0,884
Red brome,Cedar Creek and Belle Grove National Historical Park,3469,1,0,387
Red brome,Manassas National Battlefield Park,5125,1,0,367
Red brome,Tuzigoot National Monument,813,1,Yes (13),0
Red brome,Wolf Trap National Park for the Performing Arts,134,1,0,353
Red brome,Monocacy National Battlefield,1622,1,0,337
Red brome,Castillo de San Marcos National Monument,20,1,0,1018
Red brome,Tonto National Monument,1122,1,Yes (208),0
Red brome,Home of Franklin D. Roosevelt National Historic Site,899,1,0,99
Red brome,Ninety Six National Historic Site,963,1,0,779
Red brome,Charles Pinckney National Historic Site,33,1,0,791
Red brome,Ford's Theatre National Historic Site,0,1,0,346
Red brome,Pipe Spring National Monument,40,1,0,27
Red brome,Andrew Johnson National Historic Site,16,1,0,703
Red brome,Hovenweep National Monument,809,1,0,85
Red brome,Abraham Lincoln Birthplace National Historical Park,339,1,0,761
Red brome,Fort Frederica National Monument,282,1,0,936
Red brome,Manzanar National Historic Site,814,1,0,13
Red brome,George Washington Carver National Monument,211,1,0,578
Red brome,Mammoth Cave National Park,51696,1,0,792
Red brome,Eugene O'Neill National Historic Site,13,1,0,1
Red brome,Thomas Stone National Historic Site,328,1,0,366
Red brome,Cane River Creole National Historical Park,206,1,0,771
Red brome,Moores Creek National Battlefield,91,1,0,643
Red brome,White House,18,1,0,347
Red brome,William Howard Taft National Historic Site,4,1,0,660
Red brome,Rainbow Bridge National Monument,160,1,0,14
Red brome,Appomattox Court House National Historical Park,1779,1,0,486
Red brome,Petersburg National Battlefield,2783,1,0,443
Red brome,Fort Vancouver National Historic Site,208,1,0,334
Red brome,Coronado National Memorial,4811,1,0,7
Red brome,Kings Mountain National Military Park,3930,1,0,701
Red brome,Golden Spike National Historic Site,2670,1,0,257
Red brome,Montezuma Castle National Monument,1012,1,Yes (112),0
Red brome,Whitman Mission National Historic Site,139,1,0,308
Red brome,World War II Memorial,9,1,0,347
Red brome,Vietnam Veterans Memorial,2,1,0,348
Red brome,Korean War Veterans Memorial,2,1,0,348
Red brome,"Martin Luther King, Jr., Memorial",3,1,0,348
Red brome,Lincoln Memorial,7,1,0,348
Red brome,Maggie L. Walker National Historic Site,1,1,0,434
Red brome,Muir Woods National Monument,555,1,0,1
Red brome,Morristown National Historical Park,1691,1,0,158
Red brome,Johnstown Flood National Memorial,180,1,0,360
Red brome,Little River Canyon National Preserve,15416,1,0,894
Red brome,Eisenhower National Historic Site,693,1,0,313
Red brome,Cesar E. Chavez National Monument,118,1,0,6
Red brome,Kennesaw Mountain National Battlefield Park,2899,1,0,881
Red brome,Ocmulgee National Monument,690,1,0,907
Red brome,Cowpens National Battlefield,846,1,0,717
Red brome,Gettysburg National Military Park,6136,1,0,308
Red brome,Port Chicago Naval Magazine National Memorial,6,1,0,8
Red brome,John Day Fossil Beds National Monument,13990,1,0,208
Red brome,Pea Ridge National Military Park,4276,1,0,609
Red brome,Jimmy Carter National Historic Site,72,1,0,981
Red brome,Castle Mountains National Monument,20871,1,0,4
Red brome,Hampton National Historic Site,62,1,0,304
Red brome,Waco Mammoth National Monument,107,1,0,539
Red brome,Tuskegee Institute National Historic Site,62,1,0,1005
Red brome,Prince William Forest Park,13813,1,0,373
Red brome,Colorado National Monument,20449,1,0,168
Red brome,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,9265,1,0,392
Red brome,Richmond National Battlefield Park,8204,1,0,416
Red brome,World War I Memorial,2,1,0,347
Red brome,Hopewell Culture National Historical Park,1790,1,0,581
Red brome,Ozark National Scenic Riverway,82333,1,0,698
Red brome,Carl Sandburg Home National Historic Site,266,1,0,733
Red brome,Lyndon B. Johnson National Historical Park,1568,1,0,482
Red brome,Aztec Ruins National Monument,317,1,0,92
Red brome,Wilson's Creek National Battlefield,2426,1,0,620
Red brome,Reconstruction Era National Monument,17,1,0,840
Red brome,Freedom Riders National Monument,8,1,0,946
Red brome,Wupatki National Monument,35430,1,0,40
Red brome,Little Rock Central High School National Historic Site,29,1,0,753
Red brome,Tule Springs Fossil Beds National Monument,22644,1,0,1
Red brome,Hot Springs National Park,5466,1,0,725
Red brome,Petroglyph National Monument,7202,1,0,160
Red brome,President William Jefferson Clinton Birthplace Home National Historic Site,1,1,0,734
Red brome,Fort Bowie National Historic Site,992,0.99,Yes (11),0
Red brome,Antietam National Battlefield,3227,0.99,0,342
