"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","redbrome10","BLM","Southern Nevada District",8682428,9910954,0.88,"Yes (74)",0
"2","redbrome10","BLM","Arizona Strip District Office",3721062,5049201,0.74,"Yes (33)",0
"3","redbrome10","BLM","Gila District Office",15016876,22174577,0.68,"Yes (538)",0
"4","redbrome10","BLM","Phoenix District Office",21885967,33183750,0.66,"Yes (363)",0
"5","redbrome10","BLM","Grand Staircase Escalante Nat Monument",1181583,1881970,0.63,"0",29
"6","redbrome10","BLM","California Desert District",18162588,32715963,0.56,"Yes (40)",0
"7","redbrome10","BLM","Carson City District",4636489,8943177,0.52,"0",10
"8","redbrome10","BLM","Colorado River District Office",6131209,12837842,0.48,"Yes (4)",0
"9","redbrome10","BLM","Battle Mountain District",4703108,13487090,0.35,"0",0
"10","redbrome10","BLM","Ely District",4237703,12876221,0.33,"Yes (6)",0
"11","redbrome10","BLM","Canyon Country",2170494,7441948,0.29,"0",32
"12","redbrome10","BLM","Central California District",12938631,44587440,0.29,"Yes (162)",0
"13","redbrome10","BLM","Color Country",3436351,13718194,0.25,"Yes (15)",0
"14","redbrome10","BLM","Albuquerque District Office",3433974,18192033,0.19,"0",38
"15","redbrome10","BLM","Las Cruces District Office",2581215,16040602,0.16,"0",22
"16","redbrome10","BLM","Farmington District Office",2190750,23359098,0.09,"0",26
"17","redbrome10","BLM","Winnemucca District",678793,11321783,0.06,"Yes (2)",0
"18","redbrome10","BLM","Spokane District Office",2811483,45535045,0.06,"0",280
"19","redbrome10","BLM","Lakeview District Office",398347,9125689,0.04,"0",8
"20","redbrome10","BLM","Vale District Office",655345,15222990,0.04,"0",46
"21","redbrome10","BLM","Northern California District",732625,25799100,0.03,"Yes (4)",0
"22","redbrome10","BLM","Green River",249420,9229924,0.03,"0",137
"23","redbrome10","BLM","Prineville District Office",435912,13040676,0.03,"0",114
"24","redbrome10","BLM","Burns District Office",90258,5771475,0.02,"0",38
"25","redbrome10","BLM","Boise District Office",144390,12476806,0.01,"0",83
