"predictorNameUnit","brt KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,3.56906370017216,NA,13.4263742523498,NA,1.60119633803843,NA,2.55569485967787,NA,4.03935370340746
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,NA,NA,-0.0458347656697428,NA,0.136686714051379,NA
"Bare Ground Standard Deviation (st dev of percent cover)",NA,NA,NA,NA,NA,NA,1.9708949237997,0.22181502555693,0.656096227446741,1.52775555911052
"Burn Frequency (years)",NA,NA,NA,NA,NA,NA,0.475535693823763,0.376121130292191,0.136686714051379,0.175971844504878
"Depth To Restriction Layer (Mean) (cm)",NA,2.37716858694211,6.14718890196952,NA,8.75203286827013,1.20363278258014,3.7126160192506,0.626868550487015,1.20284308365226,1.89569668852983
"Evapotranspiration (Mar-Jun) (mm)",14.8485784919654,NA,20.2265423653314,NA,6.56937430454508,0,7.70024063251977,4.71598032597165,18.8080918534718,5.4471284594465
"Human Influence Index (index of 0-64)",3.80098887515454,NA,NA,NA,0,NA,3.99335395897789,NA,4.29196282121381,NA
"Isothermality (Bio3) (percent)",1.65327564894934,4.30406568666402,1.15180247542079,NA,9.67645296584781,9.59623591202539,4.56628852984989,6.21082071559455,1.96828868234007,6.64693649016158
"Landscape Condition Model (index of  0-1)",NA,NA,9.09351236119509,NA,10.0445091158093,0,7.0241778388908,1.40804320570932,4.2099507927829,1.76771716525355
"Mean March Precipitation/Mean Spring Precipitation (fraction/mm)",10.5067985166872,13.3161170705867,NA,NA,NA,6.96283327862275,4.19961040449181,17.2292410068474,3.96391470749044,7.56678931370977
"Mean PET (Oct-Jun) (mm)",32.6946847960445,66.9315322473844,22.2501511343027,86.5736257476502,16.8578276127707,53.5288324762009,17.2854360032084,46.3255858809915,26.4898851831603,52.647576387778
"Minimum Temperature Winter (degree C)",19.5457354758962,9.50205270825059,21.7124311941201,NA,21.2145852948729,18.309807783492,29.7353042282571,15.5993827755811,23.920174958994,8.86258198688211
"Percent Clay (0-5 cm) (percent)",8.12731767614339,NA,9.2462375513061,NA,18.7451853119918,0.0984790458474642,10.8112753523548,0.433985919567922,5.57681793329684,2.64757638777794
"Remoteness (Night Lights) (brightness?)",8.82262051915946,NA,10.1721340163543,NA,5.76906616451254,0,7.367938581414,2.34834603143987,7.84581738654998,3.63141897296432
"Temperature Annual Range (Bio7) (degree C)",NA,NA,NA,NA,2.37096636137978,8.69898238319291,1.20316259883121,1.94811457228276,0.79278294149812,3.14349704047352
