"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","rushSkeletonweed","BLM","Grand Staircase Escalante Nat Monument",1748398,1881970,0.93,"0",69
"2","rushSkeletonweed","BLM","Roseburg District Office",2427131,2690213,0.9,"Yes (65)",0
"3","rushSkeletonweed","BLM","Canyon Country",6676076,7441948,0.9,"0",79
"4","rushSkeletonweed","BLM","Medford District Office",2691197,3057476,0.88,"Yes (517)",0
"5","rushSkeletonweed","BLM","Arizona Strip District Office",4407893,5049201,0.87,"0",3
"6","rushSkeletonweed","BLM","Color Country",11453929,13718194,0.83,"0",69
"7","rushSkeletonweed","BLM","Southwest District Office",8759959,10688655,0.82,"0",120
"8","rushSkeletonweed","BLM","Farmington District Office",18843952,23359098,0.81,"0",163
"9","rushSkeletonweed","BLM","Twin Falls District Office",7142440,9049768,0.79,"Yes (1947)",0
"10","rushSkeletonweed","BLM","Boise District Office",9449968,12476806,0.76,"Yes (5202)",0
"11","rushSkeletonweed","BLM","Pecos District Office",15287460,20229604,0.76,"0",336
"12","rushSkeletonweed","BLM","Albuquerque District Office",13445202,18192033,0.74,"0",171
"13","rushSkeletonweed","BLM","Vale District Office",10950259,15222990,0.72,"Yes (11184)",0
"14","rushSkeletonweed","BLM","Elko District",8723053,12225080,0.71,"Yes (2)",0
"15","rushSkeletonweed","BLM","Rocky Mountain District Office",30393916,43012513,0.71,"Yes (2)",0
"16","rushSkeletonweed","BLM","Coeur D'alene District Office",9817988,13798609,0.71,"Yes (1904)",0
"17","rushSkeletonweed","BLM","Northern California District",18077944,25799100,0.7,"Yes (20)",0
"18","rushSkeletonweed","BLM","Las Cruces District Office",11290627,16040602,0.7,"0",265
"19","rushSkeletonweed","BLM","Nw Oregon District Office",7612402,11107437,0.69,"Yes (16)",0
"20","rushSkeletonweed","BLM","Green River",6393357,9229924,0.69,"0",71
"21","rushSkeletonweed","BLM","Ely District",8799314,12876221,0.68,"0",69
"22","rushSkeletonweed","BLM","Winnemucca District",7593401,11321783,0.67,"0",3
"23","rushSkeletonweed","BLM","West Desert",14626615,22058534,0.66,"Yes (810)",0
"24","rushSkeletonweed","BLM","Gila District Office",14502908,22174577,0.65,"0",97
"25","rushSkeletonweed","BLM","Northwest District Office",8319760,12914979,0.64,"0",16
"26","rushSkeletonweed","BLM","Northeastern States District Office",301273463,470278322,0.64,"Yes (9)",0
"27","rushSkeletonweed","BLM","Central California District",28401861,44587440,0.64,"Yes (86)",0
"28","rushSkeletonweed","BLM","Idaho Falls District Office",11119002,18237976,0.61,"Yes (3111)",0
"29","rushSkeletonweed","BLM","Spokane District Office",27838495,45535045,0.61,"Yes (370)",0
"30","rushSkeletonweed","BLM","High Plains District",42511392,70447274,0.6,"Yes (2)",0
"31","rushSkeletonweed","BLM","Phoenix District Office",20070943,33183750,0.6,"Yes (35)",0
"32","rushSkeletonweed","BLM","Eastern Montana/Daks District Office",73796229,131224179,0.56,"0",37
"33","rushSkeletonweed","BLM","Western Montana District Office",16314444,29542704,0.55,"Yes (475)",0
"34","rushSkeletonweed","BLM","High Desert District",13721738,25349045,0.54,"Yes (2)",0
"35","rushSkeletonweed","BLM","Carson City District",4556327,8943177,0.51,"Yes (1)",0
"36","rushSkeletonweed","BLM","Burns District Office",2857647,5771475,0.5,"Yes (1)",0
"37","rushSkeletonweed","BLM","Prineville District Office",6473763,13040676,0.5,"Yes (214)",0
"38","rushSkeletonweed","BLM","North Central Montana District Office",12924722,27943288,0.46,"0",35
"39","rushSkeletonweed","BLM","Battle Mountain District",6140532,13487090,0.46,"0",27
"40","rushSkeletonweed","BLM","Wind River Bighorn Basin District",7015829,16307924,0.43,"0",15
"41","rushSkeletonweed","BLM","Coos Bay District Office",1300357,3066521,0.42,"0",3
"42","rushSkeletonweed","BLM","Southeastern States  District Office",143357236,347054542,0.41,"Yes (1)",0
"43","rushSkeletonweed","BLM","Southern Nevada District",3645268,9910954,0.37,"0",101
"44","rushSkeletonweed","BLM","California Desert District",9510436,32715963,0.29,"Yes (5)",0
"45","rushSkeletonweed","BLM","Lakeview District Office",2587662,9125689,0.28,"Yes (2)",0
"46","rushSkeletonweed","BLM","Colorado River District Office",2752761,12837842,0.21,"0",65
"47","rushSkeletonweed","EPMT","Mid-Atlantic",29543397,33307472,0.89,"Yes (1)",0
"48","rushSkeletonweed","EPMT","Southeast",58819601,68436190,0.86,"0",118
"49","rushSkeletonweed","EPMT","Northern Great Plains",47934270,62794147,0.76,"0",75
