"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","scotchBroom","BLM","Roseburg District Office",2625841,2690213,0.98,"Yes (11582)",0
"2","scotchBroom","BLM","NW Oregon District Office",10419605,11107437,0.94,"Yes (20518)",0
"3","scotchBroom","BLM","Medford District Office",2865039,3057476,0.94,"Yes (1837)",0
"4","scotchBroom","BLM","Coos Bay District Office",2481787,3066521,0.81,"Yes (8886)",0
"5","scotchBroom","BLM","Spokane District Office",34828968,45535045,0.76,"Yes (2736)",0
"6","scotchBroom","BLM","Vale District Office",10126916,15222990,0.67,"Yes (16)",0
"7","scotchBroom","BLM","Coeur D'alene District Office",9192452,13798609,0.67,"Yes (507)",0
"8","scotchBroom","BLM","Prineville District Office",8677001,13040676,0.67,"Yes (123)",0
"9","scotchBroom","BLM","Western Montana District Office",19498037,29542704,0.66,"Yes (9)",0
"10","scotchBroom","BLM","Northeastern States District Office",311722860,470278322,0.66,"Yes (94)",0
"11","scotchBroom","BLM","High Plains District",42975050,70447274,0.61,"0",203
"12","scotchBroom","BLM","Twin Falls District Office",5410332,9049768,0.6,"Yes (25)",0
"13","scotchBroom","BLM","Southwest District Office",6329263,10688655,0.59,"0",217
"14","scotchBroom","BLM","Southeastern States  District Office",197221547,347054542,0.57,"Yes (11)",0
"15","scotchBroom","BLM","Idaho Falls District Office",9804691,18237976,0.54,"Yes (3)",0
"16","scotchBroom","BLM","North Central Montana District Office",13683073,27943288,0.49,"0",69
"17","scotchBroom","BLM","Rocky Mountain District Office",21230085,43012513,0.49,"0",299
"18","scotchBroom","BLM","Color Country",6564265,13718194,0.48,"Yes (1)",0
"19","scotchBroom","BLM","Northern California District",12131075,25799100,0.47,"Yes (194)",0
"20","scotchBroom","BLM","Boise District Office",5783624,12476806,0.46,"0",8
"21","scotchBroom","BLM","Lakeview District Office",4211234,9125689,0.46,"Yes (11)",0
"22","scotchBroom","BLM","Elko District",5155917,12225080,0.42,"0",45
"23","scotchBroom","BLM","Green River",3819251,9229924,0.41,"0",97
"24","scotchBroom","BLM","Pecos District Office",8269333,20229604,0.41,"0",337
"25","scotchBroom","BLM","Canyon Country",3001431,7441948,0.4,"0",112
"26","scotchBroom","BLM","Northwest District Office",4916709,12914979,0.38,"0",143
"27","scotchBroom","BLM","Grand Staircase Escalante Nat Monument",715740,1881970,0.38,"0",57
"28","scotchBroom","BLM","Farmington District Office",8547141,23359098,0.37,"0",194
"29","scotchBroom","BLM","High Desert District",8789330,25349045,0.35,"0",26
"30","scotchBroom","BLM","Burns District Office",2001035,5771475,0.35,"Yes (4)",0
"31","scotchBroom","BLM","Wind River Bighorn Basin District",5167420,16307924,0.32,"0",84
"32","scotchBroom","BLM","Ely District",3700187,12876221,0.29,"0",26
"33","scotchBroom","BLM","West Desert",6136538,22058534,0.28,"Yes (1)",0
"34","scotchBroom","BLM","Winnemucca District",3009706,11321783,0.27,"0",58
"35","scotchBroom","BLM","Arizona Strip District Office",1347762,5049201,0.27,"0",8
"36","scotchBroom","BLM","Gila District Office",5468942,22174577,0.25,"0",44
"37","scotchBroom","BLM","Albuquerque District Office",4552065,18192033,0.25,"0",185
"38","scotchBroom","BLM","Eastern Montana/Daks District Office",33459968,131224179,0.25,"0",149
"39","scotchBroom","BLM","Las Cruces District Office",2937615,16040602,0.18,"0",208
"40","scotchBroom","BLM","Central California District",8197134,44587440,0.18,"Yes (390)",0
"41","scotchBroom","BLM","Battle Mountain District",2283894,13487090,0.17,"0",72
"42","scotchBroom","BLM","Phoenix District Office",5379893,33183750,0.16,"Yes (1)",0
"43","scotchBroom","BLM","Carson City District",844728,8943177,0.09,"Yes (1)",0
"44","scotchBroom","BLM","Colorado River District Office",971530,12837842,0.08,"0",20
"45","scotchBroom","BLM","California Desert District",1269163,32715963,0.04,"Yes (8)",0
"46","scotchBroom","BLM","Southern Nevada District",333058,9910954,0.03,"0",33
"47","scotchBroom","EPMT","Heartland",147376165,156900528,0.94,"0",224
