"predictorNameUnit","BRT KDE","BRT target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,7.58302010414152,48.5333718022697,6.42058923129022,31.5856371147124,4.00972053462941,15.2905198776758,0.175254118471765,14.652356509566
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,6.44504982930446,2.93325639546067,6.93532001354558,NA,1.33657351154312,0.0965717044905912,0.332982825096334,0
"Bare Ground Standard Deviation (st dev of percent cover)",NA,NA,0.544846374012906,1.24062319676862,NA,NA,0.0151883353584599,0,0.262881177707647,0.466635557629444
"Burn Frequency (years)",NA,NA,0.355184661540044,0.577034045008646,NA,NA,0,0,0,0
"Depth To Restriction Layer (Mean) (cm)",NA,1.5976123595506,1.84489120314494,1.81765724177727,1.89637656620384,NA,1.75425273390035,0,0.595864002804078,0.466635557629444
"Evapotranspiration (Mar-May) (mm)",13.5106439454265,15.4845505617978,3.62771130038969,1.15406809001732,3.94175414832374,2.45736680436399,2.87818955042529,8.64316755190734,4.03084472485108,6.20625291647228
"Human Influence Index (index of 0-64)",NA,NA,2.04144970516225,4.11617618772841,3.73179817135117,NA,2.46810449574725,0,0.175254118471765,1.07326178254762
"Isothermality (Bio3) (percent)",6.30673674151936,NA,2.10352081106245,NA,2.84456484930578,NA,2.35419198055892,NA,0.473186119873804,NA
"Landscape Condition Model (index of  0-1)",20.0031852205765,NA,13.4625331907997,0.105789574918253,23.5286149678293,NA,27.0200486026732,0,43.0073606729758,0.233317778814722
"Maximum Temperature Summer (degree C)",18.3681053246271,28.9501404494382,16.0557260595193,6.36660896326214,7.30104977988483,1.99131447939836,13.1682867557716,6.67954289393213,13.266736768314,13.6724218385442
"Mean Annual Precipitation (mm)",15.8305462653289,NA,3.95875719852409,6.37141758030391,NA,NA,7.04738760631835,2.20505391920173,12.0574833508587,2.98646756882865
"Mean Tree Cover (percent)",NA,8.51474719101128,7.96579192385944,2.25043277553376,4.99153403318659,3.69664230484058,6.32594167679223,0.466763238371176,8.3070452155626,0.699953336444165
"Minimum Temperature Winter (degree C)",13.0010086531826,13.0091292134831,11.6314355667437,9.46816695518369,14.2499153403319,29.0329414256964,13.5176184690158,28.987606631257,8.8503329828251,34.7176854876344
"Percent Calcium Carbonate In Soil (percent)",NA,NA,0.441394530845893,2.58222735141373,NA,NA,0,0.177048124899402,0,0
"Percent Clay (0-5 cm) (percent)",NA,4.75772471910111,5.89330666574709,3.67859203693018,NA,6.02690392966851,0.69866342648848,-0.627716079188798,0.280406589554843,0.233317778814722
"Precipitation Seasonality (Cv) (Bio15) (percent)",12.9797738493391,18.9255617977528,8.32787337494396,4.03923831506059,13.1120894006096,13.8332803728418,11.9076549210206,19.3948173185256,5.85348755695761,21.8852076528234
"Remoteness (Night Lights) (brightness?)",NA,NA,1.78282009724473,4.76533948836312,NA,11.375913568478,0.227825030376688,18.686624818928,1.41955835962151,2.70648623425093
"Temperature Annual Range (Bio7) (degree C)",NA,8.76053370786516,5.9346874030139,NA,11.0463934981375,NA,5.27035236938032,NA,0.911321416053313,NA
