"predictorNameUnit","BRT KDE","BRT TARGET","GLM KDE","GLM TARGET","MARS KDE","MARS TARGET","MAXENT KDE","MAXENT TARGET","RF KDE","RF TARGET"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,NA,NA,3.29333089043603,0,0,-0.0387103909749569,2.38658777120314,1.16689280868381,1.93590582079788
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,0,NA,0.0663606702427744,NA,0.81411126187251,NA
"Bare Ground Standard Deviation (st dev of percent cover)",NA,9.84634404803956,NA,NA,0,3.86229339727668,1.65901675606924,2.73668639053252,3.90773405698774,5.76847612818838
"Burning Index (index of 0-100)",2.77777777777776,14.1557753444013,8.28953296290732,28.4032612678637,8.05377405032068,11.7067740001713,4.73372781065089,5.71005917159764,3.66350067842607,14.8724656638326
"Evapotranspiration (Apr-Oct) (mm)",4.22125181950507,12.433768986224,NA,24.3266764382558,0,0,0.564065697063551,2.8155818540434,4.45047489823614,10.9744931327665
"Human Influence Index (index of 0-64)",12.6152353226589,NA,9.40081093257244,6.88438988640528,NA,3.55399503297078,4.7171376430902,1.54339250493095,8.11397557666206,4.89208633093527
"Isothermality (Bio3) (percent)",NA,NA,NA,NA,12.4239434303568,0,11.2094232151745,8.89053254437871,2.876526458616,3.8587311968607
"Landscape Condition Model (index of  0-1)",NA,NA,18.7215297592231,6.16984243312569,6.70531162637725,8.38828466215638,4.96599015650058,5.51775147928995,0.94979647218457,4.23806409417922
"Maximum Temperature Summer (degree C)",29.1484716157205,NA,NA,NA,17.0777832593323,NA,5.06553116186473,NA,9.63364993215746,NA
"Maxiumum Mean Temperature Summer (degree C)",NA,9.3783115506888,NA,NA,NA,9.48445662413292,NA,10.9368836291913,NA,5.55918901242638
"Mean Growing Season Precipitation (Apr-Oct) (mm)",NA,15.8866125044154,NA,30.9224990839135,0,5.72921127001799,0.829508378034618,27.0710059171598,2.38805970149264,18.3518639633747
"Mean Tree Cover (percent)",44.6081999029598,10.4909925821265,63.5881263452971,NA,15.1619799375103,0,30.0392633965603,11.8639053254438,40.7055630936225,9.96729888816219
"Minimum Temperature Winter (degree C)",NA,10.8442246555987,NA,NA,0,15.7703177185921,12.2324835480838,8.2248520710059,2.46947082767982,5.46762589928059
"Percent Calcium Carbonate In Soil (percent)",NA,NA,NA,NA,0,0,0.0718907260963441,0.0493096646942747,0.786974219810068,0.994113799869247
"Percent Clay (0-5 cm) (percent)",NA,16.9639703285058,NA,NA,9.83802006248973,21.152693328766,6.92915998451584,10.8136094674556,4.66757123473537,9.64028776978416
"Precipitation Of Driest Quarter (Bio17) (mm)",6.62906356137797,NA,NA,NA,22.9238612070383,NA,10.5402864568932,NA,6.02442333785627,NA
"Precipitation Of Wettest Month (Bio13) (mm)",NA,NA,NA,NA,7.81532642657456,NA,5.30332356356799,NA,3.85345997286301,NA
"Remoteness (Night Lights) (brightness?)",NA,NA,NA,NA,NA,20.3519739659159,1.11154122656639,1.43984220907297,3.52781546811401,3.47939829954217
