"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","SulphurCinquefoil","BLM","Roseburg District Office",2437019,2690213,0.91,"Yes (4)",0
"2","SulphurCinquefoil","BLM","Medford District Office",2792624,3057476,0.91,"Yes (51)",0
"3","SulphurCinquefoil","BLM","Coeur D'alene District Office",12564546,13798609,0.91,"Yes (589)",0
"4","SulphurCinquefoil","BLM","Western Montana District Office",24655555,29542704,0.83,"Yes (1372)",0
"5","SulphurCinquefoil","BLM","Northeastern States District Office",360639407,470278322,0.77,"Yes (688)",0
"6","SulphurCinquefoil","BLM","Southeastern States  District Office",254778908,347054542,0.73,"Yes (53)",0
"7","SulphurCinquefoil","BLM","Nw Oregon District Office",7614656,11107437,0.69,"Yes (18)",0
"8","SulphurCinquefoil","BLM","Southwest District Office",7258836,10688655,0.68,"Yes (157)",0
"9","SulphurCinquefoil","BLM","Northwest District Office",8143168,12914979,0.63,"Yes (75)",0
"10","SulphurCinquefoil","BLM","Prineville District Office",8085532,13040676,0.62,"Yes (115)",0
"11","SulphurCinquefoil","BLM","High Plains District",41248677,70447274,0.59,"Yes (3)",0
"12","SulphurCinquefoil","BLM","Spokane District Office",26361136,45535045,0.58,"Yes (749)",0
"13","SulphurCinquefoil","BLM","Boise District Office",6918866,12476806,0.55,"Yes (459)",0
"14","SulphurCinquefoil","BLM","Rocky Mountain District Office",23064605,43012513,0.54,"Yes (116)",0
"15","SulphurCinquefoil","BLM","Eastern Montana/Daks District Office",69540709,131224179,0.53,"Yes (233)",0
"16","SulphurCinquefoil","BLM","Northern California District",13425078,25799100,0.52,"Yes (34)",0
"17","SulphurCinquefoil","BLM","Farmington District Office",11663263,23359098,0.5,"Yes (2)",0
"18","SulphurCinquefoil","BLM","Idaho Falls District Office",8852050,18237976,0.49,"Yes (343)",0
"19","SulphurCinquefoil","BLM","Coos Bay District Office",1499656,3066521,0.49,"Yes (1)",0
