"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","tatarianhoneysuckle","BLM","North Central Montana District Office",25672033,27943288,0.92,"0",95
"2","tatarianhoneysuckle","BLM","Western Montana District Office",26380132,29542704,0.89,"0",0
"3","tatarianhoneysuckle","BLM","Northwest District Office",11123729,12914979,0.86,"0",0
"4","tatarianhoneysuckle","BLM","Coeur D'alene District Office",10342245,13798609,0.75,"0",1
"5","tatarianhoneysuckle","BLM","Southwest District Office",7900613,10688655,0.74,"0",62
"6","tatarianhoneysuckle","BLM","Wind River Bighorn Basin District",11384856,16307924,0.7,"0",47
"7","tatarianhoneysuckle","BLM","Idaho Falls District Office",12491978,18237976,0.68,"0",0
"8","tatarianhoneysuckle","BLM","Rocky Mountain District Office",29191890,43012513,0.68,"0",0
"9","tatarianhoneysuckle","BLM","Northeastern States District Office",315736254,470278322,0.67,"0",0
"10","tatarianhoneysuckle","BLM","Eastern Montana/Daks District Office",84390131,131224179,0.64,"0",0
"11","tatarianhoneysuckle","BLM","High Desert District",16075416,25349045,0.63,"0",0
"12","tatarianhoneysuckle","BLM","Lakeview District Office",5049452,9125689,0.55,"0",38
"13","tatarianhoneysuckle","BLM","Boise District Office",6748151,12476806,0.54,"0",65
"14","tatarianhoneysuckle","BLM","Twin Falls District Office",4319602,9049768,0.48,"0",59
"15","tatarianhoneysuckle","BLM","Green River",4223083,9229924,0.46,"0",71
"16","tatarianhoneysuckle","BLM","Farmington District Office",10296262,23359098,0.44,"0",0
"17","tatarianhoneysuckle","BLM","Prineville District Office",5762149,13040676,0.44,"0",0
"18","tatarianhoneysuckle","BLM","High Plains District",30340916,70447274,0.43,"0",0
"19","tatarianhoneysuckle","BLM","Color Country",5900232,13718194,0.43,"0",124
"20","tatarianhoneysuckle","BLM","Burns District Office",2093004,5771475,0.36,"0",74
"21","tatarianhoneysuckle","BLM","Elko District",4361276,12225080,0.36,"0",96
"22","tatarianhoneysuckle","BLM","Vale District Office",5412594,15222990,0.36,"0",0
