"predictorNameUnit","BRT KDE","BRT target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",3.00169051251391,NA,3.29742225323854,3.98416061690229,2.76712567544012,2.38509982580732,5.41423231846717,3.13227270993094,2.78761310627776,1.88268384521163
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,0,0,1.45879449867548,2.15176834153601,1.33760467599617,0.558000272195235
"Depth To Restriction Layer (Mean) (cm)",2.48216715457883,1.71118530884808,NA,NA,4.65835802684332,0,3.9554378197917,1.61001106405707,3.10796380599114,2.84444041192215
"Evapotranspiration (Jun-Aug) (mm)",4.57263019007959,4.77358096828047,NA,NA,4.15286735227471,0,2.86678520883986,4.81858761588647,4.49052998370148,6.20605180783013
"Human Influence Index (index of 0-64)",8.77004906609491,1.26773789649415,13.3946874863698,NA,5.27279065713788,1.73746035999822,8.81445730667344,1.58330471939264,9.52059798797278,2.77185501066098
"Landscape Condition Model (index of  0-1)",9.29369562528348,NA,10.8998124482052,NA,14.8335366916507,NA,8.49511920746091,1.71302125061999,9.24520878997357,2.11858639931044
"Mean Diurnal Range (Bio2) (degree C)",2.41619593452358,2.4415692821369,7.51515680202381,15.0196255514259,0,0,1.85796712269115,2.71641677158445,4.36126566627328,4.17366057251736
"Mean Growing Season Precipitation (Apr-Oct) (mm)",3.71088112810786,9.48455759599335,NA,2.65379137865157,2.84992156179188,5.71262673634374,3.09540225713975,12.1819083590859,3.40021356713314,12.8022501474391
"Mean Tree Cover (percent)",45.9819403785098,8.12813021702838,49.9323941204693,1.7089860710688,50.7233745860206,3.33645986868554,43.2485393910803,8.34382511159436,49.9578485921429,7.38102799074535
"Minimum Temperature Winter (degree C)",14.0436234692615,59.7245409015025,4.89815501373926,48.2232797248949,7.25553425135088,64.7952119344321,10.7014551656566,54.618290030903,5.01882762884282,51.245293290387
"Percent Calcium Carbonate In Soil (percent)",NA,7.79424040066778,10.0623718759541,24.0195908159366,4.67578873975946,16.2579838313457,1.31726965925174,1.97245431307466,2.86067554656328,5.01292927459965
"Percent Clay (0-5 cm) (percent)",5.72712654104646,4.67445742904841,NA,4.39056584111987,2.81070245773052,5.77515744338738,8.77454004427187,5.15813971233453,3.91165064913168,3.00322097718097
