"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","treeTobacco","BLM","Central California District",29637650,44587440,0.66,"0",0
"2","treeTobacco","BLM","Colorado River District Office",5599846,12837842,0.44,"0",0
"3","treeTobacco","BLM","Southeastern States  District Office",131945449,347054542,0.38,"0",122
"4","treeTobacco","BLM","Gila District Office",8315081,22174577,0.37,"0",0
"5","treeTobacco","BLM","Phoenix District Office",9388517,33183750,0.28,"0",0
"6","treeTobacco","BLM","California Desert District",8539107,32715963,0.26,"0",0
"7","treeTobacco","BLM","NW Oregon District Office",2378937,11107437,0.21,"0",272
"8","treeTobacco","BLM","Pecos District Office",3577573,20229604,0.18,"0",82
"9","treeTobacco","BLM","Northern California District",3820542,25799100,0.15,"0",0
"10","treeTobacco","BLM","Roseburg District Office",378971,2690213,0.14,"0",219
"11","treeTobacco","BLM","Northeastern States District Office",65673437,470278322,0.14,"0",0
"12","treeTobacco","BLM","Southern Nevada District",1077718,9910954,0.11,"0",0
"13","treeTobacco","BLM","Medford District Office",336048,3057476,0.11,"0",160
"14","treeTobacco","BLM","Las Cruces District Office",1587742,16040602,0.1,"0",2
"15","treeTobacco","BLM","Coos Bay District Office",280602,3066521,0.09,"0",176
"16","treeTobacco","BLM","Arizona Strip District Office",267960,5049201,0.05,"0",17
"17","treeTobacco","BLM","Boise District Office",330686,12476806,0.03,"0",288
"18","treeTobacco","BLM","Spokane District Office",1283223,45535045,0.03,"0",419
"19","treeTobacco","BLM","Twin Falls District Office",151252,9049768,0.02,"0",339
"20","treeTobacco","BLM","Color Country",282561,13718194,0.02,"0",0
"21","treeTobacco","BLM","Albuquerque District Office",330523,18192033,0.02,"0",32
"22","treeTobacco","BLM","West Desert",166392,22058534,0.01,"0",96
"23","treeTobacco","BLM","Northwest District Office",70891,12914979,0.01,"0",259
"24","treeTobacco","BLM","Farmington District Office",261970,23359098,0.01,"0",167
"25","treeTobacco","BLM","Rocky Mountain District Office",552134,43012513,0.01,"0",276
"26","treeTobacco","BLM","Ely District",164660,12876221,0.01,"0",52
"27","treeTobacco","BLM","Southwest District Office",104318,10688655,0.01,"0",204
"28","treeTobacco","BLM","Idaho Falls District Office",22793,18237976,0,"0",347
"29","treeTobacco","BLM","High Desert District",24,25349045,0,"0",291
"30","treeTobacco","BLM","North Central Montana District Office",7016,27943288,0,"0",662
"31","treeTobacco","BLM","Western Montana District Office",41181,29542704,0,"0",521
"32","treeTobacco","BLM","Burns District Office",165,5771475,0,"0",216
"33","treeTobacco","BLM","Carson City District",37359,8943177,0,"0",38
"34","treeTobacco","BLM","Battle Mountain District",1553,13487090,0,"0",81
"35","treeTobacco","BLM","Winnemucca District",48,11321783,0,"0",95
"36","treeTobacco","BLM","High Plains District",55657,70447274,0,"0",481
"37","treeTobacco","BLM","Elko District",199,12225080,0,"0",216
"38","treeTobacco","BLM","Lakeview District Office",29950,9125689,0,"0",159
"39","treeTobacco","BLM","Vale District Office",50873,15222990,0,"0",244
"40","treeTobacco","BLM","Wind River Bighorn Basin District",1399,16307924,0,"0",427
"41","treeTobacco","BLM","Canyon Country",8544,7441948,0,"0",83
"42","treeTobacco","BLM","Green River",3779,9229924,0,"0",125
"43","treeTobacco","BLM","Coeur D'alene District Office",0,13798609,0,"0",462
"44","treeTobacco","BLM","Prineville District Office",28589,13040676,0,"0",239
"45","treeTobacco","BLM","Eastern Montana/Daks District Office",28371,131224179,0,"0",589
"46","treeTobacco","BLM","Grand Staircase Escalante Nat Monument",403,1881970,0,"0",26
"47","treeTobacco","FWS","Ellicott Slough National Wildlife Refuge",211,198,1,"0",15
