"predictorNameUnit","BRT KDE","BRT TARGET","GLM KDE","GLM TARGET","MARS KDE","MARS TARGET","MAXENT KDE","MAXENT TARGET","RF KDE","RF TARGET"
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,NA,NA,NA,0,0.097258525317606,0.0658067912608509,0.269930655745321
"Bare Ground Standard Deviation (st dev of percent cover)",NA,NA,NA,NA,0,0,1.7927467230941,0.747674913379132,2.80994998683867,5.0821426909294
"Burn Frequency (years)",NA,NA,3.65186709791238,1.94591500930033,2.98980173560525,0,3.98518779756654,0.291775575952818,1.0200052645433,2.00121003397402
"Depth To Restriction Layer (Mean) (cm)",6.33296460176992,NA,1.19376653925315,NA,3.11015392411476,NA,5.73091165579264,NA,5.09344564359042,NA
"Evapotranspiration (Apr-Oct) (mm)",15.6733960176991,5.19106885984117,10.1793590120553,5.05079410502214,12.3899410907709,4.25206485163659,10.2098395344737,3.4465989909428,10.0421163464069,6.83203797645086
"Isothermality (Bio3) (percent)",4.49391592920355,NA,2.25815936489268,NA,2.09666181035028,NA,1.55763239875389,NA,5.10660700184259,NA
"Landscape Condition Model (index of  0-1)",29.8119469026549,3.62749390205769,38.0770361658336,3.21219058520532,38.2086526889213,3.72591006423983,33.8682184212074,7.62263692176768,31.9228744406423,6.98096523479314
"Maximum Temperature Summer (degree C)",4.39021017699112,4.70948777284385,NA,NA,0,2.63689201590699,2.83312760829953,5.07567929001274,5.10660700184259,9.79662121282637
"Mean Annual Precipitation (mm)",NA,7.95546938520232,NA,10.9529260266133,0,11.6488222698073,3.03297478398872,8.23658136283509,3.1060805475125,10.1968632196212
"Minimum Temperature Winter (degree C)",17.1944137168142,19.2632434798924,22.1405468979712,18.6078122764344,22.2461518971306,15.2095442031202,18.2096044201493,33.8642027840253,16.2279547249276,17.5548005770931
"Percent Calcium Carbonate In Soil (percent)",4.16205752212386,NA,NA,NA,4.54171153480709,NA,3.30923411508844,NA,2.66517504606475,NA
"Percent Clay (0-5 cm) (percent)",9.91426991150441,6.37313152792547,13.7253748897383,9.29317498926886,8.23462342433649,5.7754665035179,10.4449538588138,12.0053492188925,11.4306396420111,10.5412575045376
"Precipitation Of Driest Quarter (Bio17) (mm)",4.49391592920355,NA,2.92855042634521,NA,2.66041679863178,NA,2.09839534473636,NA,1.53987891550409,NA
"Precipitation Seasonality (Cv) (Bio15) (percent)",3.5329092920354,52.8801050722371,5.84533960599823,50.9371870081557,3.52188509533161,56.7513000917712,2.92717333803562,28.6122424168744,3.86285864701237,30.744170894029
