"predictorNameUnit","BRT KDE","BRT TARGET","GLM KDE","GLM TARGET","MARS KDE","MARS TARGET","MAXENT KDE","MAXENT TARGET","RF KDE","RF TARGET"
"Available Water Content (Mean Depth, cm) (m3/m3)",5.46225520281202,2.70414138188011,5.92193808882907,3.73843306600864,8.1665025708347,3.72890836207701,4.61130841648344,5.9715868047195,1.53561517113782,6.1606859320419
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,NA,NA,4.57125231338677,NA,4.74503589074303,0.715936636788995,0,0.22201665124886,1.49253731343292
"Bare Ground Standard Deviation (st dev of percent cover)",NA,NA,NA,0.808143121529941,NA,NA,1.87158238908619,0.830724777269436,1.01757631822386,1.87361067005392
"Burn Frequency (years)",21.3859286949729,NA,22.2642095455016,1.70265268352868,26.6874521387157,5.55607345949473,9.60031568859578,0.499638815314227,32.7289546716003,1.71483010479513
"Depth To Restriction Layer (Mean) (cm)",NA,2.95965080379007,3.15250025882599,2.17766810610736,NA,0,3.08923840126276,0.890922224897684,1.05457909343203,2.69926960939986
"Evapotranspiration (Apr-Oct) (mm)",NA,4.93984882359202,NA,2.60333127698951,NA,NA,1.2627543829979,1.79990368408382,1.03607770582795,5.04922197523017
"Human Influence Index (index of 0-64)",NA,2.27829234536355,NA,NA,0,NA,1.83775861097018,0.698290392487354,2.8492136910268,1.33375674817412
"Isothermality (Bio3) (percent)",NA,7.05844778026186,NA,NA,NA,NA,1.97305372343425,2.04069347459668,0.740055504162833,1.93712289615751
"Landscape Condition Model (index of  0-1)",31.5739552530268,NA,28.041205093695,0.524367674275148,27.9783393501805,NA,28.5867298043859,1.17986997351313,41.8131359851989,2.2864401397269
"Maxiumum Mean Temperature Summer (degree C)",9.50733694136025,6.99457042478438,14.7634330676053,NA,4.84629690405864,5.44420620863242,5.57528609278989,1.09559354683364,2.46068455134135,3.9695141314704
"Mean Diurnal Range (Bio2) (degree C)",NA,NA,NA,NA,NA,NA,2.78482439821859,1.01733686491694,0.55504162812215,1.58780565258812
"Mean PET (Oct-Jun) (mm)",8.14037828488536,26.1364846162036,13.7384822445388,30.9315237507711,6.72792911060062,18.3835182250396,6.6745588815604,27.4921743318083,1.99814986123954,12.4166402032392
"Mean Summer PET (mm)",10.5172125202254,18.1837538592569,NA,7.3164713140037,9.01433103599168,16.8733103383984,12.9826935001973,16.4760414158439,1.75763182238669,30.2000635122261
"Mean Tree Cover (percent)",NA,NA,1.05600993891709,NA,2.36297998030849,NA,1.72501268391677,NA,1.99814986123954,NA
"Minimum Temperature Winter (degree C)",8.05110751548292,8.25082508250827,5.52334610208096,21.5854410857495,7.2585056339569,15.3258133681365,7.27211229494334,15.4225860823501,1.59111933395009,4.19180692283261
"Percent Calcium Carbonate In Soil (percent)",NA,2.03342914936658,NA,NA,0,2.73142537522139,1.22329330852924,0.331085961955209,0.814061054579086,1.42902508732933
"Percent Clay (0-5 cm) (percent)",NA,8.06983924198873,1.55295579252511,6.86613201727326,1.87616234547642,12.1096299058451,1.15000845594452,6.83241030580305,1.60962072155418,13.0200063512226
"Precipitation Seasonality (Cv) (Bio15) (percent)",5.36182558723427,7.4310656872139,2.58825965420851,17.1745835903763,5.08150092987638,15.1020788664118,5.98117143018207,17.0178184444979,2.14616096207214,6.95458875833588
"Remoteness (Night Lights) (brightness?)",NA,2.95965080379001,1.39766021327261,NA,NA,NA,0.97525226901176,0.40332289910908,1.77613320999078,1.68307399174333
"Temperature Annual Range (Bio7) (degree C)",NA,NA,NA,NA,NA,NA,0.107108630700698,NA,0.296022201665113,NA
