,Species,Admin,Unit,est_suit_area_acre,total_area_acre,perc_suit,Known_Presences,min_dist_miles
1,ventenata,BLM,Vale District Office,11752704,15222990,0.77,Yes (36),0
2,ventenata,BLM,Medford District Office,2348666,3057476,0.77,Yes (4),0
3,ventenata,BLM,Prineville District Office,9240907,13040676,0.71,Yes (82),0
4,ventenata,BLM,Burns District Office,3977152,5771475,0.69,Yes (14),0
5,ventenata,BLM,Lakeview District Office,5758267,9125689,0.63,Yes (239),0
6,ventenata,BLM,Boise District Office,7661765,12476806,0.61,Yes (7),0
7,ventenata,BLM,Twin Falls District Office,5442466,9049768,0.6,0,40
8,ventenata,BLM,Northern California District,15083210,25799100,0.58,Yes (44),0
9,ventenata,BLM,High Plains District,39442542,70447274,0.56,Yes (5),0
10,ventenata,BLM,Elko District,6879015,12225080,0.56,Yes (6),0
11,ventenata,BLM,Roseburg District Office,1357155,2690213,0.5,0,4
12,ventenata,BLM,Coeur D'alene District Office,6727890,13798609,0.49,Yes (1),0
13,ventenata,BLM,Western Montana District Office,13017961,29542704,0.44,Yes (2),0
14,ventenata,BLM,Spokane District Office,19680759,45535045,0.43,Yes (10),0
15,ventenata,BLM,Nw Oregon District Office,4029330,11107437,0.36,Yes (9),0
16,ventenata,BLM,Northeastern States District Office,168061697,470278322,0.36,0,394
17,ventenata,BLM,Wind River Bighorn Basin District,5745274,16307924,0.35,0,19
18,ventenata,BLM,Idaho Falls District Office,6220152,18237976,0.34,0,14
19,ventenata,BLM,High Desert District,8464960,25349045,0.33,0,25
20,ventenata,BLM,Rocky Mountain District Office,13987613,43012513,0.33,0,246
21,ventenata,BLM,Battle Mountain District,4250472,13487090,0.32,Yes (1),0
22,ventenata,BLM,Winnemucca District,3470372,11321783,0.31,0,1
23,ventenata,BLM,Southeastern States  District Office,98023345,347054542,0.28,0,777
24,ventenata,BLM,North Central Montana District Office,7588537,27943288,0.27,0,61
25,ventenata,BLM,Eastern Montana/Daks District Office,34232592,131224179,0.26,0,12
26,ventenata,BLM,Carson City District,2227781,8943177,0.25,0,28
27,ventenata,BLM,Northwest District Office,2838716,12914979,0.22,0,130
28,ventenata,BLM,West Desert,4658484,22058534,0.21,Yes (9),0
29,ventenata,BLM,Central California District,7604337,44587440,0.17,Yes (3),0
30,ventenata,BLM,Color Country,1938563,13718194,0.14,0,124
31,ventenata,BLM,Ely District,1645788,12876221,0.13,0,25
32,ventenata,BLM,Southwest District Office,879954,10688655,0.08,0,196
33,ventenata,BLM,Farmington District Office,1735447,23359098,0.07,0,359
34,ventenata,BLM,Green River,544836,9229924,0.06,0,72
35,ventenata,BLM,Coos Bay District Office,160395,3066521,0.05,0,14
36,ventenata,BLM,Albuquerque District Office,811049,18192033,0.04,0,455
37,ventenata,BLM,Las Cruces District Office,448300,16040602,0.03,0,616
38,ventenata,BLM,Phoenix District Office,651258,33183750,0.02,0,313
39,ventenata,BLM,Arizona Strip District Office,120889,5049201,0.02,0,237
40,ventenata,BLM,Gila District Office,145156,22174577,0.01,0,446
41,ventenata,BLM,Canyon Country,62996,7441948,0.01,0,174
42,ventenata,BLM,Southern Nevada District,138603,9910954,0.01,0,140
43,ventenata,BLM,California Desert District,228864,32715963,0.01,0,89
44,ventenata,BLM,Grand Staircase Escalante Nat Monument,10054,1881970,0.01,0,257
45,ventenata,BLM,Colorado River District Office,3192,12837842,0,0,283
46,ventenata,BLM,Pecos District Office,59546,20229604,0,0,566
47,ventenata,IPMT,Southeast,53789504,68436190,0.79,0,1001
48,ventenata,IPMT,Mid-Atlantic,24713707,33307472,0.74,0,1247
49,ventenata,IPMT,North Coast/Cascades,39313060,69548751,0.57,Yes (84),0
50,ventenata,IPMT,Heartland,86466581,156900528,0.55,0,406
51,ventenata,IPMT,Northern Great Plains,26342401,62794147,0.42,0,9
52,ventenata,IPMT,National Capital Region,1021627,2953143,0.35,0,1318
53,ventenata,IPMT,Northern Rocky Mountain,63326666,178895171,0.35,Yes (12),0
54,ventenata,IPMT,Northeast,14107829,44544974,0.32,0,1247
55,ventenata,IPMT,California,17152777,68159651,0.25,Yes (27),0
56,ventenata,IPMT,Lake Mead,6180728,87904597,0.07,0,59
57,ventenata,IPMT,Great Lakes,2877216,61766763,0.05,0,526
58,ventenata,IPMT,Southwest,10310342,212434430,0.05,0,243
59,ventenata,IPMT,Southeast Coast,1346799,44612659,0.03,0,1258
60,ventenata,IPMT,Florida/Caribbean,0,37151752,0,0,1328
61,ventenata,IPMT,Gulf Coast,284584,61613355,0,0,1093
62,ventenata,FWS,Sauta Cave National Wildlife Refuge,278,266,1,0,1190
63,ventenata,FWS,Pilot Knob National Wildlife Refuge,105,97,1,0,867
64,ventenata,FWS,Clear Lake National Wildlife Refuge,33695,33579,1,0,17
65,ventenata,FWS,Key Cave National Wildlife Refuge,1061,1053,1,0,1117
66,ventenata,FWS,Tualatin River National Wildlife Refuge,1330,1315,1,0,39
67,ventenata,FWS,Bear Butte National Wildlife Refuge,405,402,1,0,80
68,ventenata,FWS,Fern Cave National Wildlife Refuge,206,203,1,0,1180
69,ventenata,FWS,Nine-pipe National Wildlife Refuge,2094,2082,1,0,6
70,ventenata,FWS,Meredosia National Wildlife Refuge,3740,3699,1,0,776
71,ventenata,FWS,Turnbull National Wildlife Refuge,19286,19213,1,0,7
72,ventenata,FWS,Loess Bluffs National Wildlife Refuge,7624,7562,1,0,569
73,ventenata,FWS,Ankeny National Wildlife Refuge,2827,2804,1,0,7
74,ventenata,FWS,Modoc National Wildlife Refuge,7078,7133,0.99,0,4
75,ventenata,FWS,Presquile National Wildlife Refuge,1279,1297,0.99,0,1460
