"predictorNameUnit","brt KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",3.00542442457117,NA,21.3945430922477,NA,12.6615136132903,NA,9.24072663983466,NA,5.41358439811707,NA
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,1.0768057937869,NA,9.10799592763725,0,0.543933054393285,1.94169476775809,2.68320465763829,1.26092804303972,3.00628024297336
"Bare Ground Standard Deviation (st dev of percent cover)",13.8396129599765,1.93443872689154,22.6775660459073,1.05333228913774,10.0657591139825,2.19964136282126,4.85151745893615,2.39210226553601,16.930060524546,2.86214351899516
"Burn Frequency (years)",NA,NA,NA,NA,0,NA,0.989883607092348,0.221490950512604,0.521183591123118,0.494183053639431
"Depth To Restriction Layer (Mean) (cm)",8.51048233396863,2.7539546407471,8.89454309224772,1.14339415772573,9.09667743424088,0,3.60600456869357,1.05682824958866,6.85944855413585,6.85678986924739
"Evapotranspiration (Oct-Jun) (mm)",17.2628646825979,4.80274442538595,19.1533131225639,NA,22.1215966774342,4.80573819485954,17.7308821929729,3.58182508543223,11.0625420309348,6.37290229589214
"Human Influence Index (index of 0-64)",NA,2.5633695445016,2.65266349068859,11.6062338475997,0,3.0543933054393,3.41020341564234,8.23313504619666,1.89979825151314,3.52105425718113
"Isothermality (Bio3) (percent)",NA,6.56565656565653,NA,4.10760435429556,NA,4.27973699940228,1.08778418361797,3.70206302999621,4.10221923335572,6.55822094100688
"Landscape Condition Model (index of  0-1)",11.2373552265064,2.18219935201064,7.30294499783456,NA,13.9593908629442,4.81769276748357,6.6844338083324,1.74661435261359,3.74915938130464,2.89302995984766
"Mean March Precipitation/Mean Spring Precipitation (fraction/mm)",12.4908371206568,NA,NA,NA,0,NA,8.16382029805287,NA,9.34767989240075,NA
"Mean Spring PET (Mar-Jun) (mm)",8.45917020964668,10.4535925290643,12.0452576873105,26.2314981596053,9.72542685740655,14.8356246264196,9.15914282606331,22.7059865839767,6.50638870208476,7.16565427777204
"Mean Temperature Spring (degree C)",NA,NA,NA,NA,0,NA,5.78157293592949,NA,3.09347679892401,NA
"Minimum Temperature Winter (degree C)",18.7948981087817,60.5965313512485,3.68124729320055,33.9689873913384,8.81979695431474,56.1087866108787,17.2305014685087,46.3928616630807,12.3234700739744,51.9201070729948
"Percent Calcium Carbonate In Soil (percent)",NA,1.20068610634647,NA,10.2161484846112,0,7.05319784817694,0.658109431088867,2.18959625363876,2.28648285137865,2.02820961597861
"Percent Clay (0-5 cm) (percent)",6.39935493329424,2.88736420811891,NA,2.49040645312867,3.6513613290263,2.30125523012551,1.53377569890133,1.80356916845967,8.96099529253525,2.56357459075464
"Remoteness (Night Lights) (brightness?)",NA,2.98265675624164,2.19792117799914,0.0743989349204981,6.37401938163359,0,3.88882845643427,3.29072269332996,3.61466039004712,3.7578503037167
"Temperature Annual Range (Bio7) (degree C)",NA,NA,NA,NA,3.52445777572681,NA,4.04111824214076,NA,2.06792199058507,NA
