"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","ventenata10","BLM","Medford District Office",2797823,3057476,0.92,"0",0
"2","ventenata10","BLM","Burns District Office",4573653,5771475,0.79,"0",0
"3","ventenata10","BLM","Roseburg District Office",1998143,2690213,0.74,"0",4
"4","ventenata10","BLM","Vale District Office",10639144,15222990,0.7,"0",0
"5","ventenata10","BLM","Prineville District Office",8380191,13040676,0.64,"0",0
"6","ventenata10","BLM","Lakeview District Office",5792530,9125689,0.63,"0",0
"7","ventenata10","BLM","NW Oregon District Office",6858361,11107437,0.62,"0",52
"8","ventenata10","BLM","Northern California District",15501670,25799100,0.6,"0",0
"9","ventenata10","BLM","Elko District",7039578,12225080,0.58,"0",0
"10","ventenata10","BLM","High Desert District",12462442,25349045,0.49,"0",140
"11","ventenata10","BLM","Western Montana District Office",13469215,29542704,0.46,"0",0
"12","ventenata10","BLM","Color Country",6105910,13718194,0.45,"0",216
"13","ventenata10","BLM","Boise District Office",5151645,12476806,0.41,"0",0
"14","ventenata10","BLM","Twin Falls District Office",3511589,9049768,0.39,"0",0
"15","ventenata10","BLM","Ely District",4851590,12876221,0.38,"0",73
"16","ventenata10","BLM","North Central Montana District Office",9857485,27943288,0.35,"0",39
"17","ventenata10","BLM","Battle Mountain District",4777577,13487090,0.35,"0",32
"18","ventenata10","BLM","Idaho Falls District Office",5892124,18237976,0.32,"0",67
"19","ventenata10","BLM","Southwest District Office",3470324,10688655,0.32,"0",379
"20","ventenata10","BLM","West Desert",6879427,22058534,0.31,"0",81
"21","ventenata10","BLM","Carson City District",2779604,8943177,0.31,"0",80
"22","ventenata10","BLM","Winnemucca District",3475310,11321783,0.31,"0",30
"23","ventenata10","BLM","Northwest District Office",3835297,12914979,0.3,"0",247
"24","ventenata10","BLM","Spokane District Office",13718247,45535045,0.3,"0",35
"25","ventenata10","BLM","Wind River Bighorn Basin District",4829367,16307924,0.3,"0",19
"26","ventenata10","BLM","Green River",2468609,9229924,0.27,"0",261
"27","ventenata10","BLM","Coeur D'alene District Office",3464794,13798609,0.25,"0",0
"28","ventenata10","BLM","Farmington District Office",5166172,23359098,0.22,"0",476
"29","ventenata10","BLM","Coos Bay District Office",479388,3066521,0.16,"0",32
"30","ventenata10","BLM","Rocky Mountain District Office",6299746,43012513,0.15,"0",246
"31","ventenata10","BLM","Canyon Country",730317,7441948,0.1,"0",337
"32","ventenata10","BLM","Central California District",4563259,44587440,0.1,"0",91
"33","ventenata10","BLM","Grand Staircase Escalante Nat Monument",182503,1881970,0.1,"0",329
"34","ventenata10","BLM","High Plains District",5517049,70447274,0.08,"0",0
"35","ventenata10","BLM","Arizona Strip District Office",315445,5049201,0.06,"0",320
"36","ventenata10","BLM","Albuquerque District Office",929363,18192033,0.05,"0",559
"37","ventenata10","BLM","Eastern Montana/Daks District Office",5504379,131224179,0.04,"0",12
"38","ventenata10","BLM","Las Cruces District Office",512602,16040602,0.03,"0",688
"39","ventenata10","BLM","Southern Nevada District",218717,9910954,0.02,"0",232
"40","ventenata10","BLM","Gila District Office",258414,22174577,0.01,"0",519
"41","ventenata10","BLM","Northeastern States District Office",3488603,470278322,0.01,"0",394
"42","ventenata10","BLM","Phoenix District Office",452672,33183750,0.01,"0",390
"43","ventenata10","BLM","Southeastern States  District Office",4386710,347054542,0.01,"0",777
"44","ventenata10","BLM","California Desert District",145250,32715963,0,"0",262
"45","ventenata10","BLM","Colorado River District Office",0,12837842,0,"0",370
"46","ventenata10","BLM","Pecos District Office",77667,20229604,0,"0",637
"47","ventenata10","FWS","Baskett Slough National Wildlife Refuge",2542,2516,1,"0",157
"48","ventenata10","FWS","Clear Lake National Wildlife Refuge",33628,33579,1,"0",17
"49","ventenata10","FWS","Tualatin River National Wildlife Refuge",1330,1315,1,"0",146
"50","ventenata10","FWS","Bamforth National Wildlife Refuge",1167,1171,1,"0",219
"51","ventenata10","FWS","Hailstone National Wildlife Refuge",158,156,1,"0",127
"52","ventenata10","FWS","Ridgefield National Wildlife Refuge",5034,4991,1,"0",153
"53","ventenata10","FWS","Grass Lake National Wildlife Refuge",4097,4051,1,"0",119
"54","ventenata10","FWS","Franz Lake National Wildlife Refuge",587,583,1,"0",120
"55","ventenata10","FWS","Steigerwald Lake National Wildlife Refuge",1126,1116,1,"0",128
"56","ventenata10","FWS","Ankeny National Wildlife Refuge",2827,2804,1,"0",145
"57","ventenata10","FWS","Modoc National Wildlife Refuge",7080,7133,0.99,"0",5
"58","ventenata10","FWS","Sheldon National Wildlife Refuge",571221,577495,0.99,"0",17
"59","ventenata10","FWS","Browns Park National Wildlife Refuge",12169,12323,0.99,"0",302
"60","ventenata10","FWS","Nine-pipe National Wildlife Refuge",2051,2082,0.99,"0",6
"61","ventenata10","FWS","Mortenson Lake National Wildlife Refuge",1931,1976,0.98,"0",232
"62","ventenata10","FWS","National Bison Range",18437,18850,0.98,"0",0
"63","ventenata10","FWS","William L. Finley National Wildlife Refuge",5542,5708,0.97,"0",119
