"predictorNameUnit","brt KDE","brt target","glm KDE","glm target","mars KDE","mars target","Maxent KDE","Maxent target","rf KDE","rf target"
"Available Water Content (Mean Depth, cm) (m3/m3)",NA,2.69447047797571,NA,5.0120668850198,3.12799413853351,9.03921854497741,11.0425868822402,0.902195608782449,2.63558033451596,2.59541984732831
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,1.78069353327093,NA,NA,0,9.06837731447733,4.89207433952832,0.718562874251504,1.60500084473729,6.10687022900756
"Bare Ground Standard Deviation (st dev of percent cover)",7.66961651917404,NA,33.6603864443508,NA,5.80510623908021,0,10.1258438203183,1.24550898203593,15.0701131947964,4.83460559796443
"Burn Frequency (years)",NA,NA,NA,NA,0,0,1.64180348362365,6.29940119760478,1.11505321844914,0.966921119592718
"Depth To Restriction Layer (Mean) (cm)",6.13056303706554,2.62417994376758,18.4915427677121,NA,1.33010201206108,0,1.80015001250103,0.207584830339351,6.25105592160842,3.96946564885501
"Evapotranspiration (Oct-Jun) (mm)",21.27741439015,4.96719775070289,NA,NA,22.6004621540889,6.76483452398305,17.3181098424868,1.8682634730539,8.92042574759247,3.20610687022885
"Human Influence Index (index of 0-64)",NA,1.80412371134031,NA,NA,0,4.50502988773871,0.616718059838335,0.95009980039922,1.90910626795069,5.08905852417306
"Isothermality (Bio3) (percent)",6.18186481980247,13.2849109653232,NA,NA,0,11.0365942557224,0.500041670139214,1.38922155688624,5.22047643182974,8.80407124681916
"Landscape Condition Model (index of  0-1)",NA,1.54639175257742,NA,NA,0,NA,2.5418784898742,0.183632734530944,1.87531677648251,2.44274809160297
"Mean March Precipitation/Mean Spring Precipitation (fraction/mm)",12.2483006284468,NA,NA,NA,13.0530349997182,NA,8.00066672222683,NA,8.24463591822939,NA
"Mean Spring PET (Mar-Jun) (mm)",4.51455688085164,6.34957825679481,NA,NA,0,0,7.21726810567545,1.57285429141718,5.08531846595709,3.15521628498735
"Mean Temperature Spring (degree C)",NA,14.198687910028,NA,23.1942768488192,12.1512709237446,5.2923166642368,1.03341945162098,13.6447105788423,2.73694880892043,16.8447837150127
"Minimum Temperature Winter (degree C)",21.7519558804668,35.3092783505153,NA,63.6183416652301,24.3983542805614,31.7393206006707,12.6010500875073,58.1237524950099,8.4642676127724,24.1221374045804
"Percent Calcium Carbonate In Soil (percent)",NA,NA,NA,NA,0,NA,1.33344445370451,NA,1.99357999662107,NA
"Percent Clay (0-5 cm) (percent)",9.34974990380915,9.5126522961574,40.3118040089087,8.17531460093088,13.0868511525672,13.0339699664674,3.59196599716645,1.59680638722555,14.9349552289237,6.56488549618332
"Remoteness (Night Lights) (brightness?)",9.0932409901244,5.92783505154642,NA,NA,4.44682409964491,9.5203382417262,9.50912576048005,11.2974051896208,5.82868727825646,11.2977099236642
"Temperature Annual Range (Bio7) (degree C)",1.78273695010902,NA,7.53626677902847,NA,0,NA,6.2338528210684,NA,8.10947795235683,NA
