"","Species","Admin","Unit","est_suit_area_acre","total_area_acre","perc_suit","Known_Presences","min_dist_miles"
"1","ventenata","BLM","Medford District Office",2884588,3057476,0.94,"0",0
"2","ventenata","BLM","Burns District Office",5309481,5771475,0.92,"0",0
"3","ventenata","BLM","Twin Falls District Office",8021716,9049768,0.89,"0",40
"4","ventenata","BLM","Elko District",10910188,12225080,0.89,"0",0
"5","ventenata","BLM","Vale District Office",13385512,15222990,0.88,"0",0
"6","ventenata","BLM","Lakeview District Office",7915876,9125689,0.87,"0",0
"7","ventenata","BLM","Prineville District Office",11291080,13040676,0.87,"0",0
"8","ventenata","BLM","Boise District Office",10437027,12476806,0.84,"0",0
"9","ventenata","BLM","Idaho Falls District Office",15048638,18237976,0.83,"0",14
"10","ventenata","BLM","Wind River Bighorn Basin District",13365295,16307924,0.82,"0",16
"11","ventenata","BLM","Northern California District",20973963,25799100,0.81,"0",0
"12","ventenata","BLM","High Desert District",19218380,25349045,0.76,"0",25
"13","ventenata","BLM","North Central Montana District Office",20737540,27943288,0.74,"0",9
"14","ventenata","BLM","Western Montana District Office",21486568,29542704,0.73,"0",0
"15","ventenata","BLM","Spokane District Office",33136453,45535045,0.73,"0",0
"16","ventenata","BLM","Color Country",9832286,13718194,0.72,"0",117
"17","ventenata","BLM","Grand Staircase Escalante Nat Monument",1318758,1881970,0.7,"0",249
"18","ventenata","BLM","Roseburg District Office",1849592,2690213,0.69,"0",4
"19","ventenata","BLM","NW Oregon District Office",7669516,11107437,0.69,"0",0
"20","ventenata","BLM","Northwest District Office",8712137,12914979,0.67,"0",130
"21","ventenata","BLM","Southwest District Office",7203071,10688655,0.67,"0",195
"22","ventenata","BLM","High Plains District",46613135,70447274,0.66,"0",0
"23","ventenata","BLM","Rocky Mountain District Office",28531475,43012513,0.66,"0",246
"24","ventenata","BLM","Farmington District Office",15081356,23359098,0.65,"0",352
"25","ventenata","BLM","Green River",5879001,9229924,0.64,"0",68
"26","ventenata","BLM","Albuquerque District Office",11501758,18192033,0.63,"0",450
"27","ventenata","BLM","Ely District",7929064,12876221,0.62,"0",25
"28","ventenata","BLM","Coeur D'alene District Office",8424663,13798609,0.61,"0",0
"29","ventenata","BLM","Battle Mountain District",7941142,13487090,0.59,"0",0
"30","ventenata","BLM","Canyon Country",4247618,7441948,0.57,"0",168
