predictorNameUnit,brt KDE,brt target,glm KDE,glm target,mars KDE,mars target,Maxent KDE,Maxent target,rf KDE,rf target
Clay Fraction,NA,NA,NA,NA,0,NA,2.803017315,0.558591378,1.537158073,1.061382023
Compound Topographic Index,7.866440294,3.435241064,9.564910155,3.441583646,9.788737178,5.357778569,6.386079205,4.116575592,6.305979182,3.740814963
Crop Cover (percent),NA,NA,2.94770846,2.648035537,0.343047347,0.600747597,1.542945311,1.02003643,0.738320019,0.801603206
Evapotranspiration (mm),13.00509338,64.38092712,28.18998587,62.02613533,21.48970858,64.00854397,9.857706155,61.62720097,11.7889131,61.09255548
Grass Cover (percent),NA,NA,NA,1.039375512,0,0,1.088633636,1.317547055,1.246671508,1.974319008
Human Influence Index,3.486134692,1.505404868,3.937007874,2.147755208,1.28727668,1.423994304,2.597291274,1.31147541,7.177438877,2.620054925
Mean Diurnal Range (BIO2) (degrees C),14.03508772,4.343789376,NA,NA,8.16180966,1.628693485,11.23778502,2.197935641,13.96756233,5.893268018
Mean Temperature of Coldest Quarter (BIO11) (degrees C),43.01075269,19.94827243,51.5798506,28.69711476,55.29855309,23.75845497,42.01097206,23.01153613,27.45098039,12.76627329
Precipitation Seasonality (cv) (BIO15) (percent),14.82739106,4.118310233,3.780537048,NA,1.450309082,3.221787113,10.81776101,2.792956891,17.75599129,4.38655088
Shrub Cover (percent),NA,NA,NA,NA,0.811765505,NA,1.465798046,0.80752884,1.343500363,0.920359237
Slope (degrees),1.233729485,1.273293985,NA,NA,1.368792881,0,2.24584262,0.576806315,2.590171871,1.462183627
Tree Cover (percent),2.535370685,0.994760926,NA,NA,0,0,7.946168352,0.66180935,8.097312999,3.280635345
Water Cover (percent),NA,NA,NA,NA,NA,NA,0,0,0,0
