,Species,Admin,Park_Name,est_suit_area_acre,total_area_acre,perc_suit,Known_Presences,min_dist_miles
1,wavyleaf_Global,NPS,Big South Fork National River and Recreation Area,122889,122482,1,0,349
2,wavyleaf_Global,NPS,Bluestone National Scenic River,4383,4338,1,0,142
3,wavyleaf_Global,NPS,Fort Raleigh National Historic Site,302,158,1,0,177
4,wavyleaf_Global,NPS,Gauley River National Recreation Area,11337,11152,1,0,119
5,wavyleaf_Global,NPS,Great Smoky Mountains National Park,517251,518505,1,0,305
6,wavyleaf_Global,NPS,Shenandoah National Park,192269,193155,1,Yes (14),0
7,wavyleaf_Global,NPS,Cedar Creek and Belle Grove National Historical Park,3628,3466,1,0,9
8,wavyleaf_Global,NPS,Cumberland Gap National Historical Park,24789,24850,1,0,299
9,wavyleaf_Global,NPS,Home of Franklin D. Roosevelt National Historic Site,907,898,1,0,185
10,wavyleaf_Global,NPS,Ice Age National Scenic Trail,302,158,1,0,644
11,wavyleaf_Global,NPS,Tuskegee Airmen National Historic Site,151,89,1,0,556
12,wavyleaf_Global,NPS,Natchez National Historical Park,151,108,1,0,873
13,wavyleaf_Global,NPS,Thomas Stone National Historic Site,453,328,1,Yes (2),0
14,wavyleaf_Global,NPS,Catoctin Mountain Park,5744,5737,1,0,4
15,wavyleaf_Global,NPS,Friendship Hill National Historic Site,756,675,1,0,31
16,wavyleaf_Global,NPS,Kings Mountain National Military Park,3930,3930,1,0,245
17,wavyleaf_Global,NPS,Hopewell Furnace National Historic Site,1058,848,1,0,42
18,wavyleaf_Global,NPS,Martin Van Buren National Historic Site,302,296,1,0,221
19,wavyleaf_Global,NPS,Flight 93 National Memorial,2267,2262,1,0,44
20,wavyleaf_Global,NPS,Little River Canyon National Preserve,15871,15421,1,0,474
21,wavyleaf_Global,NPS,Dayton Aviation Heritage National Historical Park,151,114,1,0,276
22,wavyleaf_Global,NPS,Eisenhower National Historic Site,756,692,1,0,17
23,wavyleaf_Global,NPS,Cowpens National Battlefield,907,846,1,0,264
24,wavyleaf_Global,NPS,Gettysburg National Military Park,6197,6130,1,0,14
25,wavyleaf_Global,NPS,Oregon Caves National Monument and Preserve,4837,4554,1,0,2632
26,wavyleaf_Global,NPS,Lincoln Boyhood National Memorial,302,200,1,0,460
27,wavyleaf_Global,NPS,George Washington Birthplace National Monument,756,657,1,0,21
28,wavyleaf_Global,NPS,Fort Caroline National Memorial,151,140,1,0,529
29,wavyleaf_Global,NPS,Prince William Forest Park,13755,13804,1,0,12
30,wavyleaf_Global,NPS,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,9674,9260,1,0,12
31,wavyleaf_Global,NPS,Richmond National Battlefield Park,8162,8200,1,0,21
32,wavyleaf_Global,NPS,Harpers Ferry National Historical Park,3779,3710,1,0,0
33,wavyleaf_Global,NPS,Buffalo National River,93262,93538,1,0,804
34,wavyleaf_Global,NPS,Hopewell Culture National Historical Park,1965,1789,1,0,208
35,wavyleaf_Global,NPS,Ozark National Scenic Riverway,82530,82306,1,0,704
36,wavyleaf_Global,NPS,Carl Sandburg Home National Historic Site,453,266,1,0,288
37,wavyleaf_Global,NPS,Wilson's Creek National Battlefield,2570,2425,1,0,848
38,wavyleaf_Global,NPS,Homestead National Monument,302,214,1,0,1040
39,wavyleaf_Global,NPS,Captain John Smith National Historic Trail,302,263,1,0,73
40,wavyleaf_Global,NPS,San Antonio Missions National Historical Park,1512,944,1,0,1239
41,wavyleaf_Global,NPS,Blue Ridge Parkway,89937,90509,0.99,0,16
42,wavyleaf_Global,NPS,New River Gorge National River,69833,70353,0.99,0,131
43,wavyleaf_Global,NPS,Mammoth Cave National Park,51090,51678,0.99,0,418
44,wavyleaf_Global,NPS,Fort Necessity National Battlefield,907,915,0.99,0,17
45,wavyleaf_Global,NPS,Petersburg National Battlefield,2721,2782,0.98,0,60
46,wavyleaf_Global,NPS,Morristown National Historical Park,1663,1689,0.98,0,117
47,wavyleaf_Global,NPS,Upper Delaware Scenic and Recreational River,56078,57079,0.98,0,132
48,wavyleaf_Global,NPS,Delaware Water Gap National Recreation Area,69229,70953,0.98,0,100
49,wavyleaf_Global,NPS,Cuyahoga Valley National Park,31742,32703,0.97,0,155
50,wavyleaf_Global,NPS,Shiloh National Battlefield,3930,4084,0.96,0,599
51,wavyleaf_Global,NPS,Tallgrass Prairie National Preserve,10430,10890,0.96,0,1023
52,wavyleaf_Global,NPS,Pea Ridge National Military Park,4081,4275,0.95,0,892
53,wavyleaf_Global,NPS,Manassas National Battlefield Park,4837,5121,0.94,0,3
54,wavyleaf_Global,NPS,Marsh-Billings-Rockefeller National Historical Park,605,644,0.94,0,322
55,wavyleaf_Global,NPS,Jean Lafitte National Historical Park and Preserve,19952,21743,0.92,0,856
56,wavyleaf_Global,NPS,Allegheny Portage Railroad National Historic Site,1209,1309,0.92,0,47
57,wavyleaf_Global,NPS,Redwood National Park,102936,115491,0.89,0,2658
58,wavyleaf_Global,NPS,Abraham Lincoln Birthplace National Historical Park,302,339,0.89,0,389
59,wavyleaf_Global,NPS,Piscataway Park,4081,4603,0.89,0,4
60,wavyleaf_Global,NPS,Harriet Tubman Underground Railroad National Historical Park,22673,25527,0.89,0,22
61,wavyleaf_Global,NPS,Minute Man National Historical Park,907,1022,0.89,0,333
62,wavyleaf_Global,NPS,Chickamauga and Chattanooga National Military Park,7255,8231,0.88,0,437
63,wavyleaf_Global,NPS,Antietam National Battlefield,2872,3251,0.88,0,3
64,wavyleaf_Global,NPS,Fort Washington Park,302,344,0.88,0,3
