"predictorNameUnit","BRT KDE","BRT TARGET","GLM KDE","GLM TARGET","MARS KDE","MARS TARGET","MAXENT KDE","MAXENT TARGET","RF KDE","RF TARGET"
"Available Water Content (Mean Depth, cm) (m3/m3)",2.03696472732004,NA,2.44129106051399,NA,3.06317369354619,NA,1.62874549297526,NA,0.0221680336954335,NA
"Available Water Content (Variance in Depth, cm) (m3/m2)",NA,5.81790292538625,2.98102012367302,2.80651079277101,NA,4.79441427463149,0,-0.535766000579222,0,0.947532173667098
"Bare Ground Standard Deviation (st dev of percent cover)",NA,0.0986085241591258,0.0285949172534471,0.390335298021,NA,NA,0,0.260642919200675,0,0.0848536274925816
"Burn Frequency (years)",NA,NA,0.711298566679769,1.82676919473829,NA,2.90147401086115,0,2.57022878656241,0,0
"Depth To Restriction Layer (Mean) (cm)",NA,7.30798729045691,1.36898166350931,3.88383621530895,1.86928639650701,6.0822342901474,1.0070869078702,2.1430640023168,0.110840168477044,1.49908075236884
"Evapotranspiration (Mar-Jun) (mm)",0.624755954705168,12.2055439903583,0.160846409550704,9.00113197236426,NA,13.6927851047323,1.0692527663807,11.909933391254,0.110840168477044,24.1691415641352
"Human Influence Index (index of 0-64)",NA,1.66538840802018,1.40829967473282,2.79480073383036,1.760130986492,NA,1.00087032201915,3.12771503040834,2.66016404344931,0.197991797482638
"Isothermality (Bio3) (percent)",2.49902381882075,3.12260326503781,4.117668084498,6.87770795113,2.52421885659707,2.71528316524442,2.09498943180404,3.01187373298581,0.243848370649522,8.93791542921793
"Landscape Condition Model (index of  0-1)",81.4395418456333,NA,38.8140258069128,0.800187360943048,76.3814981580025,1.20248254460822,66.0014919806043,4.80741384303505,92.9505652848594,0.155564983736387
"Maximum Temperature Summer (degree C)",NA,7.42850881998463,NA,10.8435145790234,NA,7.12955779674169,NA,7.43556327830873,NA,7.48126149059539
"Maxiumum Mean Temperature Summer (degree C)",6.17597292724197,NA,9.27547628409052,NA,4.52994951562287,NA,5.27166480169091,NA,0.354688539126566,NA
"Mean Spring PET (Mar-Jun) (mm)",2.33632695561629,50.9477374821955,1.1080530435715,27.1322065654397,NA,51.4274631497284,2.63583240084543,42.7454387489141,0.221680336954088,46.7260642059114
"Mean Tree Cover (percent)",NA,NA,4.3178325052722,NA,4.71414927002317,NA,2.79124704712172,NA,1.48525825759257,NA
"Minimum Temperature Winter (degree C)",NA,5.33581680727514,3.7101905136362,18.9234552480581,NA,6.0744763382467,3.07720999627006,7.65276571097594,0.110840168477044,2.22033658605574
"Percent Calcium Carbonate In Soil (percent)",3.04568527918779,NA,4.24277084748186,NA,2.42188565970801,NA,3.15180902648266,NA,0.110840168477044,NA
"Percent Clay (0-5 cm) (percent)",1.84172849147469,NA,3.28126675483433,2.04926031461027,NA,NA,1.00087032201915,1.3249348392702,0.221680336954088,1.35765803988123
"Precipitation Of Driest Quarter (Bio17) (mm)",NA,NA,9.80090788862279,NA,NA,NA,2.98396120850431,NA,0,NA
"Precipitation Seasonality (Cv) (Bio15) (percent)",NA,6.06990248712614,4.35357615183901,1.81505913579764,NA,3.97982932505818,1.0692527663807,9.23110338835796,0.110840168477044,5.11950219205205
"Remoteness (Night Lights) (brightness?)",NA,NA,2.50205525967759,1.69405519341114,1.28257606767635,NA,1.90849185627251,2.68607008398494,1.28574595433379,1.08895488615471
"Temperature Annual Range (Bio7) (degree C)",NA,NA,5.37584444365014,9.16116944455287,1.45313139582478,NA,3.30722367275892,1.62901824500433,0,0.0141422712487767
